scope,signal,n,formal_calibrated_metric,weighted_AUPRC,weighted_Brier,weighted_ECE,proxy_weighted_Brier,proxy_weighted_ECE
representative,Exp27L_l2_logistic,120,True,0.23007805109588958,0.1766700336068169,0.1248783789087545,,
representative,qwen_human_gap,120,False,0.47181852974752125,,,0.1273752254960914,0.09988474644217278
representative,deepseek_human_gap,120,False,0.40787549389420397,,,0.14968242633794349,0.08787081579474845
representative,teacher_gap,120,False,0.2817056906166199,,,0.16343392964521947,0.10416165564241332
representative,max_three_way_gap,120,False,0.4161850475917931,,,0.14012013930647424,0.0643590899979956
representative,exp27i_tier_proxy,120,False,0.4841705625904008,,,0.12965616857085588,0.0402831228703147
risk_enriched,Exp27L_l2_logistic,60,True,0.6723290304919729,0.22286299988298722,0.08295100248437405,,
risk_enriched,qwen_human_gap,60,False,0.7134757787947352,,,0.20729166666666668,0.11249999999999999
risk_enriched,deepseek_human_gap,60,False,0.647177874022964,,,0.234375,0.11250000000000002
risk_enriched,teacher_gap,60,False,0.5814820458775619,,,0.3625,0.3583333333333334
risk_enriched,max_three_way_gap,60,False,0.6836488939209451,,,0.22083333333333333,0.11666666666666668
risk_enriched,exp27i_tier_proxy,60,False,0.6153370764510766,,,0.27387500000000004,0.21416666666666676
