scope,model,n,weighted_MAE,weighted_QWK,weighted_exact_accuracy,weighted_severe_error_rate,weighted_low_to_high,weighted_high_to_low,weighted_signed_bias
representative,B0_original_human,120,0.7381739827620766,0.3787353310418936,0.4518841451192624,0.1800461014231309,0.629204761083319,0.011553473848555816,0.30225496091401083
representative,B1_qwen,120,0.5356885147324113,0.5928642464160633,0.595780717578673,0.08128883543796352,0.1514576505088839,0.04085349986989331,0.04500901984365604
representative,B2_deepseek,120,0.6172379234315494,0.5798199994000455,0.5629384646221688,0.1164862697935458,0.1258409522166638,0.09041113713244861,-0.04622168771296854
representative,B3_teacher_mean,120,0.5383042693926638,0.6438447369478486,0.5646722790138304,0.07261976347965524,0.025616698292220116,0.08896695290137913,-0.08871517338143917
representative,B4_human_teacher_median,120,0.5397775105231509,0.5758093885848574,0.6025856885147324,0.10866907195830829,0.2516819044333276,0.04229768410096279,0.10039085989176187
representative,B5_exp27i_v1,120,0.5397775105231509,0.5758093885848574,0.6025856885147324,0.10866907195830829,0.2516819044333276,0.04229768410096279,0.10039085989176187
representative,Exp27L_soft_ordinal_fusion,120,0.7747143716175586,0.4416446985776227,0.3223090799759471,0.06777911405091201,0.025616698292220116,0.07737444704657818,-0.28625977149729404
risk_enriched,B0_original_human,60,1.4166666666666667,0.06030150753768848,0.23333333333333334,0.4666666666666667,0.4,0.3448275862068966,-0.2833333333333333
risk_enriched,B1_qwen,60,0.8,0.5421863536316948,0.5,0.16666666666666666,0.1,0.20689655172413793,-0.2
risk_enriched,B2_deepseek,60,0.9666666666666667,0.5455100794135614,0.4166666666666667,0.23333333333333334,0.1,0.27586206896551724,-0.36666666666666664
risk_enriched,B3_teacher_mean,60,0.7833333333333333,0.624390243902439,0.4166666666666667,0.16666666666666666,0.1,0.2413793103448276,-0.2833333333333333
risk_enriched,B4_human_teacher_median,60,0.75,0.590080971659919,0.4666666666666667,0.15,0.15,0.13793103448275862,-0.18333333333333332
risk_enriched,B5_exp27i_v1,60,0.75,0.590080971659919,0.4666666666666667,0.15,0.15,0.13793103448275862,-0.18333333333333332
risk_enriched,Exp27L_soft_ordinal_fusion,60,0.8,0.5691014188124015,0.4166666666666667,0.16666666666666666,0.15,0.1724137931034483,-0.23333333333333334
