score_model,risk_model,rule,score_threshold,risk_threshold,gap_threshold,score_cap_threshold,coverage,abstention_rate,low_to_high_covered,low_to_high_all_treat_abstain_safe,label2_recall_covered,MAE_covered,QWK_covered,D1_hidden_pred_ge4_covered,flag_rate_on_gold_high,flag_precision_for_low,flag_recall_for_low_to_high,flag_recall_for_D1_hidden
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,risk_pred_le,4,1,,,0.975609756097561,0.024390243902439025,0.47368421052631576,0.47368421052631576,0.05263157894736842,0.412962962962963,0.5598321028370123,0.8461538461538461,0.02857142857142857,0.0,0.0,0.0
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,risk_pred_le,4,2,,,0.926829268292683,0.07317073170731707,0.4117647058823529,0.3684210526315789,0.06060606060606061,0.3996101364522417,0.5821828784206273,0.8095238095238095,0.07195767195767196,0.07407407407407407,0.2222222222222222,0.19230769230769232
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,risk_pred_le,4,3,,,0.7651309846431797,0.23486901535682023,0.3023255813953488,0.22807017543859648,0.07692307692307693,0.38488783943329397,0.6267137233609339,0.75,0.2306878306878307,0.05384615384615385,0.5185185185185185,0.38461538461538464
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,gap_ge,4,,1,,0.6729900632339657,0.32700993676603435,0.1891891891891892,0.12280701754385964,0.1,0.33691275167785234,0.6937352622941655,0.6363636363636364,0.32486772486772486,0.055248618784530384,0.7407407407407407,0.5769230769230769
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,gap_ge,4,,2,,0.8943089430894309,0.10569105691056911,0.34782608695652173,0.2807017543859649,0.07142857142857142,0.3838383838383838,0.60878612716763,0.75,0.1037037037037037,0.09401709401709402,0.4074074074074074,0.38461538461538464
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,gap_ge,4,,3,,0.947606142728094,0.052393857271906055,0.4444444444444444,0.42105263157894735,0.05714285714285714,0.40610104861773116,0.5750846478339473,0.8260869565217391,0.05502645502645503,0.05172413793103448,0.1111111111111111,0.11538461538461539
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,score_cap_le,4,,,2,0.9277326106594399,0.07226738934056007,0.4117647058823529,0.3684210526315789,0.06060606060606061,0.39922103213242455,0.5824161977063815,0.8095238095238095,0.07089947089947089,0.075,0.2222222222222222,0.19230769230769232
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,score_cap_le,4,,,3,0.7687443541102078,0.23125564588979222,0.3023255813953488,0.22807017543859648,0.07692307692307693,0.38307873090481787,0.6271736520859874,0.75,0.22645502645502646,0.0546875,0.5185185185185185,0.38461538461538464
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,risk_or_score_cap,4,1,,2,0.926829268292683,0.07317073170731707,0.4117647058823529,0.3684210526315789,0.06060606060606061,0.3996101364522417,0.5821828784206273,0.8095238095238095,0.07195767195767196,0.07407407407407407,0.2222222222222222,0.19230769230769232
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,risk_or_score_cap,4,1,,3,0.7678410117434508,0.23215898825654924,0.3023255813953488,0.22807017543859648,0.07692307692307693,0.3835294117647059,0.6269737477289284,0.75,0.2275132275132275,0.054474708171206226,0.5185185185185185,0.38461538461538464
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,risk_or_score_cap,4,2,,2,0.926829268292683,0.07317073170731707,0.4117647058823529,0.3684210526315789,0.06060606060606061,0.3996101364522417,0.5821828784206273,0.8095238095238095,0.07195767195767196,0.07407407407407407,0.2222222222222222,0.19230769230769232
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,risk_or_score_cap,4,2,,3,0.7678410117434508,0.23215898825654924,0.3023255813953488,0.22807017543859648,0.07692307692307693,0.3835294117647059,0.6269737477289284,0.75,0.2275132275132275,0.054474708171206226,0.5185185185185185,0.38461538461538464
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,risk_or_score_cap,4,3,,2,0.7651309846431797,0.23486901535682023,0.3023255813953488,0.22807017543859648,0.07692307692307693,0.38488783943329397,0.6267137233609339,0.75,0.2306878306878307,0.05384615384615385,0.5185185185185185,0.38461538461538464
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,risk_or_score_cap,4,3,,3,0.7651309846431797,0.23486901535682023,0.3023255813953488,0.22807017543859648,0.07692307692307693,0.38488783943329397,0.6267137233609339,0.75,0.2306878306878307,0.05384615384615385,0.5185185185185185,0.38461538461538464
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,risk_and_gap,4,1,1,,0.975609756097561,0.024390243902439025,0.47368421052631576,0.47368421052631576,0.05263157894736842,0.412962962962963,0.5598321028370123,0.8461538461538461,0.02857142857142857,0.0,0.0,0.0
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,risk_and_gap,4,1,2,,0.975609756097561,0.024390243902439025,0.47368421052631576,0.47368421052631576,0.05263157894736842,0.412962962962963,0.5598321028370123,0.8461538461538461,0.02857142857142857,0.0,0.0,0.0
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,risk_and_gap,4,1,3,,0.975609756097561,0.024390243902439025,0.47368421052631576,0.47368421052631576,0.05263157894736842,0.412962962962963,0.5598321028370123,0.8461538461538461,0.02857142857142857,0.0,0.0,0.0
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,risk_and_gap,4,2,1,,0.926829268292683,0.07317073170731707,0.4117647058823529,0.3684210526315789,0.06060606060606061,0.3996101364522417,0.5821828784206273,0.8095238095238095,0.07195767195767196,0.07407407407407407,0.2222222222222222,0.19230769230769232
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,risk_and_gap,4,2,2,,0.926829268292683,0.07317073170731707,0.4117647058823529,0.3684210526315789,0.06060606060606061,0.3996101364522417,0.5821828784206273,0.8095238095238095,0.07195767195767196,0.07407407407407407,0.2222222222222222,0.19230769230769232
