base_model,method,split,Acc@1,Acc@2,low_exact_match,low_MAE,low_signed_bias,low_to_high_rate,mean_pred_low
QD-B0_human_only_ordinary_ordinal,raw,test,0.8888888888888888,0.0,0.25806451612903225,1.4193548387096775,1.4193548387096775,0.5161290322580645,3.225806451612903
QD-B0_human_only_ordinary_ordinal,temperature_scaling,test,0.8888888888888888,0.0,0.25806451612903225,1.4193548387096775,1.4193548387096775,0.5161290322580645,3.225806451612903
QD-B0_human_only_ordinary_ordinal,global_threshold,test,0.8888888888888888,0.0,0.25806451612903225,1.3548387096774193,1.3548387096774193,0.5161290322580645,3.161290322580645
QD-B0_human_only_ordinary_ordinal,risk_aware_threshold,test,0.8888888888888888,0.0,0.25806451612903225,1.3870967741935485,1.3870967741935485,0.5161290322580645,3.193548387096774
QD-B1_human_only_L1_weighted_ordinal,raw,test,0.8888888888888888,0.0,0.25806451612903225,1.2903225806451613,1.2903225806451613,0.45161290322580644,3.096774193548387
QD-B1_human_only_L1_weighted_ordinal,temperature_scaling,test,0.8888888888888888,0.0,0.25806451612903225,1.2903225806451613,1.2903225806451613,0.45161290322580644,3.096774193548387
QD-B1_human_only_L1_weighted_ordinal,global_threshold,test,0.8888888888888888,0.0,0.25806451612903225,1.3870967741935485,1.3870967741935485,0.5483870967741935,3.193548387096774
QD-B1_human_only_L1_weighted_ordinal,risk_aware_threshold,test,0.8888888888888888,0.0,0.25806451612903225,1.3870967741935485,1.3870967741935485,0.5483870967741935,3.193548387096774
QD-R1_CORAL_human_only,raw,test,0.8888888888888888,0.0,0.25806451612903225,1.4193548387096773,1.4193548387096773,0.5161290322580645,3.225806451612903
QD-R1_CORAL_human_only,temperature_scaling,test,0.8888888888888888,0.0,0.25806451612903225,1.4193548387096773,1.4193548387096773,0.5161290322580645,3.225806451612903
QD-R1_CORAL_human_only,global_threshold,test,0.8888888888888888,0.0,0.25806451612903225,1.3225806451612903,1.3225806451612903,0.5161290322580645,3.129032258064516
QD-R1_CORAL_human_only,risk_aware_threshold,test,0.8888888888888888,0.0,0.25806451612903225,1.3225806451612903,1.3225806451612903,0.4838709677419355,3.129032258064516
