review_rate_target,actual_review_count,actual_review_rate,metric,random_mean,random_std,selective_value,selective_minus_random,z_like_gap_optional,direction,random_seeds,test_evaluation_only
0.0,0,0.0,low_to_high_non_rejected,0.4516129032258064,0.0,0.45161290322580644,5.551115123125783e-17,,lower_is_better,100,yes
0.0,0,0.0,MAE_non_rejected,0.4279238440616501,0.0,0.42792384406165007,-5.551115123125783e-17,,lower_is_better,100,yes
0.0,0,0.0,QWK_non_rejected,0.6012356007375433,0.0,0.6012356007375432,-1.1102230246251565e-16,,higher_is_better,100,yes
0.0,0,0.0,Acc@5_non_rejected,0.7418831168831168,0.0,0.7418831168831169,1.1102230246251565e-16,,higher_is_better,100,yes
0.05,55,0.04986400725294651,low_to_high_non_rejected,0.4477759854367197,0.022567021983531898,0.41379310344827586,-0.03398288198844385,-1.505864708832321,lower_is_better,100,yes
0.05,55,0.04986400725294651,MAE_non_rejected,0.42782760814249365,0.003569452205774616,0.4118956743002544,-0.015931933842239232,-4.463411449091472,lower_is_better,100,yes
0.05,55,0.04986400725294651,QWK_non_rejected,0.6021205333246573,0.006393922265748008,0.6224236231993743,0.020303089874716962,3.175373273378662,higher_is_better,100,yes
0.05,55,0.04986400725294651,Acc@5_non_rejected,0.7417773207934257,0.0036071320067483314,0.7568027210884354,0.01502540029500965,4.165470037386954,higher_is_better,100,yes
0.1,110,0.09972801450589303,low_to_high_non_rejected,0.453016581667416,0.02814338062279129,0.41379310344827586,-0.03922347821914013,-1.393701728475927,lower_is_better,100,yes
0.1,110,0.09972801450589303,MAE_non_rejected,0.42779456193353455,0.004763552016896373,0.40819066800939907,-0.019603893924135474,-4.1153941123347115,lower_is_better,100,yes
0.1,110,0.09972801450589303,QWK_non_rejected,0.6014195632412178,0.010810258597196438,0.6275537718042852,0.026134208563067363,2.4175377793316692,higher_is_better,100,yes
0.1,110,0.09972801450589303,Acc@5_non_rejected,0.7417966194343486,0.005496254756338355,0.768270944741533,0.02647432530718441,4.816793704231753,higher_is_better,100,yes
0.15,165,0.14959202175883954,low_to_high_non_rejected,0.4407792712235112,0.036802984935925084,0.41379310344827586,-0.026986167775235326,-0.7332603000060707,lower_is_better,100,yes
0.15,165,0.14959202175883954,MAE_non_rejected,0.4282551528073916,0.006871504273400335,0.3941009239516702,-0.03415422885572145,-4.970415137182236,lower_is_better,100,yes
0.15,165,0.14959202175883954,QWK_non_rejected,0.6028305114090161,0.013270781876070439,0.645372682904475,0.042542171495458914,3.205701961854256,higher_is_better,100,yes
0.15,165,0.14959202175883954,Acc@5_non_rejected,0.7410607218792026,0.006095671593664204,0.788785046728972,0.047724324849769406,7.829215225336895,higher_is_better,100,yes
0.2,220,0.19945602901178605,low_to_high_non_rejected,0.45025985985582395,0.049230991380704706,0.32,-0.13025985985582395,-2.645891463946371,lower_is_better,100,yes
0.2,220,0.19945602901178605,MAE_non_rejected,0.42863722159305406,0.008134702302533119,0.3782559456398641,-0.050381275953189975,-6.193376730885581,lower_is_better,100,yes
0.2,220,0.19945602901178605,QWK_non_rejected,0.6019608928031539,0.016456865019927068,0.6648584631212392,0.0628975703180853,3.8219654984059677,higher_is_better,100,yes
0.2,220,0.19945602901178605,Acc@5_non_rejected,0.7424630314383598,0.009019804587327068,0.8125,0.07003696856164021,7.764798880459447,higher_is_better,100,yes
0.25,275,0.24932003626473254,low_to_high_non_rejected,0.460331920893712,0.04756643899698879,0.3333333333333333,-0.12699858756037868,-2.6699200158418073,lower_is_better,100,yes
0.25,275,0.24932003626473254,MAE_non_rejected,0.42834541062801923,0.008645387215329193,0.36876006441223824,-0.05958534621578099,-6.892154709985669,lower_is_better,100,yes
0.25,275,0.24932003626473254,QWK_non_rejected,0.6006211600444032,0.016781650328289228,0.6794836100405902,0.07886244999618697,4.699326255371122,higher_is_better,100,yes
0.25,275,0.24932003626473254,Acc@5_non_rejected,0.7427489463838317,0.010437149594389739,0.8319672131147541,0.08921826673092237,8.548144866954834,higher_is_better,100,yes
