base_model,method,split,n,Accuracy,MAE_label,QWK,Kendall tau,Spearman rho,Macro-F1,severe_error_rate,Acc@1,Acc@2,low_exact_match,low_MAE,low_signed_bias,low_to_high_rate,mean_pred_low,Acc@5,high_to_mid_or_low_rate,high_signed_bias,mean_pred_high,MAE_expected,Weighted-F1,source,temperature,ordinal_bce,selected,selection_objective,selection_split,theta_1,theta_2,theta_3,theta_4,dev_MAE_label,dev_low_to_high,dev_Acc5,test_MAE_label,test_low_to_high,test_Acc5,lambda_low,eta_high,dev_objective,selection_type
QD-B0_human_only_ordinary_ordinal,raw,test,1103,0.6935630099728014,0.4019341190692051,0.5976217823018422,0.5293242185530982,0.5912981227564057,0.5465464782390519,0.03173164097914778,0.8888888888888888,0.0,0.25806451612903225,1.4193548387096775,1.4193548387096775,0.5161290322580645,3.225806451612903,0.7873376623376623,0.003246753246753247,-0.06709956709956723,4.784090909090909,0.37631541153116166,0.6837726755752095,server_local_arrays,,,,,,,,,,,,,,,,,,,
QD-B0_human_only_ordinary_ordinal,temperature_scaling,test,1103,0.6935630099728014,0.4019341190692051,0.5976217823018422,0.5293242185530982,0.5912981227564057,0.5465464782390519,0.03173164097914778,0.8888888888888888,0.0,0.25806451612903225,1.4193548387096775,1.4193548387096775,0.5161290322580645,3.225806451612903,0.7873376623376623,0.003246753246753247,-0.06709956709956723,4.784090909090909,0.39793948378307276,0.6837726755752095,dev_selected,2.0,0.22787719037993434,True,dev_ordinal_bce,dev,,,,,,,,,,,,,,
QD-B0_human_only_ordinary_ordinal,global_threshold,test,1103,0.6554850407978241,0.4276216379570867,0.5746063403481168,0.5017123733811352,0.5604369855628832,0.5353926938594556,0.027198549410698096,0.8888888888888888,0.0,0.25806451612903225,1.3548387096774193,1.3548387096774193,0.5161290322580645,3.161290322580645,0.663961038961039,0.003246753246753247,-0.19047619047619063,4.660714285714286,0.37631541153116166,0.6524976379312942,dev_selected,,,,dev_MAE_label,dev,0.3,0.3,0.5,0.75,0.46160794941282746,0.5263157894736842,0.7482014388489209,0.4276216379570867,0.5161290322580645,0.663961038961039,,,,
QD-B0_human_only_ordinary_ordinal,risk_aware_threshold,test,1103,0.6917497733454215,0.40223632517376845,0.6030316181685385,0.5308261008355015,0.5929610563052174,0.547239145875122,0.029918404351767906,0.8888888888888888,0.0,0.25806451612903225,1.3870967741935485,1.3870967741935485,0.5161290322580645,3.193548387096774,0.7694805194805194,0.003246753246753247,-0.08495670995671008,4.766233766233766,0.37631541153116166,0.6834447833536578,dev_selected,,,,dev_MAE_plus_low_high_risk,dev,0.3,0.3,0.5,0.55,,,,0.40223632517376845,0.5161290322580645,0.7694805194805194,0.5,0.5,0.729575546523272,best_constrained
QD-B1_human_only_L1_weighted_ordinal,raw,test,1103,0.670897552130553,0.42792384406165007,0.6012356007375432,0.5265979428764057,0.5931744288310964,0.5324847212262678,0.03445149592021759,0.8888888888888888,0.0,0.25806451612903225,1.2903225806451613,1.2903225806451613,0.45161290322580644,3.096774193548387,0.7418831168831169,0.01461038961038961,-0.1271645021645023,4.724025974025974,0.3980361290190023,0.6707224928657053,server_local_arrays,,,,,,,,,,,,,,,,,,,
QD-B1_human_only_L1_weighted_ordinal,temperature_scaling,test,1103,0.670897552130553,0.42792384406165007,0.6012356007375432,0.5265979428764057,0.5931744288310964,0.5324847212262678,0.03445149592021759,0.8888888888888888,0.0,0.25806451612903225,1.2903225806451613,1.2903225806451613,0.45161290322580644,3.096774193548387,0.7418831168831169,0.01461038961038961,-0.1271645021645023,4.724025974025974,0.41916552380065797,0.6707224928657053,dev_selected,2.0,0.2276660400321323,True,dev_ordinal_bce,dev,,,,,,,,,,,,,,
QD-B1_human_only_L1_weighted_ordinal,global_threshold,test,1103,0.6736174070716229,0.42127530976125716,0.5886485753073037,0.5207742045777525,0.5856709208184449,0.5350261253055788,0.033544877606527655,0.8888888888888888,0.0,0.25806451612903225,1.3870967741935485,1.3870967741935485,0.5483870967741935,3.193548387096774,0.7418831168831169,0.00974025974025974,-0.11904761904761921,4.732142857142857,0.3980361290190023,0.6690542978774946,dev_selected,,,,dev_MAE_label,dev,0.3,0.3,0.3,0.5,0.4751580849141825,0.49122807017543857,0.7823741007194245,0.42127530976125716,0.5483870967741935,0.7418831168831169,,,,
QD-B1_human_only_L1_weighted_ordinal,risk_aware_threshold,test,1103,0.6736174070716229,0.42127530976125716,0.5886485753073037,0.5207742045777525,0.5856709208184449,0.5350261253055788,0.033544877606527655,0.8888888888888888,0.0,0.25806451612903225,1.3870967741935485,1.3870967741935485,0.5483870967741935,3.193548387096774,0.7418831168831169,0.00974025974025974,-0.11904761904761921,4.732142857142857,0.3980361290190023,0.6690542978774946,dev_selected,,,,dev_MAE_plus_low_high_risk,dev,0.3,0.3,0.3,0.5,,,,0.42127530976125716,0.5483870967741935,0.7418831168831169,0.5,0.5,0.7225706811529808,best_constrained
QD-R1_CORAL_human_only,raw,test,1103,0.6554850407978241,0.4466606225445754,0.5271754702243676,0.45560562684313166,0.5134349936980643,0.48795115868699596,0.04805077062556664,0.8888888888888888,0.0,0.25806451612903225,1.4193548387096773,1.4193548387096773,0.5161290322580645,3.225806451612903,0.8977272727272727,0.003246753246753247,0.04329004329004316,4.89448051948052,0.39555819536680903,0.6203411241744902,server_local_arrays,,,,,,,,,,,,,,,,,,,
QD-R1_CORAL_human_only,temperature_scaling,test,1103,0.6554850407978241,0.4466606225445754,0.5271754702243676,0.45560562684313166,0.5134349936980643,0.48795115868699596,0.04805077062556664,0.8888888888888888,0.0,0.25806451612903225,1.4193548387096773,1.4193548387096773,0.5161290322580645,3.225806451612903,0.8977272727272727,0.003246753246753247,0.04329004329004316,4.89448051948052,0.3955581983708591,0.6203411241744902,dev_selected,1.0,0.25594838214015675,True,dev_ordinal_bce,dev,,,,,,,,,,,,,,
