distribution_type,value,rejected_count,rejected_rate,overall_count,overall_rate,enrichment,test_evaluation_only
true_label,1,0,0.0,9,0.008159564823209429,0.0,yes
true_label,2,6,0.02727272727272727,22,0.019945602901178604,1.3673553719008265,yes
true_label,3,32,0.14545454545454545,105,0.09519492293744333,1.527965367965368,yes
true_label,4,78,0.35454545454545455,351,0.3182230281051677,1.114141414141414,yes
true_label,5,104,0.4727272727272727,616,0.5584768812330009,0.8464580873671783,yes
pred_label,1,1,0.004545454545454545,9,0.008159564823209429,0.557070707070707,yes
pred_label,2,6,0.02727272727272727,6,0.005439709882139619,5.013636363636364,yes
pred_label,3,10,0.045454545454545456,91,0.08250226654578423,0.5509490509490509,yes
pred_label,4,138,0.6272727272727273,444,0.40253853127833183,1.5582923832923834,yes
pred_label,5,65,0.29545454545454547,553,0.5013599274705349,0.5893062633568963,yes
metric,Basic Factual Accuracy,20,0.09090909090909091,125,0.11332728921124206,0.8021818181818182,yes
metric,"Clarity, Simplicity & Inspiration",14,0.06363636363636363,85,0.0770625566636446,0.8257754010695186,yes
metric,Content Relevance & Scope Control,19,0.08636363636363636,130,0.11786038077969176,0.7327622377622377,yes
metric,Domain Knowledge Accuracy,11,0.05,65,0.05893019038984588,0.8484615384615385,yes
metric,Error Identification & Correction Precision,18,0.08181818181818182,38,0.03445149592021759,2.3748803827751197,yes
metric,Higher-Order Thinking & Skill Development,18,0.08181818181818182,89,0.08068902991840435,1.013993871297242,yes
metric,Instruction Following & Task Completion,38,0.17272727272727273,195,0.1767905711695376,0.9770163170163171,yes
metric,"Motivation, Guidance & Positive Feedback",21,0.09545454545454546,68,0.061650045330915684,1.5483288770053476,yes
metric,"Personalization, Adaptation & Learning Support",8,0.03636363636363636,69,0.06255666364460562,0.5812911725955204,yes
metric,Reasoning Process Rigor,30,0.13636363636363635,79,0.07162284678150499,1.9039125431530493,yes
metric,Role & Tone Consistency,0,0.0,50,0.04533091568449683,0.0,yes
metric,Scenario Element Integration,23,0.10454545454545454,110,0.09972801450589303,1.0483057851239668,yes
language,en,90,0.4090909090909091,450,0.40797824116047143,1.002727272727273,yes
language,zh,130,0.5909090909090909,653,0.5920217588395286,0.9981205624390923,yes
scenario,Automatic Grading,62,0.2818181818181818,116,0.10516772438803264,2.6797021943573665,yes
scenario,Emotional Support,13,0.05909090909090909,149,0.13508612873980055,0.43743136058572296,yes
scenario,Error Correction,39,0.17727272727272728,139,0.12601994560290117,1.4067037279267496,yes
scenario,Idea Provision,33,0.15,160,0.14505893019038985,1.0340624999999999,yes
scenario,Personalized Content Creation,6,0.02727272727272727,45,0.04079782411604715,0.6684848484848483,yes
scenario,Personalized Learning Support,12,0.05454545454545454,124,0.11242067089755213,0.4851906158357771,yes
scenario,Question Answering,17,0.07727272727272727,80,0.07252946509519492,1.0653977272727273,yes
scenario,Question Generation,23,0.10454545454545454,150,0.1359927470534905,0.7687575757575756,yes
scenario,Teaching Material Generation,15,0.06818181818181818,140,0.12692656391659113,0.5371753246753246,yes
risk_group,true_low_label_le_2,6,0.02727272727272727,31,0.028105167724388033,0.9703812316715542,yes
risk_group,true_high_label_eq_5,104,0.4727272727272727,616,0.5584768812330009,0.8464580873671783,yes
risk_group,pred_high_label_ge_4,203,0.9227272727272727,997,0.9038984587488668,1.0208306738397008,yes
risk_group,low_to_high_error,6,0.02727272727272727,14,0.012692656391659111,2.148701298701299,yes
risk_group,non_low_to_high_rejected,214,0.9727272727272728,1089,0.9873073436083409,0.9852324901911679,yes
enrichment_summary,rejected_low_to_high_enrichment,6,0.02727272727272727,14,0.012692656391659111,2.148701298701299,yes
enrichment_summary,rejected_true_low_enrichment,6,0.02727272727272727,31,0.028105167724388033,0.9703812316715542,yes
enrichment_summary,rejected_pred_high_enrichment,203,0.9227272727272727,997,0.9038984587488668,1.0208306738397008,yes
