split,arm,seed,n,Exact,MAE,Signed_Bias,absolute_Signed_Bias,Kendall_tau_b,QWK,L2H_rate,H2L_rate,Label_1_Recall,Label_2_Recall,Label_3_Recall,Label_4_Recall,Label_5_Recall,forced_completion_rate,strict_parse_rate,L2H_count,low_n,H2L_count,high_n,forced_completion_count,confusion_matrix_gold_rows_pred_columns,Label_1_n,Label_1_correct_count,Label_2_n,Label_2_correct_count,Label_3_n,Label_3_correct_count,Label_4_n,Label_4_correct_count,Label_5_n,Label_5_correct_count
dev,S0,42,664,0.6219879518072289,0.4352409638554217,0.04969879518072289,0.04969879518072289,0.44225100042691207,0.4043306602031832,0.85,0.0,0.0,0.0,0.14516129032258066,0.7510548523206751,0.6550724637681159,0.010542168674698794,1.0,17,20,0,582,7,"[[0, 0, 1, 5, 0], [0, 0, 2, 10, 2], [0, 0, 9, 41, 12], [0, 0, 8, 178, 51], [0, 0, 1, 118, 226]]",6,0,14,0,62,9,237,178,345,226
dev,S0,43,664,0.6716867469879518,0.39006024096385544,0.18825301204819278,0.18825301204819278,0.5298367173230406,0.45868106398842945,0.8,0.0,0.0,0.0,0.11290322580645161,0.620253164556962,0.8463768115942029,0.0,1.0,16,20,0,582,0,"[[0, 0, 1, 3, 2], [0, 0, 3, 9, 2], [0, 0, 7, 42, 13], [0, 0, 12, 147, 78], [0, 0, 2, 51, 292]]",6,0,14,0,62,7,237,147,345,292
dev,S0,44,664,0.7078313253012049,0.3373493975903614,0.11746987951807229,0.11746987951807229,0.5965089339811045,0.6060099895552656,0.55,0.001718213058419244,0.5,0.0,0.1774193548387097,0.6877637130801688,0.8492753623188406,0.0,1.0,11,20,1,582,0,"[[3, 1, 0, 1, 1], [2, 0, 3, 9, 0], [0, 0, 11, 37, 14], [0, 1, 16, 163, 57], [0, 0, 1, 51, 293]]",6,3,14,0,62,11,237,163,345,293
dev,R1,42,664,0.7108433734939759,0.3358433734939759,0.1460843373493976,0.1460843373493976,0.589504361641434,0.5760608796594866,0.55,0.0,0.3333333333333333,0.07142857142857142,0.14516129032258066,0.70042194092827,0.8521739130434782,0.2033132530120482,1.0,11,20,0,582,135,"[[2, 1, 1, 1, 1], [0, 1, 4, 7, 2], [0, 0, 9, 40, 13], [0, 0, 11, 166, 60], [0, 0, 1, 50, 294]]",6,2,14,1,62,9,237,166,345,294
dev,R1,43,664,0.7123493975903614,0.32981927710843373,0.1280120481927711,0.1280120481927711,0.6035428038522408,0.6171218530200413,0.5,0.001718213058419244,0.6666666666666666,0.0,0.1935483870967742,0.6877637130801688,0.8521739130434782,0.24096385542168675,1.0,10,20,1,582,160,"[[4, 0, 1, 0, 1], [1, 0, 4, 9, 0], [0, 0, 12, 38, 12], [1, 0, 11, 163, 62], [0, 0, 1, 50, 294]]",6,4,14,0,62,12,237,163,345,294
dev,R1,44,664,0.6957831325301205,0.3493975903614458,0.13855421686746988,0.13855421686746988,0.5695084604798663,0.5903093600728964,0.5,0.0,0.5,0.0,0.1935483870967742,0.6582278481012658,0.8434782608695652,0.08283132530120482,1.0,10,20,0,582,55,"[[3, 1, 1, 0, 1], [1, 0, 4, 7, 2], [1, 0, 12, 36, 13], [0, 0, 12, 156, 69], [0, 0, 1, 53, 291]]",6,3,14,0,62,12,237,156,345,291
dev,R2,42,664,0.6957831325301205,0.35843373493975905,0.18373493975903615,0.18373493975903615,0.567568113939481,0.517660405447216,0.75,0.0,0.16666666666666666,0.0,0.12903225806451613,0.6666666666666666,0.855072463768116,0.2560240963855422,1.0,15,20,0,582,170,"[[1, 0, 1, 3, 1], [0, 0, 3, 10, 1], [0, 0, 8, 40, 14], [0, 0, 8, 158, 71], [0, 0, 0, 50, 295]]",6,1,14,0,62,8,237,158,345,295
dev,R2,43,664,0.6957831325301205,0.3614457831325301,0.15060240963855423,0.15060240963855423,0.5605461733975541,0.5250418321858754,0.65,0.001718213058419244,0.16666666666666666,0.0,0.20967741935483872,0.6582278481012658,0.8463768115942029,0.2921686746987952,1.0,13,20,1,582,194,"[[1, 1, 1, 1, 2], [0, 0, 4, 8, 2], [0, 0, 13, 36, 13], [1, 0, 12, 156, 68], [0, 0, 2, 51, 292]]",6,1,14,0,62,13,237,156,345,292
dev,R2,44,664,0.7033132530120482,0.34186746987951805,0.14006024096385541,0.14006024096385541,0.584878823770501,0.5977790371994842,0.55,0.001718213058419244,0.5,0.0,0.20967741935483872,0.6666666666666666,0.8492753623188406,0.21536144578313254,1.0,11,20,1,582,143,"[[3, 1, 1, 0, 1], [1, 0, 3, 10, 0], [0, 0, 13, 36, 13], [1, 0, 10, 158, 68], [0, 0, 1, 51, 293]]",6,3,14,0,62,13,237,158,345,293
dev,R3,42,664,0.7063253012048193,0.34186746987951805,0.13704819277108435,0.13704819277108435,0.5908901182995683,0.5905245620561927,0.5,0.003436426116838488,0.5,0.0,0.1774193548387097,0.6708860759493671,0.8579710144927536,0.21987951807228914,1.0,10,20,2,582,146,"[[3, 1, 1, 0, 1], [1, 0, 4, 7, 2], [0, 0, 11, 38, 13], [2, 0, 12, 159, 64], [0, 0, 0, 49, 296]]",6,3,14,0,62,11,237,159,345,296
dev,R3,43,664,0.7063253012048193,0.3328313253012048,0.11897590361445783,0.11897590361445783,0.5975590212076702,0.6240408794893287,0.45,0.001718213058419244,0.6666666666666666,0.0,0.1935483870967742,0.6877637130801688,0.8405797101449275,0.0677710843373494,1.0,9,20,1,582,45,"[[4, 0, 1, 0, 1], [2, 0, 4, 8, 0], [0, 0, 12, 38, 12], [1, 0, 11, 163, 62], [0, 0, 0, 55, 290]]",6,4,14,0,62,12,237,163,345,290
dev,R3,44,664,0.6987951807228916,0.34789156626506024,0.1280120481927711,0.1280120481927711,0.5847398315958459,0.5637488475490492,0.6,0.001718213058419244,0.16666666666666666,0.07142857142857142,0.1774193548387097,0.6962025316455697,0.8289855072463768,0.2033132530120482,1.0,12,20,1,582,135,"[[1, 1, 1, 2, 1], [0, 1, 4, 9, 0], [0, 0, 11, 39, 12], [1, 0, 11, 165, 60], [0, 0, 0, 59, 286]]",6,1,14,1,62,11,237,165,345,286
dev,P1_FIELD_DPO,42,664,0.7063253012048193,0.34789156626506024,0.11897590361445783,0.11897590361445783,0.5850081672046203,0.5757935377701826,0.5,0.005154639175257732,0.5,0.0,0.1774193548387097,0.6835443037974683,0.8492753623188406,0.2605421686746988,1.0,10,20,3,582,173,"[[3, 1, 1, 0, 1], [1, 0, 4, 7, 2], [0, 1, 11, 37, 13], [2, 0, 12, 162, 61], [1, 0, 1, 50, 293]]",6,3,14,0,62,11,237,162,345,293
dev,P1_FIELD_DPO,43,664,0.7153614457831325,0.32379518072289154,0.09487951807228916,0.09487951807228916,0.6087029292967536,0.655585839407117,0.35,0.005154639175257732,0.8333333333333334,0.07142857142857142,0.25806451612903225,0.6877637130801688,0.8405797101449275,0.06927710843373494,1.0,7,20,3,582,46,"[[5, 0, 1, 0, 0], [2, 1, 4, 7, 0], [0, 0, 16, 33, 13], [2, 1, 11, 163, 60], [0, 0, 0, 55, 290]]",6,5,14,1,62,16,237,163,345,290
dev,P1_FIELD_DPO,44,664,0.7093373493975904,0.33433734939759036,0.0963855421686747,0.0963855421686747,0.5997341984094189,0.6011714656161586,0.5,0.003436426116838488,0.3333333333333333,0.07142857142857142,0.25806451612903225,0.7088607594936709,0.8231884057971014,0.23343373493975902,1.0,10,20,2,582,155,"[[2, 1, 1, 1, 1], [0, 1, 5, 8, 0], [0, 0, 16, 34, 12], [1, 1, 13, 168, 54], [0, 0, 0, 61, 284]]",6,2,14,1,62,16,237,168,345,284
dev,P2_SORC_SCORE,42,664,0.7078313253012049,0.3433734939759036,0.1144578313253012,0.1144578313253012,0.5894923557722348,0.5920281542260504,0.45,0.005154639175257732,0.5,0.0,0.20967741935483872,0.679324894514768,0.8492753623188406,0.24246987951807228,1.0,9,20,3,582,161,"[[3, 1, 1, 0, 1], [2, 0, 4, 6, 2], [0, 1, 13, 35, 13], [2, 0, 12, 161, 62], [1, 0, 0, 51, 293]]",6,3,14,0,62,13,237,161,345,293
dev,P2_SORC_SCORE,43,664,0.7078313253012049,0.3328313253012048,0.08283132530120482,0.08283132530120482,0.6020582251693665,0.6523599351468203,0.35,0.006872852233676976,0.8333333333333334,0.07142857142857142,0.27419354838709675,0.6708860759493671,0.8347826086956521,0.07379518072289157,1.0,7,20,4,582,49,"[[5, 0, 1, 0, 0], [2, 1, 4, 7, 0], [0, 1, 17, 31, 13], [2, 2, 13, 159, 61], [0, 0, 0, 57, 288]]",6,5,14,1,62,17,237,159,345,288
