split,unit,family,contrast,baseline,treatment,metric,delta_treatment_minus_baseline,paired_seed_sample_sd,delta_seed_42,delta_seed_43,delta_seed_44,ci95_low,ci95_high,valid_replicates,undefined_replicates,minimum_valid_met,p_centered_bootstrap_approx,endpoint_role,family_holm_p,pooled_test_holm_sensitivity_p
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,Exact,0.03664658634538154,0.04671912337671682,0.08433734939759041,0.034638554216867457,-0.009036144578313254,0.021030372886839708,0.052858969094339986,10000,0,True,9.999000099990002e-05,exploratory,,
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,MAE,-0.04668674698795183,0.05275385508475002,-0.09337349397590367,-0.05722891566265065,0.010542168674698815,-0.06940271044236228,-0.025309501629266262,10000,0,True,9.999000099990002e-05,primary,0.0005999400059994001,
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,Signed_Bias,0.009538152610441766,0.07831807986360519,0.08734939759036145,-0.06927710843373495,0.010542168674698801,-0.019139520308176766,0.034483177507456185,10000,0,True,0.4928507149285071,exploratory,,
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,absolute_Signed_Bias,0.009538152610441766,0.07831807986360519,0.08734939759036145,-0.06927710843373495,0.010542168674698801,-0.01920307351437338,0.032700907302425516,10000,0,True,0.47405259474052597,exploratory,,
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,Kendall_tau_b,0.06819743979067573,0.08020516565143944,0.1486391178726562,0.06772230388462963,-0.011769102385258634,0.03884363446545793,0.09855369800787266,10000,0,True,9.999000099990002e-05,exploratory,,
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,QWK,0.10309752511589747,0.12631457306728286,0.18619390185300955,0.1653598155008993,-0.042261142006216446,0.04825838862322297,0.15936220999856734,10000,0,True,0.0004999500049995,exploratory,,
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,L2H_rate,-0.21666666666666667,0.23094010767585027,-0.35,-0.35000000000000003,0.04999999999999993,-0.35294117647058826,-0.07843137254901955,10000,0,True,0.0023997600239976003,primary,0.011998800119988001,
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,H2L_rate,0.001718213058419244,0.001718213058419244,0.003436426116838488,0.001718213058419244,0.0,-0.0011614401858304297,0.005963296379650464,10000,0,True,0.42585741425857415,exploratory,,
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,Label_1_Recall,0.27777777777777773,0.5357583756107198,0.5,0.6666666666666666,-0.33333333333333337,0.08333333333333333,0.5,9980,20,True,0.02324416391143172,exploratory,,
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,Label_2_Recall,0.023809523809523808,0.041239304942116126,0.0,0.0,0.07142857142857142,0.0,0.07407407407407407,9999,1,True,0.5149,exploratory,,
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,Label_3_Recall,0.03763440860215054,0.040590507716509405,0.03225806451612903,0.08064516129032258,0.0,0.0,0.08333333333333336,10000,0,True,0.08649135086491351,exploratory,,
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,Label_4_Recall,-0.0014064697609001235,0.07433029683107634,-0.08016877637130804,0.06751054852320681,0.008438818565400852,-0.03478548631821279,0.03319847856154901,10000,0,True,0.944905509449055,exploratory,,
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,Label_5_Recall,0.05893719806763283,0.12488459981527547,0.2028985507246377,-0.005797101449275366,-0.020289855072463836,0.03801107112510618,0.0802667189397005,10000,0,True,9.999000099990002e-05,exploratory,,
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,forced_completion_rate,0.16014056224899598,0.08005100106537207,0.20933734939759036,0.0677710843373494,0.2033132530120482,0.13524964397531564,0.18674422495841575,10000,0,True,9.999000099990002e-05,exploratory,,
dev,question,SFT_DEV,SFT_VS_SCORE,S0,R3,strict_parse_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,0,True,1.0,exploratory,,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,Exact,-0.0025100401606425273,0.004841190141060717,-0.004518072289156572,-0.0060240963855421326,0.003012048192771122,-0.012993678667686444,0.008167671758789677,10000,0,True,0.6483351664833517,exploratory,,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,MAE,0.002510040160642546,0.0037900775277463525,0.0060240963855421326,0.0030120481927710663,-0.001506024096385561,-0.010703773690939498,0.015527950310558999,10000,0,True,0.7159284071592841,primary,1.0,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,Signed_Bias,-0.00953815261044177,0.0008695034174542465,-0.009036144578313254,-0.009036144578313268,-0.010542168674698787,-0.023598926628813067,0.004347885192803274,10000,0,True,0.18238176182381763,exploratory,,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,absolute_Signed_Bias,-0.00953815261044177,0.0008695034174542465,-0.009036144578313254,-0.009036144578313268,-0.010542168674698787,-0.023598926628813067,0.004347885192803274,10000,0,True,0.18238176182381763,exploratory,,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,Kendall_tau_b,0.0035444483765144272,0.010771056109880725,0.0013857566581342295,-0.005983782644570557,0.015231371115979608,-0.014320463152953185,0.02261992422920239,10000,0,True,0.7126287371262874,exploratory,,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,QWK,-0.001725934552617862,0.021835696817884803,0.014463682396706146,0.006919026469287437,-0.02656051252384717,-0.025117350075137882,0.021785506023458665,10000,0,True,0.8843115688431157,exploratory,,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,L2H_rate,-1.850371707708594e-17,0.08660254037844385,-0.050000000000000044,-0.04999999999999999,0.09999999999999998,-0.04444444444444443,0.053333333333333344,10000,0,True,0.9693030696930307,primary,1.0,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,H2L_rate,0.001718213058419244,0.001718213058419244,0.003436426116838488,0.0,0.001718213058419244,0.0,0.004605641911341393,10000,0,True,0.23497650234976503,exploratory,,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,Label_1_Recall,-0.05555555555555556,0.2545875386086578,0.16666666666666669,0.0,-0.33333333333333337,-0.16666666666666666,0.0,9980,20,True,0.4998497144574692,exploratory,,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,Label_2_Recall,0.0,0.07142857142857142,-0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,9999,1,True,1.0,exploratory,,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,Label_3_Recall,0.00537634408602151,0.024637503736321714,0.03225806451612903,0.0,-0.016129032258064502,-0.02487562189054725,0.03955434690952011,10000,0,True,0.7837216278372163,exploratory,,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,Label_4_Recall,0.002812939521800321,0.033843064459960555,-0.029535864978902926,0.0,0.03797468354430389,-0.018656716417910446,0.027027989527989533,10000,0,True,0.8211178882111789,exploratory,,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,Label_5_Recall,-0.006763285024154612,0.0109737359339136,0.005797101449275366,-0.011594202898550732,-0.01449275362318847,-0.01872686878088777,0.005813953488372103,10000,0,True,0.2930706929307069,exploratory,,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,forced_completion_rate,-0.01204819277108434,0.14891372527690505,0.016566265060240948,-0.17319277108433734,0.12048192771084337,-0.032509074363456306,0.008064707594277486,10000,0,True,0.23717628237176283,exploratory,,
dev,question,SFT_DEV,CONSISTENT_VS_ALL,R1,R3,strict_parse_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,0,True,1.0,exploratory,,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,Exact,0.005522088353413686,0.008695034174542536,0.010542168674698815,0.010542168674698815,-0.004518072289156572,-0.007179763739085761,0.018084453497167054,10000,0,True,0.39956004399560047,exploratory,,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,MAE,-0.01305220883534138,0.017584618361583353,-0.016566265060241003,-0.028614457831325324,0.006024096385542188,-0.02876266187404205,0.001958049217234479,10000,0,True,0.09619038096190381,primary,0.28857114288571145,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,Signed_Bias,-0.030120481927710843,0.017368317160648798,-0.046686746987951805,-0.031626506024096404,-0.01204819277108432,-0.052050895889391845,-0.010954560697518455,10000,0,True,0.006299370062993701,exploratory,,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,absolute_Signed_Bias,-0.030120481927710843,0.017368317160648798,-0.046686746987951805,-0.031626506024096404,-0.01204819277108432,-0.052050895889391845,-0.010954560697518455,10000,0,True,0.006299370062993701,exploratory,,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,Kendall_tau_b,0.02006528666518274,0.018788812127746173,0.023322004360087245,0.037012847810116156,-0.00013899217465518365,-0.0021009688430370524,0.04238494029433341,10000,0,True,0.07529247075292471,exploratory,,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,QWK,0.04594433808733167,0.07048192635748665,0.07286415660897672,0.09899904730345332,-0.03403018965043503,0.010014241326811188,0.08365125630994749,10000,0,True,0.014098590140985901,exploratory,,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,L2H_rate,-0.13333333333333336,0.1607275126832159,-0.25,-0.2,0.04999999999999993,-0.24242424242424243,-0.019607843137254905,10000,0,True,0.025997400259974,primary,0.103989601039896,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,H2L_rate,0.001145475372279496,0.001984021543606961,0.003436426116838488,0.0,0.0,0.0,0.0029291154071470417,10000,0,True,0.22447755224477553,exploratory,,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,Label_1_Recall,0.16666666666666666,0.4409585518440985,0.33333333333333337,0.5,-0.33333333333333337,0.0,0.3333333333333333,9980,20,True,0.09007113515679792,exploratory,,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,Label_2_Recall,0.023809523809523808,0.041239304942116126,0.0,0.0,0.07142857142857142,0.0,0.07407407407407407,9999,1,True,0.5149,exploratory,,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,Label_3_Recall,0.0,0.04267340824297728,0.04838709677419356,-0.01612903225806453,-0.03225806451612903,-0.04022988505747125,0.039685501066098035,10000,0,True,1.0,exploratory,,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,Label_4_Recall,0.021097046413502185,0.014616462511129781,0.0042194092827004814,0.029535864978903037,0.029535864978903037,-0.0027437676427575293,0.046833032024793365,10000,0,True,0.0948905109489051,exploratory,,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,Label_5_Recall,-0.007729468599033858,0.011714353287905462,0.0028985507246376274,-0.005797101449275366,-0.020289855072463836,-0.023121387283236948,0.007207207207207209,10000,0,True,0.31626837316268375,exploratory,,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,forced_completion_rate,-0.09086345381526106,0.1162698721354786,-0.036144578313253045,-0.2243975903614458,-0.012048192771084348,-0.12135871650820058,-0.0616370808678501,10000,0,True,9.999000099990002e-05,exploratory,,
dev,question,SFT_DEV,ALIGNED_VS_SHUFFLED,R2,R3,strict_parse_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,0,True,1.0,exploratory,,
