family,contrast,metric,delta_treatment_minus_baseline,historical_bootstrap,historical_ci95_low,historical_ci95_high,historical_holm_p,question_ci95_low,question_ci95_high,question_holm_p
SFT_DEV,SFT_VS_SCORE,Exact,0.03664658634538154,seed_plus_record_hierarchical_2000,-0.008044678714859426,0.08584337349397586,,0.021030372886839708,0.052858969094339986,
SFT_DEV,SFT_VS_SCORE,MAE,-0.04668674698795183,seed_plus_record_hierarchical_2000,-0.10190763052208834,0.007028112449799173,,-0.06940271044236228,-0.025309501629266262,0.0005999400059994001
SFT_DEV,SFT_VS_SCORE,L2H_rate,-0.21666666666666667,seed_plus_record_hierarchical_2000,-0.5,0.04761904761904767,,-0.35294117647058826,-0.07843137254901955,0.011998800119988001
SFT_DEV,SFT_VS_SCORE,Label_2_Recall,0.023809523809523808,seed_plus_record_hierarchical_2000,0.0,0.12130681818181767,,0.0,0.07407407407407407,
SFT_DEV,SFT_VS_SCORE,Label_5_Recall,0.05893719806763283,seed_plus_record_hierarchical_2000,-0.030038759689922534,0.19308514458599302,,0.03801107112510618,0.0802667189397005,
SFT_DEV,CONSISTENT_VS_ALL,Exact,-0.0025100401606425273,seed_plus_record_hierarchical_2000,-0.01606425702811243,0.011546184738955745,,-0.012993678667686444,0.008167671758789677,
SFT_DEV,CONSISTENT_VS_ALL,MAE,0.002510040160642546,seed_plus_record_hierarchical_2000,-0.013554216867469882,0.019076305220883494,,-0.010703773690939498,0.015527950310558999,1.0
SFT_DEV,CONSISTENT_VS_ALL,L2H_rate,-1.850371707708594e-17,seed_plus_record_hierarchical_2000,-0.1111111111111111,0.11121794871794818,,-0.04444444444444443,0.053333333333333344,1.0
SFT_DEV,CONSISTENT_VS_ALL,Label_2_Recall,0.0,seed_plus_record_hierarchical_2000,-0.111231884057971,0.1111111111111111,,0.0,0.0,
SFT_DEV,CONSISTENT_VS_ALL,Label_5_Recall,-0.006763285024154612,seed_plus_record_hierarchical_2000,-0.026013445589343966,0.010257201646090496,,-0.01872686878088777,0.005813953488372103,
SFT_DEV,ALIGNED_VS_SHUFFLED,Exact,0.005522088353413686,seed_plus_record_hierarchical_2000,-0.012048192771084269,0.024096385542168534,,-0.007179763739085761,0.018084453497167054,
SFT_DEV,ALIGNED_VS_SHUFFLED,MAE,-0.01305220883534138,seed_plus_record_hierarchical_2000,-0.040662650602409645,0.010542168674698761,,-0.02876266187404205,0.001958049217234479,0.28857114288571145
SFT_DEV,ALIGNED_VS_SHUFFLED,L2H_rate,-0.13333333333333336,seed_plus_record_hierarchical_2000,-0.3518790849673203,0.0625,,-0.24242424242424243,-0.019607843137254905,0.103989601039896
