split,unit,arm,metric,mean,seed_sample_sd,ci95_low,ci95_high,valid_replicates,undefined_replicates,minimum_valid_met
dev,question,S0,Exact,0.6671686746987951,0.043099662714621075,0.6290466194111232,0.7035898931000971,10000,0,True
dev,question,S0,MAE,0.38755020080321284,0.048994029357287014,0.33888846928499494,0.44120691471924317,10000,0,True
dev,question,S0,Signed_Bias,0.11847389558232933,0.06928256482790193,0.05839793281653747,0.18135284591731138,10000,0,True
dev,question,S0,absolute_Signed_Bias,0.11847389558232933,0.06928256482790193,0.06873357746904259,0.18135284591731138,10000,0,True
dev,question,S0,Kendall_tau_b,0.5228655505770191,0.07736488473754123,0.46567854889577126,0.57881489974291,10000,0,True
dev,question,S0,QWK,0.4896739045822927,0.1043506353504084,0.4367352688287371,0.542322716319674,10000,0,True
dev,question,S0,L2H_rate,0.7333333333333334,0.1607275126832159,0.5757575757575758,0.8666666666666666,10000,0,True
dev,question,S0,H2L_rate,0.000572737686139748,0.0009920107718034805,0.0,0.0017825311942959,10000,0,True
dev,question,S0,Label_1_Recall,0.16666666666666666,0.2886751345948129,0.0,0.3333333333333333,9980,20,True
dev,question,S0,Label_2_Recall,0.0,0.0,0.0,0.0,9999,1,True
dev,question,S0,Label_3_Recall,0.14516129032258066,0.03225806451612904,0.06666666666666667,0.234375,10000,0,True
dev,question,S0,Label_4_Recall,0.6863572433192685,0.0654121853965316,0.6272099171422123,0.7441545674531155,10000,0,True
dev,question,S0,Label_5_Recall,0.7835748792270532,0.11129579274690397,0.7412653446647782,0.8230094710152134,10000,0,True
dev,question,S0,forced_completion_rate,0.0035140562248995983,0.006086523922179789,0.0005508289260707056,0.007007007007007008,10000,0,True
dev,question,S0,strict_parse_rate,1.0,0.0,1.0,1.0,10000,0,True
dev,question,R1,Exact,0.7063253012048193,0.009160786943220197,0.6661529763540012,0.745730451398367,10000,0,True
dev,question,R1,MAE,0.3383534136546185,0.010027602588071383,0.287765914912124,0.3915102553271379,10000,0,True
dev,question,R1,Signed_Bias,0.13755020080321287,0.009077882188767632,0.08270676691729323,0.19353471612525602,10000,0,True
dev,question,R1,absolute_Signed_Bias,0.13755020080321287,0.009077882188767632,0.08270676691729323,0.19353471612525602,10000,0,True
dev,question,R1,Kendall_tau_b,0.5875185419911803,0.01710385167030146,0.5256719007280759,0.6465823937387201,10000,0,True
dev,question,R1,QWK,0.5944973642508081,0.020848391246681367,0.5140422767977314,0.6662181157682543,10000,0,True
dev,question,R1,L2H_rate,0.5166666666666667,0.028867513459481315,0.3333333333333333,0.7200107526881719,10000,0,True
dev,question,R1,H2L_rate,0.000572737686139748,0.0009920107718034805,0.0,0.0018018018018018018,10000,0,True
dev,question,R1,Label_1_Recall,0.5,0.16666666666666666,0.1111111111111111,0.8888888888888888,9980,20,True
dev,question,R1,Label_2_Recall,0.023809523809523808,0.041239304942116126,0.0,0.07407407407407407,9999,1,True
dev,question,R1,Label_3_Recall,0.17741935483870966,0.02793630334788511,0.08496434937611408,0.27878787878787875,10000,0,True
dev,question,R1,Label_4_Recall,0.6821378340365682,0.021652326748721057,0.6164021164021164,0.7456920311731292,10000,0,True
dev,question,R1,Label_5_Recall,0.8492753623188406,0.005020437123388021,0.8072053993793125,0.8876303655364155,10000,0,True
dev,question,R1,forced_completion_rate,0.1757028112449799,0.08260282465815429,0.15039219747421642,0.20318461841382082,10000,0,True
dev,question,R1,strict_parse_rate,1.0,0.0,1.0,1.0,10000,0,True
dev,question,R2,Exact,0.6982931726907631,0.004347517087271268,0.6573802541544477,0.7392803901831081,10000,0,True
dev,question,R2,MAE,0.3539156626506024,0.010542168674698812,0.301290551063631,0.40917993012422355,10000,0,True
dev,question,R2,Signed_Bias,0.15813253012048192,0.0227902800458156,0.10065394342632582,0.21871990575334277,10000,0,True
