sample_id,original_label,primary_score,primary_confidence,routed,route_reasons,reference_status
22fc3538594bd7f6426d96df9de31645e099e5df,4,5,0.95,True,primary_original_disagreement,teacher_routing_metadata_not_human_review
51e5f21cbcf3748b0c03279f49b625af32cd9b0b,4,4,0.9,True,primary_score_cap,teacher_routing_metadata_not_human_review
a946b20864b31d0ab6a9e953e7ef387da3543466,4,5,0.95,True,primary_original_disagreement,teacher_routing_metadata_not_human_review
605a39edf2ab4a11d8237e2d71382f0ab7c40100,4,5,1.0,True,primary_original_disagreement,teacher_routing_metadata_not_human_review
4abb5320624308bb074fe6932d7ef7c088b0dd41,4,5,0.95,True,primary_original_disagreement,teacher_routing_metadata_not_human_review
149f9441c4d8d11ab5ae76d131041560ce986240,4,5,1.0,True,primary_original_disagreement,teacher_routing_metadata_not_human_review
696ba193025f25d05c1b1f8dfad77c2ca28f12c4,5,5,1.0,False,,teacher_routing_metadata_not_human_review
e78781ba44e7ccd99d93c2d2256495034a753f86,4,5,0.95,True,primary_original_disagreement,teacher_routing_metadata_not_human_review
579c7161d23186114c709867acce054ec73e0531,4,5,1.0,True,primary_original_disagreement,teacher_routing_metadata_not_human_review
f2dd13eea21d86717259e3f2ae658125c15e93a5,5,5,0.95,False,,teacher_routing_metadata_not_human_review
24b68778c68222dd38199329a102b2c36aaca014,5,4,0.85,True,primary_original_disagreement,teacher_routing_metadata_not_human_review
7073c82cd9bf9cb523e855ec7578c31a064b29db,5,4,0.8,True,primary_original_disagreement,teacher_routing_metadata_not_human_review
595ad2f7159ac18f38534303b13a476abbbb4f51,4,4,0.9,True,primary_score_cap,teacher_routing_metadata_not_human_review
6ba1d9fdc2898cfa44f877e7724b403d08eaac96,4,5,1.0,True,primary_original_disagreement,teacher_routing_metadata_not_human_review
eb284da4d05b5674af9f47a017caa8f1d9ab9dcf,4,5,1.0,True,primary_original_disagreement,teacher_routing_metadata_not_human_review
0204872bcf4cd4b4d4937c12c2cd77f0171376ab,5,5,1.0,False,,teacher_routing_metadata_not_human_review
bf19ea328afae37aa116eb7ffee1bea59330c821,4,5,0.95,True,primary_original_disagreement,teacher_routing_metadata_not_human_review
6884a393ed7c16124abf13a87b8d6772fd8c3a3c,5,5,1.0,False,,teacher_routing_metadata_not_human_review
2bb0ae497f69277c49b9ebefcb272292a7756d55,5,5,0.95,False,,teacher_routing_metadata_not_human_review
6261bb31188aaf41dd1973a877736897ef115e23,5,5,1.0,False,,teacher_routing_metadata_not_human_review
