variant,split,threshold_method,MAE,QWK,Accuracy,low_to_high_count,true_low_n,low_to_high_rate,label1_recall,label2_recall,label5_recall,monotonic_violation
qmr,dev,boundary_tower_tau,0.3992773261065944,0.5532253604287027,0.6766034327009937,29,57,0.5087719298245614,0.47368421052631576,0.0,0.8183453237410072,0.0
qmr,test,boundary_tower_tau,0.3771532184950136,0.5380439050453694,0.671804170444243,17,31,0.5483870967741935,0.8888888888888888,0.0,0.7792207792207793,0.0
qmr,dev,global_threshold_on_s,0.5618789521228545,0.37468703961615557,0.5248419150858176,44,57,0.7719298245614035,0.6842105263157895,0.0,0.5863309352517986,0.0
qmr,dev,metric_threshold_on_s,0.4959349593495935,0.44587142101684674,0.6007226738934056,40,57,0.7017543859649122,0.6842105263157895,0.0,0.75,0.0
qmr,test,global_threshold_on_s,0.5058930190389845,0.37021217107756366,0.5403445149592022,23,31,0.7419354838709677,0.8888888888888888,0.0,0.547077922077922,0.0
qmr,test,metric_threshold_on_s,0.4669084315503173,0.4596304298539786,0.5965548504079783,20,31,0.6451612903225806,0.8888888888888888,0.09090909090909091,0.6964285714285714,0.0
qmr,dev,oracle_dev_threshold_on_s,0.5564588979223125,0.37547472012152827,0.5230352303523035,44,57,0.7719298245614035,0.631578947368421,0.0,0.5359712230215827,0.0
metric_rubric,dev,boundary_tower_tau,0.42366757000903343,0.5274086704845666,0.6531165311653117,33,57,0.5789473684210527,0.6842105263157895,0.0,0.8381294964028777,0.0
metric_rubric,test,boundary_tower_tau,0.37080689029918407,0.5523716792790127,0.6736174070716229,15,31,0.4838709677419355,0.8888888888888888,0.0,0.8133116883116883,0.0
metric_rubric,dev,global_threshold_on_s,0.5266485998193315,0.3666596763126765,0.5663956639566395,44,57,0.7719298245614035,0.6842105263157895,0.0,0.5935251798561151,0.0
metric_rubric,dev,metric_threshold_on_s,0.4363143631436314,0.4799323489234373,0.6485998193315267,44,57,0.7719298245614035,0.6842105263157895,0.0,0.75,0.0
metric_rubric,test,global_threshold_on_s,0.5113327289211242,0.4009406201972713,0.5240253853127833,22,31,0.7096774193548387,0.8888888888888888,0.0,0.4772727272727273,0.0
metric_rubric,test,metric_threshold_on_s,0.41523118766999095,0.48758341076104406,0.6300997280145059,21,31,0.6774193548387096,0.8888888888888888,0.0,0.6818181818181818,0.0
metric_rubric,dev,oracle_dev_threshold_on_s,0.5013550135501355,0.395549860521199,0.6043360433604336,44,57,0.7719298245614035,0.631578947368421,0.0,0.7661870503597122,0.0
