view,final_score,failure_bucket,final_confidence,final_reference_source,count
representative,1,hidden_or_missing_failure,high,blind_reviewer_consensus,10
representative,1,visible_failure,high,blind_reviewer_consensus,1
representative,1,visible_failure,medium,final_adjudication,1
representative,2,hidden_or_missing_failure,high,blind_reviewer_consensus,1
representative,2,hidden_or_missing_failure,high,final_adjudication,10
representative,2,unclear,medium,final_adjudication,2
representative,2,visible_failure,high,blind_reviewer_consensus,4
representative,2,visible_failure,medium,final_adjudication,3
representative,3,hidden_or_missing_failure,medium,final_adjudication,1
representative,3,unclear,medium,final_adjudication,2
representative,3,visible_failure,high,blind_reviewer_consensus,7
representative,3,visible_failure,high,final_adjudication,1
representative,3,visible_failure,medium,blind_reviewer_consensus,1
representative,4,no_failure,high,blind_reviewer_consensus,16
representative,4,no_failure,medium,blind_reviewer_consensus,5
representative,4,no_failure,medium,final_adjudication,4
representative,4,unclear,medium,final_adjudication,1
representative,4,visible_failure,high,blind_reviewer_consensus,1
representative,4,visible_failure,high,final_adjudication,3
representative,4,visible_failure,medium,blind_reviewer_consensus,1
representative,4,visible_failure,medium,final_adjudication,7
representative,5,no_failure,high,blind_reviewer_consensus,33
representative,5,no_failure,high,final_adjudication,4
representative,5,no_failure,medium,final_adjudication,1
risk_enriched,1,hidden_or_missing_failure,high,blind_reviewer_consensus,4
risk_enriched,1,hidden_or_missing_failure,high,final_adjudication,1
risk_enriched,2,hidden_or_missing_failure,high,final_adjudication,2
risk_enriched,2,unclear,low,final_adjudication,1
risk_enriched,2,unclear,medium,final_adjudication,1
risk_enriched,2,visible_failure,high,blind_reviewer_consensus,4
risk_enriched,2,visible_failure,high,final_adjudication,3
risk_enriched,2,visible_failure,medium,final_adjudication,4
risk_enriched,3,unclear,medium,final_adjudication,1
risk_enriched,3,visible_failure,high,blind_reviewer_consensus,6
risk_enriched,3,visible_failure,high,final_adjudication,1
risk_enriched,3,visible_failure,medium,final_adjudication,3
risk_enriched,4,no_failure,high,blind_reviewer_consensus,4
risk_enriched,4,no_failure,high,final_adjudication,1
risk_enriched,4,no_failure,medium,blind_reviewer_consensus,1
risk_enriched,4,no_failure,medium,final_adjudication,2
risk_enriched,4,unclear,medium,final_adjudication,1
risk_enriched,4,visible_failure,high,blind_reviewer_consensus,1
risk_enriched,4,visible_failure,high,final_adjudication,1
risk_enriched,4,visible_failure,medium,blind_reviewer_consensus,1
risk_enriched,4,visible_failure,medium,final_adjudication,4
risk_enriched,5,no_failure,high,blind_reviewer_consensus,11
risk_enriched,5,no_failure,medium,final_adjudication,2
