sample_id,candidate_pool,gold_label,generated_count,score_risk_rejected_count,evidence_inconsistency_rejected_count,used_score_risk_pairs,used_evidence_pairs,failure_mode_auto,metric,language
26347fdbe0a04b7bfbc0e5079be670bb041a82f8,pool_a_strict_d1_like_low,2,66,15,0,12,0,surface_fluent_but_hidden_defect,Scenario Element Integration,en
b51fe8038ded98685f2c18b27990ce26056dfc17,pool_a_strict_d1_like_low,2,71,13,0,12,0,surface_fluent_but_hidden_defect,Scenario Element Integration,en
1b5df375ab0c6d48d21dc9a88fd408b29454ff67,pool_a_strict_d1_like_low,2,72,13,0,12,0,surface_fluent_but_hidden_defect,Higher-Order Thinking & Skill Development,en
7a5ae2c79851e40cccaf47deb5d4953023576ec9,pool_a_strict_d1_like_low,2,67,7,0,7,0,insufficient_evidence,Scenario Element Integration,en
78a2f1f17b59206fae3cdedb6b11a9fef084b670,pool_a_strict_d1_like_low,2,70,10,0,10,0,insufficient_evidence,Higher-Order Thinking & Skill Development,en
f51251a778d6f6601796be0ed017d6173d91d44b,pool_a_strict_d1_like_low,2,70,9,0,9,0,surface_fluent_but_hidden_defect,Higher-Order Thinking & Skill Development,en
d669073d100a7f3755e1ce0ec3bd63e9b6c54e34,pool_a_strict_d1_like_low,2,69,11,0,11,0,insufficient_evidence,Error Identification & Correction Precision,en
7dfd63e7375e5474e2df047ebe282cf4ba8661b8,pool_a_strict_d1_like_low,1,72,22,0,12,0,insufficient_evidence,Reasoning Process Rigor,en
b98b50d95782304d48d08ccbe6eda435ec3f66c7,pool_a_strict_d1_like_low,2,69,12,0,12,0,surface_fluent_but_hidden_defect,Scenario Element Integration,en
a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,pool_a_strict_d1_like_low,2,70,16,0,12,0,insufficient_evidence,Reasoning Process Rigor,en
13af8e6896f2be6cf223e45bf4f1652fe39fe7d3,pool_a_strict_d1_like_low,2,72,15,0,12,0,missing_key_point,Higher-Order Thinking & Skill Development,en
1905d9dcdf2880df39d9d380624436abd892da5a,pool_a_strict_d1_like_low,2,69,9,0,9,0,missing_key_point,Scenario Element Integration,en
107a460ba82cd473b9a08a5d43257a7f1d336874,pool_a_strict_d1_like_low,2,68,8,0,8,0,surface_fluent_but_hidden_defect,Error Identification & Correction Precision,en
25a37166756d804397ce1540111f9b80f5bd477b,pool_a_strict_d1_like_low,2,61,0,0,0,0,surface_fluent_but_hidden_defect,Higher-Order Thinking & Skill Development,zh
