synthetic_id,manual_review_required,manual_quality_ok,manual_label_plausible,manual_notes,review_natural_plausible,review_label_plausible,review_error_type_aligned,review_no_artifact_phrase,review_no_copy_or_leakage_concern,review_keep_for_batch96
syn_cdaf79084c7a0f1a,no,,,,,,,,,
syn_5dc6c8dd418ddfa8,no,,,,,,,,,
syn_8e2bd5a30ecbe08f,no,,,,,,,,,
syn_073f080987ab64fe,no,,,,,,,,,
syn_dd9d06726026262f,no,,,,,,,,,
syn_f4e2aafef9cbd5eb,no,,,,,,,,,
syn_00da6f839dfb0de7,no,,,,,,,,,
syn_0e265ba78949a6f9,no,,,,,,,,,
syn_47af61777670fce4,no,,,,,,,,,
syn_c1fca5b92cf0bc21,no,,,,,,,,,
syn_be0c55c2a79384de,no,,,,,,,,,
syn_beedb805961c16f3,no,,,,,,,,,
syn_afae2bcd82728031,no,,,,,,,,,
syn_a6800b496cebf41c,no,,,,,,,,,
syn_19182a8d6acc576d,no,,,,,,,,,
syn_d721f90674792944,no,,,,,,,,,
syn_47ae529de464a185,no,,,,,,,,,
syn_2b02067d6cd76e78,no,,,,,,,,,
syn_d792ed5f8efb6ea8,no,,,,,,,,,
syn_a776b8f509e6c239,no,,,,,,,,,
syn_fbea43f99af20f1c,no,,,,,,,,,
syn_a9fabe58b42413ca,no,,,,,,,,,
syn_57f198a97c0291e2,no,,,,,,,,,
syn_920e17e7db56e1cd,no,,,,,,,,,
syn_db2c3665c2701f48,no,,,,,,,,,
syn_04500ba6aa432cc5,no,,,,,,,,,
syn_880d8a0283ad35a2,no,,,,,,,,,
syn_f6aa1ad7fcd811b9,no,,,,,,,,,
syn_e7ae50ef755e55c9,no,,,,,,,,,
syn_af7996a071bf4b15,no,,,,,,,,,
syn_c8c307bb996ffe32,no,,,,,,,,,
syn_0a7492bf081b6d27,no,,,,,,,,,
syn_f14aa5019e1dfc84,no,,,,,,,,,
syn_6ecac000b63bd677,no,,,,,,,,,
syn_914b7d75f45a1c1c,no,,,,,,,,,
syn_7ffe1cedf9b1813c,no,,,,,,,,,
