synthetic_id,synthetic_plan_id,source_record_id,source_question_key_in_dev,source_question_key_in_test,source_triple_key_in_dev,source_triple_key_in_test,synthetic_question_key_in_dev,synthetic_question_key_in_test,synthetic_qa_key_in_dev,synthetic_qa_key_in_test,duplicate_synthetic_answer,duplicate_with_human_test_answer,source_split_not_train,leakage_status,notes
syn_f6c02480efb8cf07,topup2_001,159b7386821c4d4e9f8f4255c2956a44b2f8ab69,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_ad6f5d562a6c5f67,topup2_002,048058816bba705040007e7b0c822282f1c5defa,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_99cf0549fdd9725e,topup2_003,01ffcbf103c1dce7417ed4518a50fc19a77d1ee9,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_e54d94869fdf4a9a,topup2_004,0b24303ee333541742acab0e6ac342abe677c221,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_59df61e0aa71d402,topup2_005,000b1f47c21ee93516a424f0cba80a7188cf3e6f,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_611b84fa868f98ff,topup2_006,0942860282ba5b6d5c4ccdd37c25684c96145355,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_cddd1f83279de75f,topup2_007,016540423ea53b5e0973f79a57e2d4cb12777b0c,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_26e2c83a2940a46d,topup2_008,0284805df66b2a4fdfe8be98139ba1385f7021bc,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_445c7acb94c84581,topup2_009,0362a81a2b2675a908b5f959600c1d353d74b7ba,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_8b35e7132a11f258,topup2_010,05719e6a594b02067f38995842cea54ddd2e2bcc,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_bcb5850f20b7e888,topup2_011,0c508e06e64a5ef43de51a922c342509945ba089,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_c600b1d039ca9b56,topup2_012,bfe29a18588854476c486114720fc6861def3795,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_e9fb502243a4af5a,topup2_013,18648970913f54573650bc09b724371f3bbb59fc,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_e7be5812627d2bc6,topup2_014,05002f9b50f0c560d85084ff8e450f17ccb22f11,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_144eafb4f020a0c8,topup2_015,08e737f8db24a1815e8edc854498b561139dd553,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_11983bf767a7d465,topup2_016,0fb5d1f2993ec7e5eeb9711205c1dd42c95bdead,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_e6b8dd3d4ce6df48,topup2_017,03c02b32f53105706e139a71aaa785183488cd6e,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_37fec624cf94e387,topup2_019,0322110ec0d8df9ad5b7229283960bb401088a66,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_314f22879430939c,topup2_020,220cff12d7324592c00a7e3e61ab7b0d5a705dad,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_191df705db4764b3,topup2_021,12326b370deba9d6576e667938f836f2c5fdbe73,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_d3be3fd363a0f07e,topup2_022,0b8a6fca069ff6e48a4de848e6bcf1cf86a4d79b,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_d9cb7b338e492ea2,topup2_023,36c4129ccb3051ed39c02b1d5c05a3b9e7aff19b,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_599a7a72d8e4d477,topup2_024,d53a7fed557a04914a856d8d293c5721e6aa6140,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_6b2d9f21aeec6b0a,topup2_025,4026d69afb5d75079094ad5d1385db33f6e5b610,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_a47e0b1742a80cf5,topup2_026,4405dca3cf5a7c3c509bb3b5ef32f805420d4b66,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_17e2f942e0fb7db9,topup2_027,11c53e15f5b4879c3522cfd481f08136a177c8ec,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
syn_ce868b8d5358e772,topup2_028,1306af08bd266c0cc70dcc32663b886f43ad6d58,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-11 topup2 leakage and dedup check
