sample_id,qwen_score,deepseek_score,abs_score_diff,qwen_risk_flag,deepseek_risk_flag,risk_flag_match
06861366641747d8214ceee8efb257daab5915fd,2,1,1,hidden_low_failure,borderline,False
0f9bdd1ac2b116a1f087a68008be1d0a38cb8ab1,1,1,0,hidden_low_failure,unclear,False
3a5e33210fd977f5c8bc6df5dc98a0402f4663ac,4,4,0,clean_high,clean_high,True
3ba4af0cd6da089654cdea6d00de3244b80fc906,5,5,0,clean_high,clean_high,True
41f6f52edd1473f3cc3cde8e6923d1e09fa429d5,4,5,1,clean_high,clean_high,True
46133cfb383c1c10e94bab324dabdce1277ab939,5,4,1,clean_high,borderline,False
4a94159b2cfae1127c979628b87af3087401a413,4,4,0,clean_high,borderline,False
4d603e5ed030c00413f35f1852ebb1859d5dc6be,1,1,0,hidden_low_failure,hidden_low_failure,True
5e15d31d11a545d5b8842f8a9f51ae58c59e7634,5,5,0,clean_high,clean_high,True
63ab64773fb76fbe6cba302eed79041a8316bb7c,2,2,0,hidden_low_failure,borderline,False
65890fb994cef054dc75e0e6dd4c1b3e2d91805d,5,5,0,clean_high,clean_high,True
8341e93909c0704df94f772a62c2864d3bbd1a62,4,4,0,clean_high,clean_high,True
8ff264a74369c7106935fc453add4b92d95a8b87,1,1,0,hidden_low_failure,hidden_low_failure,True
a6a61e243a1f0c09ac86c3557bd39377eff935bc,4,5,1,borderline,clean_high,False
aecd1f611f3240d1b34cc110420629542708fd0a,2,2,0,borderline,hidden_low_failure,False
c42d9020842ba63f6ee5de91d4d4b21f97f246ac,2,3,1,hidden_low_failure,borderline,False
dcf321c484e4128628a7517762ccaf72fc0916d8,1,1,0,hidden_low_failure,hidden_low_failure,True
e226030ea01e090a606049052bd6c187688f7a7a,5,5,0,clean_high,clean_high,True
ec9a7870c5ca6a68b1ba47d38ed2852f9d6a317e,4,5,1,borderline,clean_high,False
eca00ddc55d718efe2435adde78462ed09661b7c,1,2,1,hidden_low_failure,hidden_low_failure,True
