dataset_variant,risk_type,rejected_source,n
r6a_qwen_score_only,high_to_low_real_model_error,qwen3_4b_r0a_direct,69
r6a_qwen_score_only,high_to_mid_real_model_error,qwen3_4b_r0a_direct,87
r6a_qwen_score_only,low_to_high_real_model_error,qwen3_4b_r0a_direct,87
r6a_qwen_score_only,low_to_mid_real_model_error,qwen3_4b_r0a_direct,19
r6a_qwen_score_only,mid_to_high_real_model_error,qwen3_4b_r0a_direct,262
r6a_qwen_score_only,mid_to_low_real_model_error,qwen3_4b_r0a_direct,2
r6b_multi_score_only,high_to_low_real_model_error,EduBenchEvaluator,1
r6b_multi_score_only,high_to_low_real_model_error,deepseek-r1,81
r6b_multi_score_only,high_to_low_real_model_error,deepseek-v3,57
r6b_multi_score_only,high_to_low_real_model_error,gpt-4o,3
r6b_multi_score_only,high_to_low_real_model_error,qwen3_4b_r0a_direct,69
r6b_multi_score_only,high_to_low_real_model_error,qwq-plus,54
r6b_multi_score_only,high_to_mid_real_model_error,EduBenchEvaluator,18
r6b_multi_score_only,high_to_mid_real_model_error,deepseek-r1,88
r6b_multi_score_only,high_to_mid_real_model_error,deepseek-v3,18
r6b_multi_score_only,high_to_mid_real_model_error,gpt-4o,19
r6b_multi_score_only,high_to_mid_real_model_error,qwen3_4b_r0a_direct,87
r6b_multi_score_only,high_to_mid_real_model_error,qwq-plus,70
r6b_multi_score_only,low_to_high_real_model_error,EduBenchEvaluator,86
r6b_multi_score_only,low_to_high_real_model_error,deepseek-r1,70
r6b_multi_score_only,low_to_high_real_model_error,deepseek-v3,97
r6b_multi_score_only,low_to_high_real_model_error,gpt-4o,87
r6b_multi_score_only,low_to_high_real_model_error,qwen3_4b_r0a_direct,87
r6b_multi_score_only,low_to_high_real_model_error,qwq-plus,83
r6b_multi_score_only,low_to_mid_real_model_error,EduBenchEvaluator,5
r6b_multi_score_only,low_to_mid_real_model_error,deepseek-r1,12
r6b_multi_score_only,low_to_mid_real_model_error,deepseek-v3,7
r6b_multi_score_only,low_to_mid_real_model_error,gpt-4o,12
r6b_multi_score_only,low_to_mid_real_model_error,qwen3_4b_r0a_direct,19
r6b_multi_score_only,low_to_mid_real_model_error,qwq-plus,9
r6b_multi_score_only,mid_to_high_real_model_error,EduBenchEvaluator,254
r6b_multi_score_only,mid_to_high_real_model_error,deepseek-r1,208
r6b_multi_score_only,mid_to_high_real_model_error,deepseek-v3,272
r6b_multi_score_only,mid_to_high_real_model_error,gpt-4o,259
r6b_multi_score_only,mid_to_high_real_model_error,qwen3_4b_r0a_direct,262
r6b_multi_score_only,mid_to_high_real_model_error,qwq-plus,221
r6b_multi_score_only,mid_to_low_real_model_error,deepseek-r1,34
r6b_multi_score_only,mid_to_low_real_model_error,deepseek-v3,5
r6b_multi_score_only,mid_to_low_real_model_error,gpt-4o,2
r6b_multi_score_only,mid_to_low_real_model_error,qwen3_4b_r0a_direct,2
r6b_multi_score_only,mid_to_low_real_model_error,qwq-plus,27
r6c_low_high_score_only,high_to_low_real_model_error,EduBenchEvaluator,1
r6c_low_high_score_only,high_to_low_real_model_error,deepseek-r1,81
r6c_low_high_score_only,high_to_low_real_model_error,deepseek-v3,57
r6c_low_high_score_only,high_to_low_real_model_error,gpt-4o,3
r6c_low_high_score_only,high_to_low_real_model_error,qwen3_4b_r0a_direct,69
r6c_low_high_score_only,high_to_low_real_model_error,qwq-plus,54
r6c_low_high_score_only,high_to_mid_real_model_error,EduBenchEvaluator,18
r6c_low_high_score_only,high_to_mid_real_model_error,deepseek-r1,88
r6c_low_high_score_only,high_to_mid_real_model_error,deepseek-v3,18
r6c_low_high_score_only,high_to_mid_real_model_error,gpt-4o,19
r6c_low_high_score_only,high_to_mid_real_model_error,qwen3_4b_r0a_direct,87
r6c_low_high_score_only,high_to_mid_real_model_error,qwq-plus,70
r6c_low_high_score_only,low_to_high_real_model_error,EduBenchEvaluator,86
r6c_low_high_score_only,low_to_high_real_model_error,deepseek-r1,70
r6c_low_high_score_only,low_to_high_real_model_error,deepseek-v3,97
r6c_low_high_score_only,low_to_high_real_model_error,gpt-4o,87
r6c_low_high_score_only,low_to_high_real_model_error,qwen3_4b_r0a_direct,87
r6c_low_high_score_only,low_to_high_real_model_error,qwq-plus,83
r6d_multi_structured_chosen,high_to_low_real_model_error,EduBenchEvaluator,1
r6d_multi_structured_chosen,high_to_low_real_model_error,deepseek-r1,81
r6d_multi_structured_chosen,high_to_low_real_model_error,deepseek-v3,57
r6d_multi_structured_chosen,high_to_low_real_model_error,gpt-4o,3
r6d_multi_structured_chosen,high_to_low_real_model_error,qwen3_4b_r0a_direct,69
r6d_multi_structured_chosen,high_to_low_real_model_error,qwq-plus,54
r6d_multi_structured_chosen,high_to_mid_real_model_error,EduBenchEvaluator,18
r6d_multi_structured_chosen,high_to_mid_real_model_error,deepseek-r1,88
r6d_multi_structured_chosen,high_to_mid_real_model_error,deepseek-v3,18
r6d_multi_structured_chosen,high_to_mid_real_model_error,gpt-4o,19
r6d_multi_structured_chosen,high_to_mid_real_model_error,qwen3_4b_r0a_direct,87
r6d_multi_structured_chosen,high_to_mid_real_model_error,qwq-plus,70
r6d_multi_structured_chosen,low_to_high_real_model_error,EduBenchEvaluator,86
r6d_multi_structured_chosen,low_to_high_real_model_error,deepseek-r1,70
r6d_multi_structured_chosen,low_to_high_real_model_error,deepseek-v3,97
r6d_multi_structured_chosen,low_to_high_real_model_error,gpt-4o,87
r6d_multi_structured_chosen,low_to_high_real_model_error,qwen3_4b_r0a_direct,87
r6d_multi_structured_chosen,low_to_high_real_model_error,qwq-plus,83
r6d_multi_structured_chosen,low_to_mid_real_model_error,EduBenchEvaluator,5
r6d_multi_structured_chosen,low_to_mid_real_model_error,deepseek-r1,12
r6d_multi_structured_chosen,low_to_mid_real_model_error,deepseek-v3,7
r6d_multi_structured_chosen,low_to_mid_real_model_error,gpt-4o,12
r6d_multi_structured_chosen,low_to_mid_real_model_error,qwen3_4b_r0a_direct,19
r6d_multi_structured_chosen,low_to_mid_real_model_error,qwq-plus,9
r6d_multi_structured_chosen,mid_to_high_real_model_error,EduBenchEvaluator,254
r6d_multi_structured_chosen,mid_to_high_real_model_error,deepseek-r1,208
r6d_multi_structured_chosen,mid_to_high_real_model_error,deepseek-v3,272
r6d_multi_structured_chosen,mid_to_high_real_model_error,gpt-4o,259
r6d_multi_structured_chosen,mid_to_high_real_model_error,qwen3_4b_r0a_direct,262
r6d_multi_structured_chosen,mid_to_high_real_model_error,qwq-plus,221
r6d_multi_structured_chosen,mid_to_low_real_model_error,deepseek-r1,34
r6d_multi_structured_chosen,mid_to_low_real_model_error,deepseek-v3,5
r6d_multi_structured_chosen,mid_to_low_real_model_error,gpt-4o,2
r6d_multi_structured_chosen,mid_to_low_real_model_error,qwen3_4b_r0a_direct,2
