view,method,rows,mae,qwk,exact,signed_bias,low_to_high,high_to_low,label2_recall,avg_entropy,gate_rate
fresh_general_qualification,rounded_human,120,0.6166666666666667,0.39312977099236635,0.5083333333333333,-0.13333333333333333,0.2857142857142857,0.0,0.0,0.0,
fresh_general_qualification,human_empirical,120,0.688888888888889,0.39312977099236635,0.5083333333333333,-0.1666666666666669,0.2857142857142857,0.0,0.0,0.23070161864383856,
fresh_general_qualification,qwen_hard,120,0.4666666666666667,0.5969626168224299,0.6416666666666667,-0.18333333333333332,0.14285714285714285,0.050505050505050504,0.6666666666666666,0.0,
fresh_general_qualification,qwen_calibrated,120,0.5921374249943642,0.20929324482623957,0.6,-0.051922077628151105,1.0,0.030303030303030304,0.0,0.40309910504272656,
fresh_general_qualification,naive_fusion,120,0.5916666666666667,0.39173680183626625,0.48333333333333334,-0.17083333333333334,0.2857142857142857,0.0,0.0,0.33891221401170746,
fresh_general_qualification,EduDART_pre_projection_diagnostic,120,0.6924591128072412,0.1833810888252151,0.43333333333333335,-0.18235285924874764,0.5714285714285714,0.0,0.0,0.4354691246314003,0.9166666666666666
fresh_general_qualification,EduDART-Cal,120,0.6734245836989856,0.12416851441241705,0.525,-0.006120517133429707,0.5714285714285714,0.020202020202020204,0.5,0.35063565427602483,0.9166666666666666
low_tail_reassessment,rounded_human,76,1.7105263157894737,0.11824240928165886,0.34210526315789475,-1.6578947368421053,0.0,1.0,0.8571428571428571,0.0,
low_tail_reassessment,human_empirical,76,1.7149122807017545,0.11824240928165886,0.34210526315789475,-1.618421052631579,0.0,1.0,0.8571428571428571,0.11968730591296887,
low_tail_reassessment,qwen_hard,76,0.6973684210526315,0.675065274151436,0.631578947368421,-0.4605263157894737,0.03333333333333333,0.23809523809523808,0.9285714285714286,0.0,
low_tail_reassessment,qwen_calibrated,76,1.3170440283588951,-0.023729759910664505,0.39473684210526316,0.855899755531976,0.9,0.0,0.21428571428571427,0.6485970259363644,
low_tail_reassessment,naive_fusion,76,1.4342105263157894,0.13322009221062847,0.34210526315789475,-1.3289473684210527,0.0,1.0,0.7857142857142857,0.28375737738198376,
low_tail_reassessment,EduDART_pre_projection_diagnostic,76,2.02231600336098,-0.13621262458471772,0.27631578947368424,-0.858575098685344,0.23333333333333334,0.9523809523809523,0.7857142857142857,0.4911005348591785,0.5789473684210527
low_tail_reassessment,EduDART-Cal,76,1.9865809008199733,-0.027566290364925194,0.2236842105263158,-0.772570565398557,0.4666666666666667,0.8095238095238095,0.0,0.45564247346461345,0.5789473684210527
