run_name,seed,item,value,note
train_projection_score,42,run_id,EXP12B_train_projection_score,
train_projection_score,42,ablation_name,train_projection_score,
train_projection_score,42,seed,42,
train_projection_score,42,num_train_epochs,3.0,
train_projection_score,42,lambda_point,1.0,
train_projection_score,42,lambda_pair,0.05,
train_projection_score,42,lambda_anchor,0.5,
train_projection_score,42,lambda_mono,0.1,
train_projection_score,42,eta_proj,0.1,
train_projection_score,42,projection_method,pava,
train_projection_score,42,projection_in_decode,True,
train_projection_score,42,projection_in_pair_score,True,
train_projection_score,42,projection_in_point_loss,False,
train_projection_score,42,projection_in_anchor,False,
train_projection_score,42,use_projected_anchor,False,
train_projection_score,42,use_raw_projection_consistency,True,
train_projection_score,42,selection_rule,mae_guard_p_gt_3_low_mean,
train_projection_score,42,selection_delta,0.005,
train_projection_score,42,selection_decode_mode,projected,
train_projection_score,42,learning_rate,1e-05,
train_projection_score,42,per_device_train_batch_size,32,
train_projection_score,42,gradient_accumulation_steps,4,
train_projection_point_pair,42,run_id,EXP12B_train_projection_point_pair,
train_projection_point_pair,42,ablation_name,train_projection_point_pair,
train_projection_point_pair,42,seed,42,
train_projection_point_pair,42,num_train_epochs,3.0,
train_projection_point_pair,42,lambda_point,1.0,
train_projection_point_pair,42,lambda_pair,0.05,
train_projection_point_pair,42,lambda_anchor,0.5,
train_projection_point_pair,42,lambda_mono,0.1,
train_projection_point_pair,42,eta_proj,0.1,
train_projection_point_pair,42,projection_method,pava,
train_projection_point_pair,42,projection_in_decode,True,
train_projection_point_pair,42,projection_in_pair_score,True,
train_projection_point_pair,42,projection_in_point_loss,True,
train_projection_point_pair,42,projection_in_anchor,False,
train_projection_point_pair,42,use_projected_anchor,False,
train_projection_point_pair,42,use_raw_projection_consistency,True,
train_projection_point_pair,42,selection_rule,mae_guard_p_gt_3_low_mean,
train_projection_point_pair,42,selection_delta,0.005,
train_projection_point_pair,42,selection_decode_mode,projected,
train_projection_point_pair,42,learning_rate,1e-05,
train_projection_point_pair,42,per_device_train_batch_size,32,
train_projection_point_pair,42,gradient_accumulation_steps,4,
map_oc_full,42,run_id,EXP12B_map_oc_full,
map_oc_full,42,ablation_name,map_oc_full,
map_oc_full,42,seed,42,
map_oc_full,42,num_train_epochs,3.0,
map_oc_full,42,lambda_point,1.0,
map_oc_full,42,lambda_pair,0.05,
map_oc_full,42,lambda_anchor,0.5,
map_oc_full,42,lambda_mono,0.1,
map_oc_full,42,eta_proj,0.1,
map_oc_full,42,projection_method,pava,
map_oc_full,42,projection_in_decode,True,
map_oc_full,42,projection_in_pair_score,True,
map_oc_full,42,projection_in_point_loss,True,
map_oc_full,42,projection_in_anchor,True,
map_oc_full,42,use_projected_anchor,True,
map_oc_full,42,use_raw_projection_consistency,True,
map_oc_full,42,selection_rule,mae_guard_p_gt_3_low_mean,
map_oc_full,42,selection_delta,0.005,
map_oc_full,42,selection_decode_mode,projected,
map_oc_full,42,learning_rate,1e-05,
map_oc_full,42,per_device_train_batch_size,32,
map_oc_full,42,gradient_accumulation_steps,4,
