source,run_name,seed,epoch,global_step,split,raw_low_to_high_count,projected_low_to_high_count,delta_low_to_high_count,raw_low_to_high,projected_low_to_high,delta_low_to_high,raw_MAE,projected_MAE,delta_MAE,raw_QWK,projected_QWK,delta_QWK,raw_Acc@5,projected_Acc@5,delta_Acc@5,raw_monotonic_violation,projected_monotonic_violation,delta_monotonic_violation
exp12b,map_oc_full,42,1,79,dev,27,27,0.0,0.47368421052631576,0.47368421052631576,0.0,0.5022583559168925,0.5022583559168925,0.0,0.5553479492673417,0.5553479492673417,0.0,0.7805755395683454,0.7805755395683454,0.0,0.4878048780487805,0.0,-0.4878048780487805
exp12b,map_oc_full,42,2,158,dev,28,28,0.0,0.49122807017543857,0.49122807017543857,0.0,0.4962360734718458,0.4962360734718458,0.0,0.554210528137689,0.554210528137689,0.0,0.7823741007194245,0.7823741007194245,0.0,0.5492321589882565,0.0,-0.5492321589882565
exp12b,map_oc_full,42,3,237,dev,28,28,0.0,0.49122807017543857,0.49122807017543857,0.0,0.4890093345377898,0.4890093345377898,0.0,0.5629143201512854,0.5629143201512854,0.0,0.7823741007194245,0.7823741007194245,0.0,0.5411020776874436,0.0,-0.5411020776874436
exp12b,train_projection_point_pair,42,1,79,dev,28,28,0.0,0.49122807017543857,0.49122807017543857,0.0,0.4875037639265281,0.4875037639265281,0.0,0.5506128796998427,0.5506128796998427,0.0,0.7913669064748201,0.7913669064748201,0.0,0.34688346883468835,0.0,-0.34688346883468835
exp12b,train_projection_point_pair,42,2,158,dev,28,28,0.0,0.49122807017543857,0.49122807017543857,0.0,0.4896115627822945,0.4896115627822945,0.0,0.5508248100628228,0.5508248100628228,0.0,0.762589928057554,0.762589928057554,0.0,0.33875338753387535,0.0,-0.33875338753387535
exp12b,train_projection_point_pair,42,3,237,dev,28,28,0.0,0.49122807017543857,0.49122807017543857,0.0,0.4896115627822945,0.4896115627822945,0.0,0.5496947403019729,0.5496947403019729,0.0,0.7697841726618705,0.7697841726618705,0.0,0.3523035230352303,0.0,-0.3523035230352303
exp12b,train_projection_score,42,1,79,dev,28,28,0.0,0.49122807017543857,0.49122807017543857,0.0,0.4875037639265281,0.4875037639265281,0.0,0.5537118271868895,0.5537118271868895,0.0,0.7841726618705036,0.7841726618705036,0.0,0.35140018066847334,0.0,-0.35140018066847334
exp12b,train_projection_score,42,2,158,dev,28,28,0.0,0.49122807017543857,0.49122807017543857,0.0,0.48931044866004214,0.48931044866004214,0.0,0.5505071484533155,0.5505071484533155,0.0,0.7679856115107914,0.7679856115107914,0.0,0.3523035230352303,0.0,-0.3523035230352303
exp12b,train_projection_score,42,3,237,dev,28,28,0.0,0.49122807017543857,0.49122807017543857,0.0,0.48810599217103273,0.48810599217103273,0.0,0.5545043321469942,0.5545043321469942,0.0,0.7679856115107914,0.7679856115107914,0.0,0.34959349593495936,0.0,-0.34959349593495936
exp12b,map_oc_full,42,1,79,test,13,13,0.0,0.41935483870967744,0.41935483870967744,0.0,0.43275914173466307,0.43185252342097313,-0.0009066183136899331,0.5921860638045173,0.5939099103571237,0.0017238465526063784,0.7662337662337663,0.7662337662337663,0.0,0.5258386219401632,0.0,-0.5258386219401632
exp12b,map_oc_full,42,2,158,test,14,14,0.0,0.45161290322580644,0.45161290322580644,0.0,0.4236929585977636,0.42459957691145356,0.0009066183136899331,0.5988512498724978,0.5961616963613128,-0.00268955351118505,0.7662337662337663,0.7662337662337663,0.0,0.5784224841341795,0.0,-0.5784224841341795
exp12b,map_oc_full,42,3,237,test,14,14,0.0,0.45161290322580644,0.45161290322580644,0.0,0.4194620731338773,0.4203686914475672,0.0009066183136899331,0.6014797210918107,0.5987580752005708,-0.00272164589123991,0.7711038961038961,0.7711038961038961,0.0,0.5720761559383499,0.0,-0.5720761559383499
exp12b,train_projection_point_pair,42,1,79,test,14,14,0.0,0.45161290322580644,0.45161290322580644,0.0,0.41462677546086424,0.41553339377455417,0.0009066183136899331,0.6009318376926849,0.5981973751801843,-0.002734462512500535,0.7857142857142857,0.7857142857142857,0.0,0.37262012692656393,0.0,-0.37262012692656393
exp12b,train_projection_point_pair,42,2,158,test,13,13,0.0,0.41935483870967744,0.41935483870967744,0.0,0.4206708975521305,0.42157751586582043,0.0009066183136899331,0.6085108984960055,0.6057953749124037,-0.002715523583601831,0.7532467532467533,0.7532467532467533,0.0,0.36899365367180414,0.0,-0.36899365367180414
exp12b,train_projection_point_pair,42,3,237,test,12,12,0.0,0.3870967741935484,0.3870967741935484,0.0,0.4158355998791175,0.4158355998791175,0.0,0.6132775932237109,0.6107708681255754,-0.0025067250981355427,0.7581168831168831,0.7581168831168831,0.0,0.37352674524025387,0.0,-0.37352674524025387
exp12b,train_projection_score,42,1,79,test,14,14,0.0,0.45161290322580644,0.45161290322580644,0.0,0.41281353883348443,0.4119069205197945,-0.0009066183136899331,0.6037087063384864,0.6055135119669246,0.0018048056284382108,0.7873376623376623,0.7873376623376623,0.0,0.3644605621033545,0.0,-0.3644605621033545
exp12b,train_projection_score,42,2,158,test,13,13,0.0,0.41935483870967744,0.41935483870967744,0.0,0.41462677546086424,0.4137201571471743,-0.0009066183136899331,0.6139997451032719,0.6157932590607813,0.001793513957509374,0.762987012987013,0.762987012987013,0.0,0.37262012692656393,0.0,-0.37262012692656393
