source,run_name,seed,epoch,decode_mode,label1_low_to_high,label1_low_to_high_count,label2_low_to_high,label2_low_to_high_count,true_low_score_count
exp12b,map_oc_full,42,1,projected,0.1111111111111111,1,0.5454545454545454,12,31
exp12b,map_oc_full,42,1,raw,0.1111111111111111,1,0.5454545454545454,12,31
exp12b,map_oc_full,42,2,projected,0.1111111111111111,1,0.5909090909090909,13,31
exp12b,map_oc_full,42,2,raw,0.1111111111111111,1,0.5909090909090909,13,31
exp12b,map_oc_full,42,3,projected,0.1111111111111111,1,0.5909090909090909,13,31
exp12b,map_oc_full,42,3,raw,0.1111111111111111,1,0.5909090909090909,13,31
exp12b,train_projection_point_pair,42,1,projected,0.1111111111111111,1,0.5909090909090909,13,31
exp12b,train_projection_point_pair,42,1,raw,0.1111111111111111,1,0.5909090909090909,13,31
exp12b,train_projection_point_pair,42,2,projected,0.1111111111111111,1,0.5454545454545454,12,31
exp12b,train_projection_point_pair,42,2,raw,0.1111111111111111,1,0.5454545454545454,12,31
exp12b,train_projection_point_pair,42,3,projected,0.1111111111111111,1,0.5,11,31
exp12b,train_projection_point_pair,42,3,raw,0.1111111111111111,1,0.5,11,31
exp12b,train_projection_score,42,1,projected,0.1111111111111111,1,0.5909090909090909,13,31
exp12b,train_projection_score,42,1,raw,0.1111111111111111,1,0.5909090909090909,13,31
exp12b,train_projection_score,42,2,projected,0.1111111111111111,1,0.5454545454545454,12,31
exp12b,train_projection_score,42,2,raw,0.1111111111111111,1,0.5454545454545454,12,31
exp12b,train_projection_score,42,3,projected,0.1111111111111111,1,0.5454545454545454,12,31
exp12b,train_projection_score,42,3,raw,0.1111111111111111,1,0.5454545454545454,12,31
