seed,epoch,global_step,split,diagnostic,decode_mode,true_low_score_count,pred_label,count,rate,source,run_name,selection_rule,selection_decode_mode,uses_test_for_selection
42,0,0,dev,False,raw,57,1,13,0.22807017543859648,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,dev,False,raw,57,2,3,0.05263157894736842,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,dev,False,raw,57,3,13,0.22807017543859648,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,dev,False,raw,57,4,12,0.21052631578947367,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,dev,False,raw,57,5,16,0.2807017543859649,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,dev,False,projected,57,1,13,0.22807017543859648,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,dev,False,projected,57,2,3,0.05263157894736842,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,dev,False,projected,57,3,13,0.22807017543859648,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,dev,False,projected,57,4,12,0.21052631578947367,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,dev,False,projected,57,5,16,0.2807017543859649,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,test,True,raw,31,1,8,0.25806451612903225,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,test,True,raw,31,2,0,0.0,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,test,True,raw,31,3,11,0.3548387096774194,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,test,True,raw,31,4,7,0.22580645161290322,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,test,True,raw,31,5,5,0.16129032258064516,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,test,True,projected,31,1,8,0.25806451612903225,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,test,True,projected,31,2,0,0.0,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,test,True,projected,31,3,11,0.3548387096774194,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,test,True,projected,31,4,7,0.22580645161290322,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
42,0,0,test,True,projected,31,5,5,0.16129032258064516,exp12a,decode_projection_only,mae_guard_p_gt_3_low_mean,raw,False
