sample_id,label,label_region,language,pilot_group,qwen_score,deepseek_score,qwen_failure_bucket,deepseek_failure_bucket,qwen_derived_risk,deepseek_derived_risk,qwen_training_use,deepseek_training_use,conflict_type,adjudication_priority,top40_for_manual_review,question_preview,answer_preview,rubric_preview
89f8c6ed8c1b947a44510dcc18b38a1d97571453,2,low,zh,exp27c_v3_60_paired_repilot,1,5,visible_failure,no_failure,unclear,low,review_only,review_only,deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;possible_original_label_noise;possible_teacher_strictness_difference;score_gap_ge2,1,True,"学科:法学 学制级别:博士 问题：在国际法中，以下哪一个原则主要用于解决国家之间的领土争端？ A. 不干涉内政原则 B. 自决原则 C. 先占原则 D. 互惠原则 .请根据问题生成对应的答案。""答案"":,以json格式返回","```json { ""答案"": ""B. 自决原则"" } ``` 注解：自决原则是国际法中的一个重要原则，尤其适用于处理殖民地独立、民族分离等问题，也常用于解决某些领土争端。不过，在解决具体的领土争端时，国际社会也可能会采用其他多种方法和原则，包括但不限于协商、仲裁、调解等。题目所列选项中，最符合解决领土争端的是自决原则。但是，需要指出的是，先占原则（C）更多是在历史上被使用，现代国际法实践中较少见到。不干涉内政原则（A）主要涉及国家主权和内部事务的尊重，而互惠原则（D）...","[""5分： 所有涉及的客观事实（定义、公式、日期、名词、代码语法等）完全准确无误。"", ""4分： 绝大部分事实准确，可能存在个别极其微小的、非关键性的笔误或疏漏。"", ""3分： 大部分事实准确，但存在少量明显的事实错误，需要核查。"", ""2分： 包含较多或关键性的事实错误，信息不可靠。"", ""1分： 充斥着大量事实错误，信息完全错误或误导。""]"
c0d4f41ccf2066449887e86887cb7b8903269b2a,2,low,zh,exp27c_v3_60_paired_repilot,1,5,visible_failure,no_failure,unclear,low,review_only,review_only,deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;possible_original_label_noise;possible_teacher_strictness_difference;score_gap_ge2,1,True,"问题：选择以下具有微分同胚性质的函数类别：（可多选） A. 二次多项式函数 B. 余弦函数 C. 指数函数 D. 常数函数 E. 三次多项式函数 学生的答案：['C', 'E'] 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","```json { ""评分"": 1, ""评分细节"": { ""正确选项"": [""B"", ""E""], ""学生选择"": [""C"", ""E""] }, ""个性化反馈"": [ ""你的选择中包括了指数函数，这是一个正确的选项。但是，你没有选择余弦函数，这也是一个具有微分同胚性质的函数类别。余弦函数在某些区间内是微分同胚的，而三次多项式函数通常不具备这种性质。建议你进一步了解不同函数类别的微分同胚特性。"" ] } ```","[""5分： 内容与指定知识点/主题/问题高度相关，且严格控制在要求的难度、范围、学科内，无冗余或无关信息。"", ""4分： 内容主体相关，范围控制良好，可能包含极少量轻微超纲或关联度稍弱的信息。"", ""3分： 内容大部分相关，但包含一些偏离主题或超出范围的部分，范围控制不够精确。"", ""2分： 内容相关性较差，包含较多无关信息，或严重超出指定范围。"", ""1分： 内容基本不相关，或完全脱离指定范围。""]"
f33e86ba6eaa5281c801dea1ed174135a7d4c0da,2,low,zh,new_low_hard_disagreement_stress,5,1,no_failure,visible_failure,low,high,review_only,low_weight,derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;possible_original_label_noise;possible_teacher_strictness_difference;qwen_lenient_deepseek_strict;score_gap_ge2,1,True,"问题：在神经生理学中，动作电位的过程中不包括以下哪一个步骤？ A) 去极化 B) 再极化 C) 超极化 D) 钙离子流入细胞 学生的答案：C) 超极化 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","{ ""评分"": ""错误"", ""评分细节"": ""学生的答案选择了C) 超极化，这是不正确的。在动作电位的过程中，超极化是一个关键步骤，它发生在再极化之后，使膜电位低于静息电位。"", ""个性化反馈"": ""感谢你的回答！在动作电位的过程中，确实包括去极化、再极化和超极化等步骤。然而，你选择的C) 超极化实际上是动作电位的一个组成部分。正确的答案应该是D) 钙离子流入细胞，因为钙离子的流入并不是动作电位的直接步骤，而是与神经递质释放等后续过程相关。建议你复习动作电位的各个阶段，...","[""5分： 所有涉及的客观事实（定义、公式、日期、名词、代码语法等）完全准确无误。"", ""4分： 绝大部分事实准确，可能存在个别极其微小的、非关键性的笔误或疏漏。"", ""3分： 大部分事实准确，但存在少量明显的事实错误，需要核查。"", ""2分： 包含较多或关键性的事实错误，信息不可靠。"", ""1分： 充斥着大量事实错误，信息完全错误或误导。""]"
7b2343c0fac6f79059007d116f746842fe6a6637,1,low,en,new_low_hard_disagreement_stress,4,1,no_failure,visible_failure,low,high,review_only,high_weight,derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;possible_original_label_noise;possible_teacher_strictness_difference;qwen_lenient_deepseek_strict;score_gap_ge2,1,True,"Question: True or False: The human liver has the capacity to regenerate after surgical removal of a portion of its tissue. Student's Answer: True Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the questio...","```json { ""Score"": 1, ""Scoring Details"": { ""Correctness"": true, ""Explanation"": ""The student's answer is correct. The human liver does indeed have a remarkable ability to regenerate after partial removal, a process known as hepatic regene...","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual steps or details that d..."
b51fe8038ded98685f2c18b27990ce26056dfc17,2,low,en,exp27c_v3_60_paired_repilot,1,4,hidden_or_missing_failure,no_failure,high,unclear,low_weight,review_only,deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;possible_original_label_noise;possible_teacher_strictness_difference;score_gap_ge2,1,True,"Question: Explain how Porter's Five Forces framework can be used to analyze the competitive environment of an industry. Please provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return i...","{ ""reasoning"": ""Porter's Five Forces framework is a strategic planning tool used to analyze the competitive forces at work in an industry. It helps companies understand the competitive intensity and profitability of their industry by exa...","[""5: Fully integrated all key scenario elements (e.g., student history, learning preferences); output is highly personalized and well-matched to the teaching context."", ""4: Used major scenario elements effectively; response is targeted, ..."
bd384e01426757c4dd86e755a75d5ef86fe6e59f,1,low,en,new_low_hard_disagreement_stress,4,1,no_failure,hidden_or_missing_failure,low,high,review_only,review_only,derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;possible_original_label_noise;possible_teacher_strictness_difference;qwen_lenient_deepseek_strict;score_gap_ge2,1,True,"Question: True or False: The human liver has the capacity to regenerate after surgical removal of a portion of its tissue. Student's Answer: True Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the questio...","```json { ""Score"": 1, ""ScoringDetails"": { ""Accuracy"": 1, ""Explanation"": ""The student's answer is correct. The human liver indeed has a remarkable ability to regenerate. After a portion of the liver is removed, the remaining tissue can gr...","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual steps or details that d..."
bdfb1901aed7bfddbd4bcd0898854e7ecfd4513c,2,low,zh,exp27c_v3_60_paired_repilot,2,4,visible_failure,no_failure,unclear,low,low_weight,review_only,deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;possible_original_label_noise;possible_teacher_strictness_difference;score_gap_ge2,1,True,"学科:法学 学制级别:博士 问题：在国际法中，以下哪一个原则主要用于解决国家之间的领土争端？ A. 不干涉内政原则 B. 自决原则 C. 先占原则 D. 互惠原则 .请根据问题生成对应的答案。""答案"":,以json格式返回","```json { ""答案"": ""B. 自决原则"" } ``` 注解：自决原则是国际法中的一个重要原则，尤其适用于处理殖民地独立、民族分离等问题，也常用于解决某些领土争端。不过，在解决具体的领土争端时，国际社会也可能会采用其他多种方法和原则，包括但不限于协商、仲裁、调解等。题目所列选项中，最符合解决领土争端的是自决原则。但是，需要指出的是，先占原则（C）更多是在历史上被使用，现代国际法实践中较少见到。不干涉内政原则（A）主要涉及国家主权和内部事务的尊重，而互惠原则（D）...","[""5分： 推理逻辑链条完整、清晰、严密，步骤正确无误，论证充分有力，无逻辑跳跃或漏洞。"", ""4分： 推理过程主体正确且逻辑清晰，可能在个别步骤的表述或论证细节上略有瑕疵，但不影响最终结论的有效性。"", ""3分： 推理过程大体可见，但存在一些逻辑不清、步骤缺失或论证不足之处，结论可能受到影响。"", ""2分： 推理过程存在明显的逻辑错误、步骤混乱或严重缺失，难以得出正确或可靠的结论。"", ""1分： 几乎没有有效的推理过程，逻辑混乱，步骤完全错误或不相关。""]"
a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,2,low,en,exp27c_v3_60_paired_repilot,4,3,hidden_or_missing_failure,hidden_or_missing_failure,low,low,review_only,low_weight,low_human_teacher_high;possible_original_label_noise;possible_teacher_strictness_difference,1,True,"Question: Explain how Porter's Five Forces framework can be used to analyze the competitive environment of an industry. Please provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning Provided"":, return i...","```json { ""Reasoning Provided"": ""To answer this question, it is essential to understand the components of Porter's Five Forces framework and how they interact to shape the competitive environment of an industry. The framework includes fi...","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual steps or details that d..."
0578273c54e1a724084529ebbc385f1bdd1076ea,1,low,en,exp27c_v3_60_paired_repilot,5,5,no_failure,no_failure,low,low,review_only,exclude,both_teachers_disagree_with_human;low_human_teacher_high;possible_original_label_noise;possible_teacher_strictness_difference,1,True,"Subject:Mathematics Education Level:PhD Question:In the context of complex analysis, consider the function f(z) = z^2 + 1. Which of the following statements is true regarding its singularities? A) f(z) has no singularities. B) f(z) has a...","{ ""Answer"": ""A) f(z) has no singularities."" }","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are c..."
5238e123a16a826d9dd25c0454890d96db10099a,1,low,en,new_low_hard_disagreement_stress,5,5,no_failure,no_failure,low,low,review_only,exclude,both_teachers_disagree_with_human;low_human_teacher_high;possible_original_label_noise;possible_teacher_strictness_difference,1,True,"Subject:Mathematics Education Level:PhD Question:In the context of complex analysis, consider the function f(z) = z^2 + 1. Which of the following statements is true regarding its singularities? A) f(z) has no singularities. B) f(z) has a...","```json { ""answer"": ""A) f(z) has no singularities."" } ```","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are c..."
