pilot_group,label,language,metric,subject,count
exp27c_v3_60_paired_repilot,1,en,Basic Factual Accuracy,Mathematics,1
exp27c_v3_60_paired_repilot,1,en,Reasoning Process Rigor,Applied Economics,1
exp27c_v3_60_paired_repilot,1,en,Reasoning Process Rigor,Basic Medicine,1
exp27c_v3_60_paired_repilot,1,en,Reasoning Process Rigor,Computer Science,1
exp27c_v3_60_paired_repilot,1,en,Reasoning Process Rigor,Crop Science,1
exp27c_v3_60_paired_repilot,1,en,Reasoning Process Rigor,Mathematics,1
exp27c_v3_60_paired_repilot,1,zh,Content Relevance & Scope Control,Basic Medicine,1
exp27c_v3_60_paired_repilot,1,zh,Error Identification & Correction Precision,General Pedagogy,1
exp27c_v3_60_paired_repilot,1,zh,Reasoning Process Rigor,Clinical Medicine,2
exp27c_v3_60_paired_repilot,1,zh,Reasoning Process Rigor,History,1
exp27c_v3_60_paired_repilot,1,zh,Reasoning Process Rigor,Law,1
exp27c_v3_60_paired_repilot,1,zh,Reasoning Process Rigor,Physics,1
exp27c_v3_60_paired_repilot,2,en,Content Relevance & Scope Control,General Pedagogy,1
exp27c_v3_60_paired_repilot,2,en,Error Identification & Correction Precision,Theoretical Economics,1
exp27c_v3_60_paired_repilot,2,en,Reasoning Process Rigor,Business Administration,1
exp27c_v3_60_paired_repilot,2,en,Scenario Element Integration,Business Administration,2
exp27c_v3_60_paired_repilot,2,zh,Basic Factual Accuracy,Law,1
exp27c_v3_60_paired_repilot,2,zh,Content Relevance & Scope Control,Mathematics,1
exp27c_v3_60_paired_repilot,2,zh,Instruction Following & Task Completion,Theoretical Economics,1
exp27c_v3_60_paired_repilot,2,zh,"Motivation, Guidance & Positive Feedback",History,2
exp27c_v3_60_paired_repilot,2,zh,Reasoning Process Rigor,Law,1
exp27c_v3_60_paired_repilot,3,en,"Clarity, Simplicity & Inspiration",Basic Medicine,1
exp27c_v3_60_paired_repilot,3,en,"Clarity, Simplicity & Inspiration",Biology,1
exp27c_v3_60_paired_repilot,3,en,"Clarity, Simplicity & Inspiration",Clinical Medicine,1
