split,label_5,n,accuracy,MAE,signed_bias,mean_pred_label,mean_pred_expected,overestimation_rate,underestimation_rate
dev,1,19,0.6842105263157895,0.7719298245614036,0.7719298245614036,1.7894736842105263,1.8572970097639452,0.3157894736842105,0.0
dev,2,38,0.0,2.105263157894737,2.105263157894737,4.184210526315789,4.089194319976837,1.0,0.0
dev,3,105,0.1619047619047619,1.0126984126984127,0.93015873015873,4.057142857142857,3.9610256906576633,0.8285714285714286,0.009523809523809525
dev,4,389,0.7583547557840618,0.3744644387317909,0.0522707797772067,4.159383033419023,4.127130696735259,0.20308483290488433,0.038560411311053984
dev,5,556,0.7230215827338129,0.34172661870503596,-0.1270983213429258,4.6996402877697845,4.642509019212954,0.0,0.27697841726618705
test,1,9,0.8888888888888888,0.4444444444444444,0.4444444444444444,1.4444444444444444,1.4775903115773366,0.1111111111111111,0.0
test,2,22,0.0,1.7727272727272732,1.7727272727272732,3.909090909090909,3.888678139599506,1.0,0.0
test,3,105,0.2857142857142857,0.8,0.6476190476190475,3.780952380952381,3.7662129186559468,0.6952380952380952,0.01904761904761905
test,4,351,0.7521367521367521,0.40740740740740733,-0.0047483380816712335,4.102564102564102,4.074671829977681,0.18233618233618235,0.06552706552706553
test,5,616,0.7012987012987013,0.3528138528138528,-0.17748917748917764,4.673701298701299,4.601677622175046,0.0,0.2987012987012987
