score_model,risk_model,rule,n_flagged,flagged_gold_low_rate,flagged_gold_high_rate,flagged_D1_hidden_count,flagged_low_to_high_baseline_count,flag_precision,flag_recall
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,disagreement_abstain,81,0.07407407407407407,0.8395061728395061,5,6,0.07407407407407407,0.2222222222222222
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,gap_abstain,117,0.09401709401709402,0.8376068376068376,10,11,0.09401709401709402,0.4074074074074074
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,score_cap_abstain,80,0.075,0.8375,5,6,0.075,0.2222222222222222
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,hybrid_abstain,81,0.07407407407407407,0.8395061728395061,5,6,0.07407407407407407,0.2222222222222222
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,disagreement_downgrade_to_3,81,0.07407407407407407,0.8395061728395061,5,6,0.07407407407407407,0.2222222222222222
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,gap_downgrade_to_3,117,0.09401709401709402,0.8376068376068376,10,11,0.09401709401709402,0.4074074074074074
r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,disagreement_abstain,77,0.07792207792207792,0.8311688311688312,5,6,0.07792207792207792,0.2222222222222222
r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_abstain,110,0.1,0.8272727272727273,10,11,0.1,0.4074074074074074
r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,score_cap_abstain,76,0.07894736842105263,0.8289473684210527,5,6,0.07894736842105263,0.2222222222222222
r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,hybrid_abstain,77,0.07792207792207792,0.8311688311688312,5,6,0.07792207792207792,0.2222222222222222
r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,disagreement_downgrade_to_3,77,0.07792207792207792,0.8311688311688312,5,6,0.07792207792207792,0.2222222222222222
r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_downgrade_to_3,110,0.1,0.8272727272727273,10,11,0.1,0.4074074074074074
r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,disagreement_abstain,72,0.08333333333333333,0.8333333333333334,5,6,0.08333333333333333,0.2222222222222222
r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_abstain,102,0.09803921568627451,0.8333333333333334,9,10,0.09803921568627451,0.37037037037037035
r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,score_cap_abstain,72,0.08333333333333333,0.8333333333333334,5,6,0.08333333333333333,0.2222222222222222
r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,hybrid_abstain,72,0.08333333333333333,0.8333333333333334,5,6,0.08333333333333333,0.2222222222222222
r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,disagreement_downgrade_to_3,72,0.08333333333333333,0.8333333333333334,5,6,0.08333333333333333,0.2222222222222222
r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_downgrade_to_3,102,0.09803921568627451,0.8333333333333334,9,10,0.09803921568627451,0.37037037037037035
r5g_a3_real_only_s50_b0p05_lr5em6,r5f2_real_only_from_r2c,disagreement_abstain,60,0.03333333333333333,0.8666666666666667,2,2,0.03333333333333333,0.08695652173913043
r5g_a3_real_only_s50_b0p05_lr5em6,r5f2_real_only_from_r2c,gap_abstain,82,0.08536585365853659,0.8414634146341463,6,7,0.08536585365853659,0.30434782608695654
r5g_a3_real_only_s50_b0p05_lr5em6,r5f2_real_only_from_r2c,score_cap_abstain,60,0.03333333333333333,0.8666666666666667,2,2,0.03333333333333333,0.08695652173913043
r5g_a3_real_only_s50_b0p05_lr5em6,r5f2_real_only_from_r2c,hybrid_abstain,60,0.03333333333333333,0.8666666666666667,2,2,0.03333333333333333,0.08695652173913043
r5g_a3_real_only_s50_b0p05_lr5em6,r5f2_real_only_from_r2c,disagreement_downgrade_to_3,60,0.03333333333333333,0.8666666666666667,2,2,0.03333333333333333,0.08695652173913043
r5g_a3_real_only_s50_b0p05_lr5em6,r5f2_real_only_from_r2c,gap_downgrade_to_3,82,0.08536585365853659,0.8414634146341463,6,7,0.08536585365853659,0.30434782608695654
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,disagreement_abstain,56,0.03571428571428571,0.8571428571428571,2,2,0.03571428571428571,0.08695652173913043
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_abstain,76,0.09210526315789473,0.8289473684210527,6,7,0.09210526315789473,0.30434782608695654
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,score_cap_abstain,56,0.03571428571428571,0.8571428571428571,2,2,0.03571428571428571,0.08695652173913043
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,hybrid_abstain,56,0.03571428571428571,0.8571428571428571,2,2,0.03571428571428571,0.08695652173913043
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,disagreement_downgrade_to_3,56,0.03571428571428571,0.8571428571428571,2,2,0.03571428571428571,0.08695652173913043
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_downgrade_to_3,76,0.09210526315789473,0.8289473684210527,6,7,0.09210526315789473,0.30434782608695654
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,disagreement_abstain,51,0.0392156862745098,0.8627450980392157,2,2,0.0392156862745098,0.08695652173913043
