score_model,risk_model,rule,coverage,abstention_rate,low_to_high_covered,low_to_high_all_treat_abstain_safe,label2_recall_covered,MAE_covered,QWK_covered,D1_hidden_pred_ge4_covered,flag_rate_on_gold_high,flag_precision_for_low,flag_recall_for_low_to_high
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,disagreement_abstain,0.926829268292683,0.07317073170731707,0.4117647058823529,0.3684210526315789,0.06060606060606061,0.3996101364522417,0.5821828784206273,0.8095238095238095,0.07195767195767196,0.07407407407407407,0.2222222222222222
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,gap_abstain,0.8943089430894309,0.10569105691056911,0.34782608695652173,0.2807017543859649,0.07142857142857142,0.3838383838383838,0.60878612716763,0.75,0.1037037037037037,0.09401709401709402,0.4074074074074074
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,score_cap_abstain,0.9277326106594399,0.07226738934056007,0.4117647058823529,0.3684210526315789,0.06060606060606061,0.39922103213242455,0.5824161977063815,0.8095238095238095,0.07089947089947089,0.075,0.2222222222222222
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,hybrid_abstain,0.926829268292683,0.07317073170731707,0.4117647058823529,0.3684210526315789,0.06060606060606061,0.3996101364522417,0.5821828784206273,0.8095238095238095,0.07195767195767196,0.07407407407407407,0.2222222222222222
r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,disagreement_abstain,0.9304426377597109,0.06955736224028906,0.4117647058823529,0.3684210526315789,0.06060606060606061,0.3990291262135922,0.5823973306950667,0.8095238095238095,0.06772486772486773,0.07792207792207792,0.2222222222222222
r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_abstain,0.90063233965673,0.0993676603432701,0.34782608695652173,0.2807017543859649,0.07142857142857142,0.38214643931795383,0.6096587298672519,0.75,0.0962962962962963,0.1,0.4074074074074074
r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,score_cap_abstain,0.931345980126468,0.06865401987353206,0.4117647058823529,0.3684210526315789,0.06060606060606061,0.39864209505334625,0.5826285535717629,0.8095238095238095,0.06666666666666667,0.07894736842105263,0.2222222222222222
r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,hybrid_abstain,0.9304426377597109,0.06955736224028906,0.4117647058823529,0.3684210526315789,0.06060606060606061,0.3990291262135922,0.5823973306950667,0.8095238095238095,0.06772486772486773,0.07792207792207792,0.2222222222222222
r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,disagreement_abstain,0.9349593495934959,0.06504065040650407,0.4117647058823529,0.3684210526315789,0.06060606060606061,0.39903381642512076,0.5821885499196164,0.8095238095238095,0.06349206349206349,0.08333333333333333,0.2222222222222222
r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_abstain,0.907859078590786,0.0921409214092141,0.3617021276595745,0.2982456140350877,0.06896551724137931,0.3850746268656716,0.604563020264709,0.7647058823529411,0.08994708994708994,0.09803921568627451,0.37037037037037035
