score_model,risk_model,rule,MAE,QWK,Signed_Bias,low_to_high,label2_recall,high_to_low,label5_recall,D1_hidden_pred_ge4
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,disagreement_downgrade_to_3,0.4751580849141825,0.5154462497217894,0.01987353206865402,0.3684210526315789,0.05263157894736842,0.006349206349206349,0.7715827338129496,0.6538461538461539
r4b_shuffled_reason_balanced,r5f2_real_only_from_r2c,gap_downgrade_to_3,0.4950316169828365,0.5131805228750055,-0.045167118337850046,0.2807017543859649,0.05263157894736842,0.006349206349206349,0.7410071942446043,0.46153846153846156
r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,disagreement_downgrade_to_3,0.46973803071364045,0.5211947892954836,0.02710027100271003,0.3684210526315789,0.05263157894736842,0.006349206349206349,0.7769784172661871,0.6538461538461539
r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_downgrade_to_3,0.48419150858175247,0.5247366352936773,-0.032520325203252036,0.2807017543859649,0.05263157894736842,0.006349206349206349,0.7517985611510791,0.46153846153846156
r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,disagreement_downgrade_to_3,0.4670280036133695,0.5221622677207703,0.03342366757000903,0.3684210526315789,0.05263157894736842,0.006349206349206349,0.7787769784172662,0.6538461538461539
r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_downgrade_to_3,0.48148148148148145,0.5224353795495511,-0.02077687443541102,0.2982456140350877,0.05263157894736842,0.006349206349206349,0.7553956834532374,0.5
r5g_a3_real_only_s50_b0p05_lr5em6,r5f2_real_only_from_r2c,disagreement_downgrade_to_3,0.5392953929539296,0.4673721871277634,-0.0948509485094851,0.3684210526315789,0.15789473684210525,0.021164021164021163,0.7338129496402878,0.7307692307692307
r5g_a3_real_only_s50_b0p05_lr5em6,r5f2_real_only_from_r2c,gap_downgrade_to_3,0.5537488708220416,0.4702242955490269,-0.13459801264679314,0.2807017543859649,0.15789473684210525,0.021164021164021163,0.710431654676259,0.5769230769230769
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,disagreement_downgrade_to_3,0.5338753387533876,0.47243675865190493,-0.08762420957542909,0.3684210526315789,0.15789473684210525,0.021164021164021163,0.7392086330935251,0.7307692307692307
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_downgrade_to_3,0.5447154471544715,0.4787876636973418,-0.12375790424570912,0.2807017543859649,0.15789473684210525,0.021164021164021163,0.7194244604316546,0.5769230769230769
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,disagreement_downgrade_to_3,0.5311653116531165,0.4731262818127536,-0.08130081300813008,0.3684210526315789,0.15789473684210525,0.021164021164021163,0.7410071942446043,0.7307692307692307
r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_downgrade_to_3,0.5420054200542005,0.47675702510463824,-0.11382113821138211,0.2982456140350877,0.15789473684210525,0.021164021164021163,0.7230215827338129,0.6153846153846154
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5f2_real_only_from_r2c,disagreement_downgrade_to_3,0.5176151761517616,0.4803117072368859,-0.06233062330623306,0.3684210526315789,0.13157894736842105,0.015873015873015872,0.7446043165467626,0.7307692307692307
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5f2_real_only_from_r2c,gap_downgrade_to_3,0.5356820234869015,0.47941350257139725,-0.10569105691056911,0.2807017543859649,0.13157894736842105,0.015873015873015872,0.7176258992805755,0.5769230769230769
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,disagreement_downgrade_to_3,0.5121951219512195,0.48557723000268727,-0.05510388437217705,0.3684210526315789,0.13157894736842105,0.015873015873015872,0.75,0.7307692307692307
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_downgrade_to_3,0.5266485998193315,0.4882812671607498,-0.0948509485094851,0.2807017543859649,0.13157894736842105,0.015873015873015872,0.7266187050359713,0.5769230769230769
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,disagreement_downgrade_to_3,0.5094850948509485,0.4863405081062714,-0.04878048780487805,0.3684210526315789,0.13157894736842105,0.015873015873015872,0.7517985611510791,0.7307692307692307
r5h_h6_from_r5g_a3_highprotect_s30_b0p02_lr1e6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_downgrade_to_3,0.5239385727190605,0.48623429225747006,-0.08491418247515808,0.2982456140350877,0.13157894736842105,0.015873015873015872,0.7302158273381295,0.6153846153846154
