split,scenario_canonical,n,Accuracy,Exact Match,MAE_label,MAE_expected,RMSE_label,Signed Bias label,Signed Bias expected,Macro-F1,Weighted-F1,Quadratic Weighted Kappa,Kendall tau,Spearman rho,Within-1 Accuracy,Acc@1,Acc@2,Acc@5,low_n,low_exact_match,low_MAE,low_signed_bias,low_to_high_rate,low_severe_overestimation_rate,mean_pred_low,high_n,high_to_mid_or_low_rate,high_signed_bias,MAE_score,severe_error_rate,pred_label_1_rate,pred_label_2_rate,pred_label_3_rate,pred_label_4_rate,pred_label_5_rate,monotonic_violation_rate
dev,Automatic Grading,76,0.5921052631578947,0.5921052631578947,0.5043859649122806,0.5755476010473151,0.7637626158259733,0.1359649122807017,-0.20801529967994026,0.2961718316557026,0.570966281917046,0.4320360970107163,0.48604945627341145,0.552846347696171,0.9473684210526315,0.0,0.0,0.6176470588235294,5,0.0,1.8,1.8,0.6,0.6,3.6,34,0.0,-0.18627450980392174,0.5755476010473151,0.05263157894736842,0.0,0.0,0.06578947368421052,0.5657894736842105,0.3684210526315789,0.0
dev,Emotional Support,125,0.816,0.816,0.27199999999999996,0.38578513018290206,0.38873012632301995,0.06933333333333333,-0.2826352469126383,0.36837789661319076,0.7927857397504458,0.7657841140529531,0.7271664357193068,0.814594386743038,1.0,nan,0.0,0.8840579710144928,1,0.0,0.6666666666666665,0.6666666666666665,0.0,0.0,3.0,69,0.0,0.009661835748792159,0.38578513018290206,0.0,0.0,0.0,0.024,0.472,0.504,0.0
dev,Error Correction,174,0.5574712643678161,0.5574712643678161,0.7931034482758621,0.6809033913630635,1.2584326037318714,0.7471264367816091,0.2867549191946271,0.22515915457091928,0.4534083225766796,0.2186501050324231,0.33591577459576233,0.3827853423770142,0.7931034482758621,0.0,0.0,0.978021978021978,26,0.0,2.7179487179487176,2.7179487179487176,0.8461538461538461,0.9230769230769231,4.615384615384615,91,0.0,0.1355311355311354,0.6809033913630635,0.20689655172413793,0.0,0.0,0.05172413793103448,0.10344827586206896,0.8448275862068966,0.0
dev,Idea Provision,160,0.6125,0.6125,0.5041666666666667,0.5109158655007681,0.660387091871965,0.075,-0.33967736959457395,0.3024880720319317,0.6075381045205607,0.44747081712062264,0.3370683601621488,0.38349039290603815,0.98125,nan,nan,0.7341772151898734,0,nan,nan,nan,nan,nan,nan,79,0.012658227848101266,-0.09704641350210987,0.5109158655007681,0.01875,0.0,0.0,0.06875,0.4125,0.51875,0.0
dev,Personalized Content Creation,75,0.6666666666666666,0.6666666666666666,0.4266666666666667,0.3771862083011203,0.563060420414219,0.1333333333333334,-0.26154548327128085,0.27387387387387385,0.6726726726726726,0.3913043478260869,0.43831766457381893,0.4862710920538,0.9866666666666667,nan,nan,0.8387096774193549,0,nan,nan,nan,nan,nan,nan,31,0.0,0.02150537634408586,0.3771862083011203,0.013333333333333334,0.0,0.0,0.04,0.38666666666666666,0.5733333333333334,0.0
dev,Personalized Learning Support,98,0.5612244897959183,0.5612244897959183,0.5306122448979592,0.30089604124730956,0.6767938287405665,0.5034013605442178,0.0849638893490746,0.2910794633642931,0.5140704702933805,0.49055803097814543,0.5963393425523179,0.6748405226702043,0.9795918367346939,nan,nan,1.0,0,nan,nan,nan,nan,nan,nan,35,0.0,0.22857142857142837,0.30089604124730956,0.02040816326530612,0.0,0.0,0.030612244897959183,0.2857142857142857,0.6836734693877551,0.0
dev,Question Answering,104,0.8076923076923077,0.8076923076923077,0.4807692307692307,0.5095059447563611,0.8927533517207017,0.4358974358974358,0.13854746826184092,0.4812631578947368,0.7526518218623482,0.8064054221755526,0.5744795581463628,0.6349096261690231,0.8942307692307693,1.0,0.0,0.9850746268656716,18,0.7222222222222222,0.8333333333333334,0.8333333333333334,0.2777777777777778,0.2777777777777778,2.111111111111111,67,0.0,0.18407960199004958,0.5095059447563611,0.10576923076923077,0.125,0.0,0.009615384615384616,0.0673076923076923,0.7980769230769231,0.0
dev,Question Generation,120,0.7166666666666667,0.7166666666666667,0.32499999999999996,0.4307068129380544,0.4762896722078402,0.04722222222222223,-0.3035078333483802,0.4448960761460762,0.7062941109816111,0.7697573117610454,0.6309653737143142,0.6846896107793481,0.9916666666666667,nan,0.14285714285714285,0.8428571428571429,7,0.14285714285714285,0.7619047619047619,0.7619047619047619,0.0,0.0,2.857142857142857,70,0.014285714285714285,-0.04761904761904773,0.4307068129380544,0.008333333333333333,0.0,0.016666666666666666,0.125,0.25,0.6083333333333333,0.0
dev,Teaching Material Generation,175,0.6457142857142857,0.6457142857142857,0.4666666666666666,0.39503349939982096,0.6546536707079771,0.29523809523809524,-0.11630782172793436,0.26869549352307975,0.6105355122892069,0.2895589107330202,0.39004725695198367,0.43831843131599785,0.9485714285714286,nan,nan,0.8375,0,nan,nan,nan,nan,nan,nan,80,0.0,0.04583333333333315,0.39503349939982096,0.05142857142857143,0.0,0.0,0.0,0.37714285714285717,0.6228571428571429,0.0
test,Automatic Grading,116,0.4396551724137931,0.4396551724137931,0.6867816091954022,0.6744166167303064,0.8953904946619852,0.08908045977011494,-0.23131043266976015,0.24919638994555085,0.42396282950491637,0.2985002418964684,0.27946135203917155,0.33426306801613526,0.9137931034482759,nan,0.0,0.4634146341463415,7,0.0,1.619047619047619,1.619047619047619,0.5714285714285714,0.5714285714285714,3.7142857142857144,41,0.07317073170731707,-0.4308943089430896,0.6744166167303064,0.08620689655172414,0.0,0.0,0.1724137931034483,0.5344827586206896,0.29310344827586204,0.0
