split,label_5,n,accuracy,MAE,signed_bias,mean_pred_label,mean_pred_expected,overestimation_rate,underestimation_rate
dev,1,19,0.6842105263157895,0.8245614035087719,0.8245614035087719,1.8421052631578947,2.125870008217661,0.3157894736842105,0.0
dev,2,38,0.02631578947368421,2.2368421052631584,2.2368421052631584,4.315789473684211,4.020467595050209,0.9736842105263158,0.0
dev,3,105,0.17142857142857143,1.0666666666666664,0.9968253968253966,4.123809523809523,3.8191680885496595,0.819047619047619,0.009523809523809525
dev,4,389,0.5552699228791774,0.49700085689802914,0.2502142245072838,4.3573264781491,3.987330026062718,0.40102827763496146,0.043701799485861184
dev,5,556,0.8669064748201439,0.251199040767386,0.03657074340527562,4.863309352517986,4.4127693485013015,0.0,0.13309352517985612
test,1,9,0.8888888888888888,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.7145422829522028,0.1111111111111111,0.0
test,2,22,0.0,1.6363636363636365,1.6363636363636365,3.772727272727273,3.530196016485041,1.0,0.0
test,3,105,0.2857142857142857,0.9301587301587302,0.8285714285714284,3.961904761904762,3.719860197248913,0.7142857142857143,0.0
test,4,351,0.5868945868945868,0.47863247863247865,0.16334283000949684,4.27065527065527,3.926929617879058,0.3418803418803419,0.07122507122507123
test,5,616,0.8035714285714286,0.2895021645021645,-0.07196969696969709,4.779220779220779,4.32947740307102,0.0,0.19642857142857142
