split,metric_canonical,n,Accuracy,Exact Match,MAE_label,MAE_expected,RMSE_label,Signed Bias label,Signed Bias expected,Macro-F1,Weighted-F1,Quadratic Weighted Kappa,Kendall tau,Spearman rho,Within-1 Accuracy,Acc@1,Acc@2,Acc@5,low_n,low_exact_match,low_MAE,low_signed_bias,low_to_high_rate,low_severe_overestimation_rate,mean_pred_low,high_n,high_to_mid_or_low_rate,high_signed_bias,MAE_score,severe_error_rate,pred_label_1_rate,pred_label_2_rate,pred_label_3_rate,pred_label_4_rate,pred_label_5_rate,monotonic_violation_rate
dev,Basic Factual Accuracy,130,0.8384615384615385,0.8384615384615385,0.35384615384615375,0.4077116636129526,0.6615185844757784,0.282051282051282,-0.1321059728280093,0.27903307245645037,0.8032620938768376,0.1295349403457512,0.020441365469624113,0.021840493261570438,0.9384615384615385,nan,0.0,0.9636363636363636,2,0.0,3.0,3.0,1.0,1.0,5.0,110,0.0,0.11212121212121198,0.4077116636129526,0.06153846153846154,0.0,0.0,0.007692307692307693,0.046153846153846156,0.9461538461538461,0.0
dev,"Clarity, Simplicity & Inspiration",90,0.5222222222222223,0.5222222222222223,0.6444444444444445,0.5535229488655372,0.9648130376041071,0.325925925925926,-0.10262360219602229,0.26259483338135026,0.5091797646104763,-0.052300729192859,0.06354600900901107,0.06775365839155975,0.8888888888888888,nan,0.0,0.6,4,0.0,3.0,3.0,1.0,1.0,5.0,30,0.0,-0.22222222222222238,0.5535229488655372,0.1111111111111111,0.0,0.0,0.011111111111111112,0.45555555555555555,0.5333333333333333,0.0
dev,Content Relevance & Scope Control,125,0.76,0.76,0.4079999999999999,0.39308868853251144,0.6831300510639732,0.32266666666666655,-0.11791753323872896,0.22412475156703873,0.7154722519492434,0.07429889522884547,0.1892283254191109,0.20413141010115762,0.944,nan,0.0,0.9285714285714286,2,0.0,3.0,3.0,1.0,1.0,5.0,98,0.0,0.11564625850340117,0.39308868853251144,0.056,0.0,0.0,0.0,0.096,0.904,0.0
dev,Domain Knowledge Accuracy,65,0.6,0.6,0.5025641025641026,0.5096516975989708,0.6717752982077052,0.11282051282051285,-0.3396053558740861,0.2532838983050848,0.583792372881356,0.2494226327944573,0.2528097763068349,0.28130714006313334,0.9538461538461539,nan,nan,0.7241379310344828,0,nan,nan,nan,nan,nan,nan,29,0.034482758620689655,-0.12643678160919555,0.5096516975989708,0.046153846153846156,0.0,0.0,0.03076923076923077,0.4307692307692308,0.5384615384615384,0.0
dev,Error Identification & Correction Precision,35,0.6285714285714286,0.6285714285714286,0.7523809523809523,0.7728671210152764,1.2484911528441676,0.5238095238095237,0.06652418772379547,0.15714285714285714,0.6061224489795919,0.020000000000000018,0.0,0.0,0.8285714285714286,0.0,0.0,0.8148148148148148,5,0.0,3.0,3.0,1.0,1.0,4.8,27,0.0,-1.644774851296528e-16,0.7728671210152764,0.17142857142857143,0.0,0.0,0.0,0.17142857142857143,0.8285714285714286,0.0
dev,Higher-Order Thinking & Skill Development,83,0.5301204819277109,0.5301204819277109,0.5742971887550201,0.5266677078951794,0.7290124621797538,0.19678714859437757,-0.015553631456980214,0.3605318138651472,0.5016533369947025,0.5354477611940298,0.485248248476718,0.5599300363297843,0.963855421686747,nan,0.14285714285714285,0.5,7,0.14285714285714285,0.7619047619047619,0.7619047619047619,0.0,0.0,2.857142857142857,14,0.07142857142857142,-0.3809523809523811,0.5266677078951794,0.03614457831325301,0.0,0.024096385542168676,0.24096385542168675,0.5903614457831325,0.14457831325301204,0.0
dev,Instruction Following & Task Completion,200,0.645,0.645,0.51,0.45047243316968283,0.7944250191875323,0.3733333333333333,-0.07004568854967755,0.2544173233390992,0.5947844192453071,0.2222222222222222,0.34404983933213784,0.3859221168646975,0.935,nan,0.0,0.9245283018867925,7,0.0,2.7142857142857144,2.7142857142857144,1.0,1.0,4.857142857142857,106,0.0,0.10691823899371052,0.45047243316968283,0.065,0.0,0.0,0.01,0.23,0.76,0.0
dev,"Motivation, Guidance & Positive Feedback",60,0.5666666666666667,0.5666666666666667,0.5777777777777777,0.5599623892042372,0.8755950357709132,0.37777777777777766,0.1323759502834744,0.36009431181844975,0.5067049808429119,0.5123367198838897,0.6502870846043075,0.7371710685315145,0.9166666666666666,0.0,0.0,0.9230769230769231,9,0.0,1.740740740740741,1.740740740740741,0.3333333333333333,0.5555555555555556,3.3333333333333335,13,0.0,0.02564102564102555,0.5599623892042372,0.08333333333333333,0.0,0.0,0.2,0.5833333333333334,0.21666666666666667,0.0
dev,"Personalization, Adaptation & Learning Support",70,0.6142857142857143,0.6142857142857143,0.4666666666666666,0.4163064434414819,0.5962847939999438,0.20952380952380956,-0.19994006611052015,0.3181684981684981,0.5936211407639979,0.5973583297827012,0.5245295991629043,0.5997518592813629,1.0,nan,0.0,0.8275862068965517,1,0.0,0.6666666666666665,0.6666666666666665,0.0,0.0,3.0,29,0.0,-0.01149425287356336,0.4163064434414819,0.0,0.0,0.0,0.07142857142857142,0.4142857142857143,0.5142857142857142,0.0
dev,Reasoning Process Rigor,84,0.6547619047619048,0.6547619047619048,0.4880952380952381,0.5148389514476533,0.8301526601495892,0.32936507936507936,0.0379505162201231,0.45236794171220396,0.6270979703356753,0.8102455731254099,0.5487158038671527,0.6267059192886554,0.9285714285714286,1.0,0.0,0.8518518518518519,16,0.8125,0.5625,0.5625,0.1875,0.1875,1.75,27,0.0,-1.3158198810372225e-16,0.5148389514476533,0.07142857142857142,0.15476190476190477,0.0,0.011904761904761904,0.2976190476190476,0.5357142857142857,0.0
