variant,split,gold_label,n,mean_s,median_s,std_s,mean_tau1,mean_tau2,mean_tau3,mean_tau4,mean_margin_tau2,median_margin_tau2,mean_margin_tau3,median_margin_tau3,pred_ge4_count,pred_ge4_rate,recall
metric_rubric,dev,1,19,-5.229646381578948,-7.1875,4.3553852362013705,-2.903664287767912,-2.0581653620067395,-0.7287762039586118,1.3080742108194452,-3.171480994475515,-4.782535552978516,-4.500870177620335,-5.686577796936035,5,0.2631578947368421,0.6842105263157895
metric_rubric,dev,2,38,1.833823756167763,2.40625,1.180705582570148,-2.8016357547358464,-1.809848848142122,0.0846678708728991,1.9740725630208065,3.6436726231324044,3.6037709712982178,1.749155885294864,2.077510356903076,28,0.7368421052631579,0.0
metric_rubric,dev,3,105,1.3661167689732143,1.3359375,1.2513088509774248,-3.11391107468378,-2.0397560221808297,-0.2762680371602376,1.9384003344036285,3.4058728104545954,3.168672800064087,1.6423848197573707,1.602884292602539,95,0.9047619047619048,0.09523809523809523
metric_rubric,dev,4,389,1.4515815872153157,1.3046875,1.2303093374751952,-3.1655830166333745,-2.2052353602142136,-0.5681104261648379,1.7314381250072568,3.656816938236011,3.545055389404297,2.0196920139930548,1.962024211883545,381,0.9794344473007712,0.6015424164524421
metric_rubric,dev,5,556,2.671140711942165,2.5625,1.5667360769598229,-3.2691677448560865,-2.401764918359921,-0.9201276842638743,1.0098934362260559,5.072905634375785,4.913330554962158,3.5912684052110575,3.5127296447753906,556,1.0,0.8381294964028777
metric_rubric,test,1,9,-8.08420138888889,-9.125,3.147759520368573,-3.026056554582384,-2.339510679244995,-1.3776932027604845,0.6115180121527778,-5.744690736134847,-6.720035552978516,-6.706508212619358,-7.624077796936035,1,0.1111111111111111,0.8888888888888888
metric_rubric,test,2,22,0.9178355823863636,0.94140625,1.0824718591761118,-2.9818819761276245,-1.96037419275804,-0.08216067877682773,2.0016479167071255,2.8782097643071953,2.5170226097106934,0.9999962503259833,0.7643157243728638,14,0.6363636363636364,0.0
metric_rubric,test,3,105,0.7647112165178571,0.43359375,1.4084354467102311,-3.2391628878457204,-2.200531800587972,-0.6236725898016067,1.5887613387334913,2.9652430136998493,2.5447254180908203,1.38838381086077,1.0750060081481934,93,0.8857142857142857,0.11428571428571428
metric_rubric,test,4,351,1.1372101612580128,1.0546875,1.2578323883133204,-3.3011534764216495,-2.34853699675992,-0.8281714264144245,1.5029347581401509,3.4857471505461257,3.460493564605713,1.9653815876724374,1.90334153175354,343,0.9772079772079773,0.6324786324786325
metric_rubric,test,5,616,2.439444009359781,2.0703125,1.6710811722482566,-3.3322288452030775,-2.430066827442739,-1.0012594894929365,1.0871834093100066,4.869510839124779,4.620022535324097,3.440703505819494,3.263079285621643,616,1.0,0.8133116883116883
qmr,dev,1,19,-1.134046052631579,-1.5546875,2.1779606722579223,-2.1329960446608696,-0.7554585682718378,0.49577866729937103,2.294419439215409,-0.3785874843597412,-0.397965669631958,-1.629824726205123,-1.5323328971862793,2,0.10526315789473684,0.47368421052631576
qmr,dev,2,38,1.6080129523026316,1.66015625,0.7904789217538722,-3.6560272041120028,-2.211936304443761,0.024022121178476435,2.022947669029236,3.8199493006656042,4.200401067733765,1.5839908373983282,1.9211547374725342,27,0.7105263157894737,0.0
qmr,dev,3,105,2.053173828125,2.015625,1.2397704496047945,-3.390578349431356,-1.8579601844151814,0.3844570205325172,3.140253900346302,3.911134007998875,3.8098320960998535,1.6687168075924828,1.7032835483551025,86,0.819047619047619,0.18095238095238095
qmr,dev,4,389,2.136401178904242,1.9375,1.348408109194964,-3.4982257732082456,-2.161284693715505,-0.12475065277903735,2.831777995533686,4.297685867410086,4.249634742736816,2.2611518322961803,2.219543933868408,373,0.9588688946015425,0.6838046272493573
qmr,dev,5,556,3.0023715890568794,2.7890625,1.9553614930389256,-3.8559823411402943,-2.733658929094136,-0.9642432282725684,1.344875432175698,5.736030521581498,5.448840856552124,3.9666148113261026,3.6330381631851196,555,0.9982014388489209,0.8183453237410072
qmr,test,1,9,-2.7309027777777777,-3.375,1.8403007074043198,-1.8330055872599285,-0.5492825110753378,-0.06858016384972467,1.3092612160576715,-2.1816202534569635,-3.037118434906006,-2.662322574191623,-3.254883289337158,1,0.1111111111111111,0.8888888888888888
qmr,test,2,22,1.544677734375,1.546875,0.9905416563532634,-3.297017216682434,-1.946585313840346,0.2071746587753296,2.6921571384776724,3.49126305363395,3.1141308546066284,1.3375030647624622,0.8351821899414062,16,0.7272727272727273,0.0
qmr,test,3,105,1.5299929664248513,1.3828125,1.3594034277455782,-3.394042076383318,-1.9300995497476487,0.08230847177051362,2.8511853558676585,3.4600925252551122,3.1023378372192383,1.4476844923836845,1.1500749588012695,87,0.8285714285714286,0.17142857142857143
qmr,test,4,351,1.7745535217459045,1.53125,1.4076082466210262,-3.5530127100115827,-2.2792202842201603,-0.40310912458305687,2.488220063369838,4.053773805966065,3.9852988719940186,2.177662647687472,2.112435817718506,340,0.9686609686609686,0.6695156695156695
qmr,test,5,616,2.8895276552670963,2.65625,1.9460459285613532,-3.7591878624705526,-2.632045649282344,-0.9507692963271946,1.4877905005758458,5.52157330454944,5.392723798751831,3.8402969368866513,3.5998823642730713,611,0.9918831168831169,0.7792207792207793
