variant,seed,fold,bias_norm,effective_residual_norm,enabled,metric,metric_id,train_rows,u_norm,v_norm
E5,42,0,0.001102908281609416,0.0032138298265635967,True,Basic Factual Accuracy,0,253,0.0021109215449541807,0.710722029209137
E5,42,0,0.0012462339363992214,0.00366297853179276,True,"Clarity, Simplicity & Inspiration",1,148,0.0024167445953935385,0.7058476209640503
E5,42,0,0.0011221327586099505,0.0033082240261137486,True,Content Relevance & Scope Control,2,240,0.00218609138391912,0.7151418328285217
E5,42,0,0.0014585701283067465,0.004607669543474913,True,Domain Knowledge Accuracy,3,98,0.003149099415168166,0.708122193813324
E5,42,0,0.0009010301437228918,0.002476148307323456,True,Error Identification & Correction Precision,4,106,0.001575118163600564,0.7044607400894165
E5,42,0,0.0014289220562204719,0.003877167124301195,True,Higher-Order Thinking & Skill Development,5,143,0.0024482449516654015,0.7162655591964722
E5,42,0,0.0013486951356753707,0.0039524189196527,True,Instruction Following & Task Completion,6,390,0.002603723667562008,0.7024534344673157
E5,42,0,0.000632448703981936,0.0019595331978052855,True,"Motivation, Guidance & Positive Feedback",7,149,0.0013270844938233495,0.7073676586151123
E5,42,0,0.0009674035245552659,0.0028256424702703953,True,"Personalization, Adaptation & Learning Support",8,141,0.0018582388292998075,0.7020832896232605
E5,42,0,0.0011760927736759186,0.0033255715388804674,True,Reasoning Process Rigor,9,156,0.002149478765204549,0.7163126468658447
E5,42,0,0.0013692217180505395,0.0038232970982789993,True,Role & Tone Consistency,10,78,0.0024540754966437817,0.7126477956771851
E5,42,0,0.0010693795047700405,0.002977704629302025,True,Scenario Element Integration,11,209,0.0019083250081166625,0.7059910893440247
E5,42,1,0.0009911672677844763,0.0030662447679787874,True,Basic Factual Accuracy,0,256,0.002075077500194311,0.7107990980148315
E5,42,1,0.0011859446531161666,0.0035563805140554905,True,"Clarity, Simplicity & Inspiration",1,155,0.0023704359773546457,0.7058578729629517
E5,42,1,0.0011619320139288902,0.0033939790446311235,True,Content Relevance & Scope Control,2,249,0.0022320470307022333,0.7150314450263977
E5,42,1,0.001422446221113205,0.004541613627225161,True,Domain Knowledge Accuracy,3,117,0.0031191674061119556,0.7085955142974854
E5,42,1,0.0009551019174978137,0.002717571333050728,True,Error Identification & Correction Precision,4,108,0.001762469531968236,0.7044637799263
E5,42,1,0.0013512151781469584,0.00359162176027894,True,Higher-Order Thinking & Skill Development,5,141,0.002240406582131982,0.7164818048477173
E5,42,1,0.0011535277590155602,0.0033666803501546383,True,Instruction Following & Task Completion,6,402,0.002213152591139078,0.701993465423584
E5,42,1,0.0005400227382779121,0.001571504632011056,True,"Motivation, Guidance & Positive Feedback",7,156,0.0010314818937331438,0.7072301506996155
E5,42,1,0.0008842288516461849,0.0024696222972124815,True,"Personalization, Adaptation & Learning Support",8,127,0.0015853934455662966,0.7017985582351685
E5,42,1,0.0010620923712849617,0.0029860022477805614,True,Reasoning Process Rigor,9,157,0.0019239098764955997,0.7162818908691406
E5,42,1,0.0011310998816043139,0.0033589524682611227,True,Role & Tone Consistency,10,84,0.002227852586656809,0.713422417640686
E5,42,1,0.0010209818137809634,0.00274779018945992,True,Scenario Element Integration,11,208,0.0017268083756789565,0.7058649063110352
E5,42,2,0.0012376043014228344,0.003794086864218116,True,Basic Factual Accuracy,0,257,0.0025564825627952814,0.710808515548706
E5,42,2,0.001149260438978672,0.0034414315596222878,True,"Clarity, Simplicity & Inspiration",1,144,0.0022921711206436157,0.7055110931396484
E5,42,2,0.0013493513688445091,0.003948380704969168,True,Content Relevance & Scope Control,2,242,0.0025990293361246586,0.7148749828338623
E5,42,2,0.0015096042770892382,0.004691961221396923,True,Domain Knowledge Accuracy,3,108,0.003182356944307685,0.7086590528488159
E5,42,2,0.0008184016332961619,0.0023673714604228735,True,Error Identification & Correction Precision,4,106,0.0015489697689190507,0.7044011950492859
E5,42,2,0.0013671027263626456,0.003891659900546074,True,Higher-Order Thinking & Skill Development,5,127,0.0025245570577681065,0.7164426445960999
E5,42,2,0.001188743277452886,0.0027486812323331833,True,Instruction Following & Task Completion,6,393,0.0015599379548802972,0.7017702460289001
E5,42,2,0.000432639557402581,0.0016113028395920992,True,"Motivation, Guidance & Positive Feedback",7,148,0.0011786633403971791,0.7071429491043091
E5,42,2,0.0010861947666853666,0.003126171650364995,True,"Personalization, Adaptation & Learning Support",8,133,0.0020399768836796284,0.702130913734436
E5,42,2,0.0008365978137589991,0.0023788176476955414,True,Reasoning Process Rigor,9,159,0.0015422197757288814,0.7160020470619202
E5,42,2,0.001428695279173553,0.004190989304333925,True,Role & Tone Consistency,10,79,0.002762294141575694,0.7136960625648499
E5,42,2,0.001047699130140245,0.002687993925064802,True,Scenario Element Integration,11,200,0.001640294911339879,0.7058233022689819
E5,42,3,0.0010454815346747637,0.0031685202848166227,True,Basic Factual Accuracy,0,263,0.002123038750141859,0.7103787660598755
E5,42,3,0.0013086063554510474,0.003643658012151718,True,"Clarity, Simplicity & Inspiration",1,155,0.002335051540285349,0.7058253288269043
E5,42,3,0.0012457966804504395,0.003769432893022895,True,Content Relevance & Scope Control,2,262,0.0025236362125724554,0.7151327133178711
E5,42,3,0.0014314308064058423,0.004522147122770548,True,Domain Knowledge Accuracy,3,122,0.0030907164327800274,0.7085478901863098
E5,42,3,0.0007301746518351138,0.0020716984290629625,True,Error Identification & Correction Precision,4,104,0.0013415238354355097,0.7040476202964783
E5,42,3,0.0012689727591350675,0.003558604046702385,True,Higher-Order Thinking & Skill Development,5,159,0.0022896314039826393,0.7164869904518127
E5,42,3,0.0008886116556823254,0.0024426430463790894,True,Instruction Following & Task Completion,6,378,0.0015540312742814422,0.7015243172645569
E5,42,3,0.0007908150437287986,0.0024434069637209177,True,"Motivation, Guidance & Positive Feedback",7,129,0.00165259197819978,0.7076838612556458
E5,42,3,0.0010015541920438409,0.0028653880581259727,True,"Personalization, Adaptation & Learning Support",8,117,0.0018638339824974537,0.7020654678344727
E5,42,3,0.00112184789031744,0.003002918092533946,True,Reasoning Process Rigor,9,147,0.001881070202216506,0.7161964774131775
E5,42,3,0.001221532467752695,0.0036478759720921516,True,Role & Tone Consistency,10,70,0.0024263435043394566,0.7130643129348755
E5,42,3,0.0007065951940603554,0.0018630183767527342,True,Scenario Element Integration,11,182,0.0011564231244847178,0.7056633234024048
E5,42,4,0.0010120882652699947,0.0029044225811958313,True,Basic Factual Accuracy,0,259,0.0018923344323411584,0.710639238357544
E5,42,4,0.0011323366779834032,0.003355379682034254,True,"Clarity, Simplicity & Inspiration",1,146,0.002223043004050851,0.7057089805603027
E5,42,4,0.0009909161599352956,0.003055085428059101,True,Content Relevance & Scope Control,2,255,0.0020641693845391273,0.7150262594223022
E5,42,4,0.0013366673374548554,0.004238166846334934,True,Domain Knowledge Accuracy,3,103,0.0029014996252954006,0.7083208560943604
E5,42,4,0.0009157138410955667,0.002779752481728792,True,Error Identification & Correction Precision,4,112,0.0018640387570485473,0.7046327590942383
