split,sample_id_hash,three_valid_scores,label_matches_half_up
train,d9fe18e415dc69845735e81a45c56fc647695445eb298ac621ca38efa156a169,True,True
train,86561f4745c1c559db76e35b636b0bb69898c43ed5777e08ed79bc51ff1e8513,True,True
train,ec8ff13ec155d815d86c647c345eadaa31207343dfec7d55a55be34671b2d591,True,True
train,5457896d0ace24f91da420a18be022efe1833ec7b7bb06dac8ba3bc7afbb6bfa,True,True
train,aa190cc84856434b581f0a6fb7c9cc9dd56b12925b792819d0d31eb062944353,True,True
train,a1018d1de30c4f2a0953fdcba05288ec742bdb644532da04547c2e132a516686,True,True
train,5272c88c369c412ca1123b40c36e13c1f2c17ed1e9092429bdafed218c597c3a,True,True
train,10f8fe63e6d11719173664c10fb2574cf437ec0dc4218f102d9947b71fb39637,True,True
train,3efca22a3e08f3f53d7e48deb11cb2adc8d886b1aa307f3b3510bd9f439ddf1d,True,True
train,801b6fd1f5627599bd528aec617a6a4d2dcd8398fcd041bf896594bf6ea50b5c,True,True
train,9ead254de7507d50bf2da4401469292a940bc974b87181b81c8fdad9d6092501,True,True
train,459885006ef96a3686c82a333d2604f0842990919d134e840d2f277e98610939,True,True
train,3ae0acc5a30fcfc8c12ca288fdb887da96456d64b2271b2c4443e869e98df6bf,True,True
train,ceb834c2161eedd4b3c1dd8117ab4285629353f08c6ea6d80b0373192c81f881,True,True
train,0bd59450345a4703217634591926bf488aeae791efdd5837c3b9e3d26dbbe6cf,True,True
train,7ef84cf14f5dd29dbeeb65d67bccbbfb5a50d3a950833438e6dc5aa53255f82e,True,True
train,933dfc3d0c728294a62a266a494729ac20d020739b601da585c2178aba265d6e,True,True
train,3e0ee60f80db6b5645d458a1692afbbe523041b02bf1b29d0c2931a9ed23e45f,True,True
train,1b716d2331014407b14928305cfb4410474fbca90e2a1bf31b5fbc02a28876ea,True,True
train,9817fab72e5be3e351b8ffed94f128f4fbb1af22daa069753a95e77defbf83d7,True,True
train,9d8bcec2e4db3b69a915e93a48b50351df63c833b38373b342a0418706bfb721,True,True
train,1f55ac617f3ef93f4078651176f04c996a579b23027273c2762fe389fb3b7797,True,True
train,8f6ce5d6af1bbdfa129f424716b58619183854083093efb43a8eb746314642b5,True,True
train,0afc75ec280e2018689470575a81c5cc8f958275a3f0cf05ba916bc7135c0f62,True,True
train,d47718b34736aadbdac30d93e8c9e94646923063b47dd7f04fb6cfedd81fc653,True,True
train,5f11402ec11356a6ce412d18a6475a1f940fe751297362b99de84093dcf59e9c,True,True
train,2a10b77b19fd14723d1ac46a49b4c8f2553a524fad68453c50318346cdcfd727,True,True
train,4612f3e8f89cfc51405e267c63fbe065ca49dfc763f45519fbe193c579af5be5,True,True
train,2012a371ae7cd7ccc4db8ff98a23e99147f47d6e3f45257629ca81a6e5fcf31a,True,True
train,0fbedf9e9da2a473de61049bbe5ec8956a0a2718024b52a545236076387da95a,True,True
train,015f7848a93f7dbd7cca5773dfe8f857f0158569f7485abe6d69a96f70e5b39e,True,True
train,8a6131e967b5eef7ac0529f3e84e6fd3ba1c6c6a6e0f4a33f4574a46b1305300,True,True
train,18909f66ae88f3e50dd6092b253bc1a23036b291daeeeb48b1df00312e681063,True,True
train,67047eee4c27a4dfab8f13dc356c6b1dbeced46dd491cc3b63d30b804945d8f5,True,True
train,12237a6f008bdc6c636015a02b7c5db2fd1f84d99f40a06552cdaff527222954,True,True
train,73102383735820c8699481578f040329c9c8c03f07c44c412a8b8c5a4a5b3e4d,True,True
train,a5504d84d3508964ff37d82bd25ba68a65206b157c6dde3f687af846c107ff10,True,True
train,b27d05f2897b4fe62d493b492be510a35109a0c5ca45cf53738c532dcc2796a8,True,True
train,65548360e66e8eccee9b423ade77bce2ca2bdf96b7893402545a10ac0e9a6324,True,True
train,8dcf401fd55d31ce9a02df1e605e143e03ea5dc7540a69d40744e8769db61e7f,True,True
train,c8a63d5c18b4b266732a2fa6da23a6f01909e086a68de5b23f23cfaba79d9c2a,True,True
train,4d5dd0a9cf0b71b24c2cc5847a27d55d48f92a61bfbc7685f3706190f1b077c7,True,True
train,7ab7076d36ab342d59f89ddc808fba57c7c07fe155b08334a9c9f94b93331c7c,True,True
train,b2619e669940d11afc5e9fd8e8b86344c41570ba399258aaa01c6852439b7dcd,True,True
train,787b0446da9368d43c7ec991316478861af5588cdb98fff2da1b1b58f62eee92,True,True
train,3358ecfe2b25a87cc6ff63b63c5866dbaa3293bc3f70cd068e7c1fa197f7da44,True,True
train,a3953cb27a0f99751db26ac58e9cc52ab1332e0da049376f0c3990fa6a33eb83,True,True
train,ce377ac6d8ccb1a9a9b2417cd2a8a296743b2ab36e6ecff51af8285e32b1f40c,True,True
train,8eb3f38415b6b492c699323ec1fe22a49dd82afbdb7a43a8b45fbdf35d994cbb,True,True
