seed,variant,label1_recall,label2_recall,label5_recall
42,v0_original_unweighted,0.6842105263157895,0.0,0.8758992805755396
42,v1_original_label_matched_weight,0.6842105263157895,0.0,0.8201438848920863
42,v2_selective_hard_relabel,0.6842105263157895,0.0,0.7859712230215827
42,v3_selective_soft_audit,0.631578947368421,0.0,0.9172661870503597
42,v3_safe16_original_low_anchor,0.6842105263157895,0.15789473684210525,0.8003597122302158
43,v0_original_unweighted,0.6842105263157895,0.0,0.8237410071942446
43,v1_original_label_matched_weight,0.6842105263157895,0.0,0.8597122302158273
43,v2_selective_hard_relabel,0.631578947368421,0.02631578947368421,0.8003597122302158
43,v3_selective_soft_audit,0.6842105263157895,0.07894736842105263,0.8201438848920863
43,v3_safe16_original_low_anchor,0.631578947368421,0.02631578947368421,0.8183453237410072
44,v0_original_unweighted,0.5789473684210527,0.0,0.7482014388489209
44,v1_original_label_matched_weight,0.6842105263157895,0.0,0.8938848920863309
44,v2_selective_hard_relabel,0.6842105263157895,0.0,0.762589928057554
44,v3_selective_soft_audit,0.5263157894736842,0.0,0.7338129496402878
44,v3_safe16_original_low_anchor,0.631578947368421,0.0,0.8471223021582733
