variant,metric,mean,std,min,max,seed_count
v0_original_unweighted,MAE_argmax,0.40349292381812707,0.014519197171022227,0.39295392953929537,0.42005420054200543,3
v0_original_unweighted,MAE_expected,0.44540689214063095,0.004451149027136589,0.44026724315248184,0.44800380668347767,3
v0_original_unweighted,QWK,0.540337185258956,0.009574766522113101,0.529287634679195,0.5461886529759833,3
v0_original_unweighted,Exact_Match,0.676001204456489,0.01359022474724092,0.6630532971996387,0.6901535682023487,3
v0_original_unweighted,Kendall_tau,0.5117558143333354,0.026374852528573092,0.482806758583367,0.5344216164860431,3
v0_original_unweighted,Bin_Agreement,0.8672086720867209,0.0009033423667569873,0.8663053297199639,0.8681120144534779,3
v0_original_unweighted,Signed_Bias_argmax,0.1933152664859982,0.06831442659640337,0.11924119241192412,0.25383920505871727,3
v0_original_unweighted,Signed_Bias_expected,0.12478712292286223,0.07616044673972852,0.03972150040778965,0.18664074025021368,3
v0_original_unweighted,low_to_high_count,31.333333333333332,0.5773502691896257,31.0,32.0,3
v0_original_unweighted,low_to_high_rate,0.5497076023391813,0.010128952091046034,0.543859649122807,0.5614035087719298,3
v0_original_unweighted,high_to_low_count,0.3333333333333333,0.5773502691896257,0.0,1.0,3
v0_original_unweighted,high_to_low_rate,0.0003527336860670194,0.0006109526658091279,0.0,0.0010582010582010583,3
v0_original_unweighted,label1_recall,0.6491228070175439,0.06077371254627639,0.5789473684210527,0.6842105263157895,3
v0_original_unweighted,label2_recall,0.0,0.0,0.0,0.0,3
v0_original_unweighted,label5_recall,0.815947242206235,0.06420468654954545,0.7482014388489209,0.8758992805755396,3
v0_original_unweighted,low_mean_p_score_ge_4,0.5480750036612898,0.015130400313656752,0.5321320191851874,0.5622347871132038,3
v0_original_unweighted,high_mean_p_score_le_2,0.006622175481907055,0.003931699287023839,0.0021801369020367513,0.00965527803407067,3
v1_original_label_matched_weight,MAE_argmax,0.4101174345076784,0.008279269548249047,0.4028906955736224,0.41915085817524844,3
v1_original_label_matched_weight,MAE_expected,0.4419048304818963,0.007583472593568959,0.43745696927182576,0.45066110022152756,3
v1_original_label_matched_weight,QWK,0.5324423636343378,0.017149467174779907,0.5136317279618864,0.5472071789822316,3
v1_original_label_matched_weight,Exact_Match,0.6729900632339657,0.0032570472226413913,0.6693766937669376,0.6757000903342367,3
v1_original_label_matched_weight,Kendall_tau,0.5066592445520769,0.007353342333547148,0.49822779269810674,0.5117436523540737,3
v1_original_label_matched_weight,Bin_Agreement,0.8699186991869918,0.004780038502375041,0.8663053297199639,0.8753387533875339,3
v1_original_label_matched_weight,Signed_Bias_argmax,0.2487202649804276,0.050144316984441106,0.1951219512195122,0.2944896115627823,3
v1_original_label_matched_weight,Signed_Bias_expected,0.18128071927936407,0.03650957410549291,0.1394999963938335,0.20704215839923076,3
v1_original_label_matched_weight,low_to_high_count,32.333333333333336,2.516611478423583,30.0,35.0,3
v1_original_label_matched_weight,low_to_high_rate,0.5672514619883041,0.044151078568834816,0.5263157894736842,0.6140350877192983,3
v1_original_label_matched_weight,high_to_low_count,0.6666666666666666,1.1547005383792515,0.0,2.0,3
v1_original_label_matched_weight,high_to_low_rate,0.0007054673721340388,0.0012219053316182558,0.0,0.0021164021164021165,3
