variant,seed,sample_id,sample_id_hash,original_score,silver_hard_score,silver_score_range,soft_target_5,sample_weight,pred_label_5,pred_score_expected,agrees_original,agrees_silver,prob_1,prob_2,prob_3,prob_4,prob_5
v3_safe16_original_low_anchor,42,49318c4f0d2ec2244ac543b0db468afaf9a85d1b,58e6701df99f3e4922755305b046ce5fed176aa447e7cacaf0ad62d4ac6afe8d,1,5,"[5,5]","[0.0,0.0,0.0,0.0,1.0]",0.7682333873581848,2,3.278246147558093,False,False,0.017767800018191338,0.40876075625419617,0.13545477390289307,0.15349037945270538,0.28452619910240173
v3_safe16_original_low_anchor,42,fa439d530a93932f4cf8a09f743d80c44e18e0b8,76d386a440d3749bd1c6d4f573102720e611354ba826cc91d5b8b3e4fca5d57c,2,5,"[5,5]","[0.0,0.0,0.0,0.0,1.0]",0.7682333873581848,5,3.207366932183504,False,True,0.20960041880607605,0.29500719904899597,0.016675706952810287,0.0358584001660347,0.4428582787513733
v3_safe16_original_low_anchor,42,6a65ddfebb3698d3eb20f814a761580fa2f8be48,0d325d62b18177455149c9f8b7bb68e7c7040e0a9e600314274571f4f071beae,2,5,"[5,5]","[0.0,0.0,0.0,0.0,1.0]",0.7682333873581848,5,4.28184043802321,False,True,0.04444797709584236,0.16611476242542267,0.004366697743535042,0.03328999876976013,0.7517805695533752
v3_safe16_original_low_anchor,42,ffbcfd835bce6f2c49e6ba425055824d75949505,b2e7cf8e53fcb07ea70c06c64a8488d8f2d24ce4951addbda2b1ffdb61589f58,2,5,"[5,5]","[0.0,0.0,0.0,0.0,1.0]",0.7682333873581848,2,2.894562676548958,True,False,0.1654011756181717,0.3289395272731781,0.11546863615512848,0.2260766178369522,0.16411401331424713
v3_safe16_original_low_anchor,42,6cc46157fcf2aa5b87cd72293be48481a7e5dacc,535f6f162b2f41e340eedb12b2a728c623e6aa29cb77c2966dbe80cfe4d3152d,2,4,"[4,4]","[0.0,0.0,0.0,1.0,0.0]",0.7682333873581848,4,3.302654883649666,False,True,0.0008367139962501824,0.3220967650413513,0.09832993149757385,0.5310477614402771,0.04768875986337662
v3_safe16_original_low_anchor,42,d669073d100a7f3755e1ce0ec3bd63e9b6c54e34,a667f21242a9621e4ce8f2ec0f2babe7984239a16eaadf4bbcbdfd307dde0af1,2,5,"[5,5]","[0.0,0.0,0.0,0.0,1.0]",0.7682333873581848,2,2.5789690031670034,True,False,0.0022839545272290707,0.6432499885559082,0.16944850981235504,0.14324842393398285,0.04176916927099228
v3_safe16_original_low_anchor,42,7a5ae2c79851e40cccaf47deb5d4953023576ec9,fb8997b4a2d472919db490033ed11449d4fcb250a1d5c443bb1ce281499ac31d,2,4,"[4,4]","[0.0,0.0,0.0,1.0,0.0]",0.5121555915721232,2,2.594628121703863,True,False,0.006431002169847488,0.5395944714546204,0.3241000473499298,0.11266419291496277,0.017210252583026886
v3_safe16_original_low_anchor,42,a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,f61c973de1b8f9b2472d15c187a5593f244d5eea6bfd3c6f19aa7368ace9d0e1,2,4,"[4,4]","[0.0,0.0,0.0,1.0,0.0]",0.5121555915721232,3,3.134945791447535,False,False,0.000994041794911027,0.16076786816120148,0.5766901969909668,0.22539447247982025,0.036153506487607956
v3_safe16_original_low_anchor,42,61725aede8ed2f1879dae36d9b4f8a751b64787b,b76daa4c9642bd9f701e37ea5c258286f3b9b4316b4d59792fe835e06b84cb0e,2,4,"[4,4]","[0.0,0.0,0.0,1.0,0.0]",0.5121555915721232,2,2.6783618526533246,True,False,0.010579158551990986,0.5157409310340881,0.29100456833839417,0.15008915960788727,0.032586097717285156
v3_safe16_original_low_anchor,42,26347fdbe0a04b7bfbc0e5079be670bb041a82f8,72c76f07c46dce3d1355e5a5addec0d0c14b681b60eac9692de318a5f9b13a25,2,4,"[4,4]","[0.0,0.0,0.0,1.0,0.0]",0.5121555915721232,3,3.5320329857058823,False,False,0.0019327891059219837,0.08122680336236954,0.48415327072143555,0.2482491135597229,0.1844380646944046
v3_safe16_original_low_anchor,42,d47f50d9f862f2b3b38b2bce2d879ce46d379e2b,4ba4f001caee782d9152a987695025d0e0df387b2fd5fbcd94c93eed157d32ab,2,4,"[4,4]","[0.0,0.0,0.0,1.0,0.0]",0.7682333873581848,5,4.737157984312944,False,False,3.091399776167236e-05,0.0012740539386868477,0.00805226806551218,0.24279169738292694,0.7478510737419128
v3_safe16_original_low_anchor,42,25a37166756d804397ce1540111f9b80f5bd477b,60492f01820d16a15e74c896c46501f6ad06852d3332aba2b94e55dc1333828f,2,5,"[5,5]","[0.0,0.0,0.0,0.0,1.0]",0.7682333873581848,3,3.089001143569476,False,False,0.00015473154780920595,0.02090913988649845,0.8752954006195068,0.09706129133701324,0.006579353008419275
v3_safe16_original_low_anchor,42,f33e86ba6eaa5281c801dea1ed174135a7d4c0da,35a4fb63b9e4a0a9f0156762f63983f8d0e623d391c232e0a86f624a51814413,2,5,"[4,5]","[0.0,0.0,0.0,0.20860852732604496,0.791391472673955]",0.7682333873581848,5,4.404181521385908,False,True,0.007899809628725052,0.09948846697807312,0.025700904428958893,0.214352086186409,0.6525587439537048
v3_safe16_original_low_anchor,42,3fdc81f613bf237c32a80d3fb798df97d4a1a3ab,60e579d7e9d7d5bedabf70fc1a990f29d957909cdf9fe00bff7defbeef90ac90,2,5,"[5,5]","[0.0,0.0,0.0,0.0,1.0]",0.5121555915721232,4,3.5162947331555188,False,False,0.005829032976180315,0.056175243109464645,0.4070536494255066,0.4777565002441406,0.05318565294146538
v3_safe16_original_low_anchor,42,3bcc02fdb1dc40baccc625e0649658243cccf44d,9a24b56636da6e78a08adda4f45702ad30b4a69bdb8c8a9001e1c36b07c7be9c,2,4,"[4,5]","[0.0,0.0,0.0,0.791391472673955,0.20860852732604496]",0.7682333873581848,5,4.506800012663007,False,False,0.017713667824864388,0.0812697559595108,0.03663115203380585,0.10527364164590836,0.759111762046814
v3_safe16_original_low_anchor,42,65890fb994cef054dc75e0e6dd4c1b3e2d91805d,bd24a3956586932243054235b5c3b04747d832f90d88012aa6d7b55610b12036,2,5,"[5,5]","[0.0,0.0,0.0,0.0,1.0]",0.7682333873581848,3,3.0939161772839725,False,False,0.005199210252612829,0.14245891571044922,0.6248859763145447,0.20813854038715363,0.01931740902364254
v3_safe16_original_low_anchor,43,49318c4f0d2ec2244ac543b0db468afaf9a85d1b,58e6701df99f3e4922755305b046ce5fed176aa447e7cacaf0ad62d4ac6afe8d,1,5,"[5,5]","[0.0,0.0,0.0,0.0,1.0]",0.7682333873581848,5,3.2254084050655365,False,True,0.1457759141921997,0.3122453987598419,0.10748842358589172,0.03977515548467636,0.39471516013145447
