seed,left_variant,right_variant,metric,difference_safe16_minus_baseline
42,v0_original_unweighted,v3_safe16_original_low_anchor,MAE_argmax,-0.010840108401083959
42,v0_original_unweighted,v3_safe16_original_low_anchor,MAE_expected,-0.025559839309108823
42,v0_original_unweighted,v3_safe16_original_low_anchor,QWK,0.059593761543074164
42,v0_original_unweighted,v3_safe16_original_low_anchor,Exact_Match,-0.008130081300813052
42,v0_original_unweighted,v3_safe16_original_low_anchor,Kendall_tau,-0.0023510126190776637
42,v0_original_unweighted,v3_safe16_original_low_anchor,Bin_Agreement,0.009033423667569984
42,v0_original_unweighted,v3_safe16_original_low_anchor,Signed_Bias_argmax,-0.11020776874435412
42,v0_original_unweighted,v3_safe16_original_low_anchor,Signed_Bias_expected,-0.05121566117266799
42,v0_original_unweighted,v3_safe16_original_low_anchor,low_to_high_count,-8.0
42,v0_original_unweighted,v3_safe16_original_low_anchor,low_to_high_rate,-0.14035087719298245
42,v0_original_unweighted,v3_safe16_original_low_anchor,high_to_low_count,0.0
42,v0_original_unweighted,v3_safe16_original_low_anchor,high_to_low_rate,0.0
42,v0_original_unweighted,v3_safe16_original_low_anchor,label1_recall,0.0
42,v0_original_unweighted,v3_safe16_original_low_anchor,label2_recall,0.15789473684210525
42,v0_original_unweighted,v3_safe16_original_low_anchor,label5_recall,-0.07553956834532372
42,v0_original_unweighted,v3_safe16_original_low_anchor,low_mean_p_score_ge_4,-0.09128914895776874
42,v0_original_unweighted,v3_safe16_original_low_anchor,high_mean_p_score_le_2,-0.00042990486681798723
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,MAE_argmax,-0.020776874435410986
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,MAE_expected,-0.0152066346755112
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,QWK,0.057921850682532416
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,Exact_Match,0.006323396567298967
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,Kendall_tau,0.02206431526291519
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,Bin_Agreement,0.010840108401083959
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,Signed_Bias_argmax,-0.051490514905149054
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,Signed_Bias_expected,-0.04271652945591811
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,low_to_high_count,-8.0
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,low_to_high_rate,-0.14035087719298245
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,high_to_low_count,1.0
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,high_to_low_rate,0.0010582010582010583
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,label1_recall,0.0
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,label2_recall,0.15789473684210525
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,label5_recall,-0.01978417266187049
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,low_mean_p_score_ge_4,-0.0778826343155008
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,high_mean_p_score_le_2,0.004009807891849
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,MAE_argmax,-0.022583559168925016
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,MAE_expected,-0.0011282577557489848
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,QWK,0.0458180881437773
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,Exact_Match,0.015356820234869062
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,Kendall_tau,0.031490792495062814
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,Bin_Agreement,0.0027100271002710175
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,Signed_Bias_argmax,-0.01897018970189701
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,Signed_Bias_expected,-0.023639557682518367
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,low_to_high_count,-5.0
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,low_to_high_rate,-0.08771929824561409
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,high_to_low_count,1.0
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,high_to_low_rate,0.0010582010582010583
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,label1_recall,0.0
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,label2_recall,0.15789473684210525
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,label5_recall,0.014388489208633115
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,low_mean_p_score_ge_4,-0.04848990565241951
42,v2_selective_hard_relabel,v3_safe16_original_low_anchor,high_mean_p_score_le_2,0.004778802598242981
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,MAE_argmax,-0.013550135501354976
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,MAE_expected,-0.024994080397408636
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,QWK,0.06207385916296193
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,Exact_Match,-0.006323396567298967
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,Kendall_tau,-0.012415514029422092
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,Bin_Agreement,0.005420054200541924
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,Signed_Bias_argmax,-0.15989159891598914
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,Signed_Bias_expected,-0.10192037732662126
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,low_to_high_count,-9.0
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,low_to_high_rate,-0.1578947368421053
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,high_to_low_count,1.0
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,high_to_low_rate,0.0010582010582010583
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,label1_recall,0.052631578947368474
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,label2_recall,0.15789473684210525
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,label5_recall,-0.11690647482014382
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,low_mean_p_score_ge_4,-0.12116793710772888
42,v3_selective_soft_audit,v3_safe16_original_low_anchor,high_mean_p_score_le_2,0.003809996425619168
43,v0_original_unweighted,v3_safe16_original_low_anchor,MAE_argmax,0.015356820234869006
43,v0_original_unweighted,v3_safe16_original_low_anchor,MAE_expected,0.015090162523259565
43,v0_original_unweighted,v3_safe16_original_low_anchor,QWK,-0.015836872923215006
43,v0_original_unweighted,v3_safe16_original_low_anchor,Exact_Match,-0.005420054200542035
43,v0_original_unweighted,v3_safe16_original_low_anchor,Kendall_tau,-0.0004571914615005279
43,v0_original_unweighted,v3_safe16_original_low_anchor,Bin_Agreement,-0.016260162601625994
43,v0_original_unweighted,v3_safe16_original_low_anchor,Signed_Bias_argmax,-0.029810298102981025
43,v0_original_unweighted,v3_safe16_original_low_anchor,Signed_Bias_expected,-0.04597682433408981
43,v0_original_unweighted,v3_safe16_original_low_anchor,low_to_high_count,3.0
43,v0_original_unweighted,v3_safe16_original_low_anchor,low_to_high_rate,0.05263157894736836
43,v0_original_unweighted,v3_safe16_original_low_anchor,high_to_low_count,2.0
43,v0_original_unweighted,v3_safe16_original_low_anchor,high_to_low_rate,0.0021164021164021165
43,v0_original_unweighted,v3_safe16_original_low_anchor,label1_recall,-0.052631578947368474
43,v0_original_unweighted,v3_safe16_original_low_anchor,label2_recall,0.02631578947368421
43,v0_original_unweighted,v3_safe16_original_low_anchor,label5_recall,-0.0053956834532373765
43,v0_original_unweighted,v3_safe16_original_low_anchor,low_mean_p_score_ge_4,-0.0017292852402326364
43,v0_original_unweighted,v3_safe16_original_low_anchor,high_mean_p_score_le_2,0.006128456204594138
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,MAE_argmax,0.016260162601625994
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,MAE_expected,0.004696305454213845
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,QWK,-0.00018096620590635215
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,Exact_Match,-0.011743450767841002
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,Kendall_tau,-0.015878225576240246
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,Bin_Agreement,-0.01806684733513997
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,Signed_Bias_argmax,-0.0794941282746161
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,Signed_Bias_expected,-0.06637824248310689
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,low_to_high_count,-1.0
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,low_to_high_rate,-0.01754385964912286
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,high_to_low_count,0.0
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,high_to_low_rate,0.0
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,label1_recall,-0.052631578947368474
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,label2_recall,0.02631578947368421
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,label5_recall,-0.04136690647482011
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,low_mean_p_score_ge_4,-0.06888276179591213
43,v1_original_label_matched_weight,v3_safe16_original_low_anchor,high_mean_p_score_le_2,0.0020772210838632997
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,MAE_argmax,0.006323396567299022
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,MAE_expected,0.004171365218224199
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,QWK,0.001498280225649129
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,Exact_Match,-0.0018066847335139746
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,Kendall_tau,0.007677094143237917
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,Bin_Agreement,-0.009033423667569984
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,Signed_Bias_argmax,-0.0009033423667569873
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,Signed_Bias_expected,-0.011903746420835803
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,low_to_high_count,-1.0
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,low_to_high_rate,-0.01754385964912286
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,high_to_low_count,2.0
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,high_to_low_rate,0.0021164021164021165
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,label1_recall,0.0
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,label2_recall,0.0
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,label5_recall,0.017985611510791366
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,low_mean_p_score_ge_4,-0.02250021366911059
43,v2_selective_hard_relabel,v3_safe16_original_low_anchor,high_mean_p_score_le_2,0.0057039928925908725
43,v3_selective_soft_audit,v3_safe16_original_low_anchor,MAE_argmax,0.010840108401084014
43,v3_selective_soft_audit,v3_safe16_original_low_anchor,MAE_expected,0.008933203617102481
43,v3_selective_soft_audit,v3_safe16_original_low_anchor,QWK,-0.003317985140229185
43,v3_selective_soft_audit,v3_safe16_original_low_anchor,Exact_Match,-0.005420054200542035
43,v3_selective_soft_audit,v3_safe16_original_low_anchor,Kendall_tau,0.00903631335447952
43,v3_selective_soft_audit,v3_safe16_original_low_anchor,Bin_Agreement,-0.01897018970189701
43,v3_selective_soft_audit,v3_safe16_original_low_anchor,Signed_Bias_argmax,-0.03974706413730805
43,v3_selective_soft_audit,v3_safe16_original_low_anchor,Signed_Bias_expected,-0.050669101608936395
