pilot_group,recommended_training_use,count
exp27f_top40_conflict_reaudit,high_weight,20
exp27f_top40_conflict_reaudit,low_weight,8
exp27f_top40_conflict_reaudit,review_only,12
train_all_low_label,high_weight,76
train_all_low_label,low_weight,1
train_all_low_label,review_only,18
train_clean_high_controls,high_weight,32
train_clean_high_controls,low_weight,1
train_clean_high_controls,review_only,3
train_education_dimension_stress,high_weight,31
train_education_dimension_stress,low_weight,2
train_education_dimension_stress,review_only,7
train_high_disagreement_protection,high_weight,59
train_high_disagreement_protection,low_weight,10
train_high_disagreement_protection,review_only,11
train_mid_borderline,high_weight,38
train_mid_borderline,low_weight,14
train_mid_borderline,review_only,18
