objective_id,objective_type,objective_label,status,split,scenario_canonical,n,Accuracy,Exact Match,MAE_label,MAE_expected,RMSE_label,Signed Bias label,Signed Bias expected,Macro-F1,Weighted-F1,Quadratic Weighted Kappa,Kendall tau,Spearman rho,Within-1 Accuracy,Acc@1,Acc@2,Acc@5,low_n,low_exact_match,low_MAE,low_signed_bias,low_to_high_rate,low_severe_overestimation_rate,mean_pred_low,high_n,high_to_mid_or_low_rate,high_signed_bias,MAE_score,severe_error_rate,pred_label_1_rate,pred_label_2_rate,pred_label_3_rate,pred_label_4_rate,pred_label_5_rate,monotonic_violation_rate
O1_classification,classification,classification,reused_exp03_a4,dev,Automatic Grading,125,0.688,0.688,0.47733333333333344,0.4983418476295944,0.7848566748139434,0.20533333333333334,0.05293106263152488,0.43725094026064903,0.6618261523659582,0.5839920126466428,0.5791036444557998,0.6585301599283404,0.936,0.25,0.0,0.8235294117647058,10,0.1,1.5999999999999999,1.5999999999999999,0.5,0.5,3.3,51,0.0196078431372549,-0.07189542483660141,0.4983418476295944,0.064,0.008,0.008,0.08,0.488,0.416,nan
O1_classification,classification,classification,reused_exp03_a4,dev,Emotional Support,80,0.8375,0.8375,0.3208333333333332,0.2848341144433504,0.4393808775488022,0.13749999999999998,0.10061805791368099,0.46396103896103896,0.8283887987012986,0.7784700588438906,0.6976130961490206,0.765381676661941,0.9875,nan,nan,0.9523809523809523,0,nan,nan,nan,nan,nan,nan,42,0.0,0.15079365079365062,0.2848341144433504,0.0125,0.0,0.0,0.0625,0.3625,0.575,nan
O1_classification,classification,classification,reused_exp03_a4,dev,Error Correction,75,0.7866666666666666,0.7866666666666666,0.27555555555555555,0.2558762269644891,0.4521553322083512,0.053333333333333295,0.023425108219453216,0.4048803827751196,0.7825837320574164,0.7058823529411764,0.6950112701271492,0.7639189546050643,0.9866666666666667,nan,0.0,0.9,1,0.0,2.0,2.0,1.0,1.0,4.0,50,0.0,0.006666666666666572,0.2558762269644891,0.013333333333333334,0.0,0.0,0.06666666666666667,0.26666666666666666,0.6666666666666666,nan
O1_classification,classification,classification,reused_exp03_a4,dev,Idea Provision,89,0.6067415730337079,0.6067415730337079,0.49812734082397,0.44078319986028225,0.7781343930087021,0.07865168539325841,0.04365808962348238,0.3633395176252319,0.5980196368639387,0.43498248686514884,0.39541137890494443,0.4463212069717041,0.9325842696629213,nan,0.3333333333333333,0.7924528301886793,3,0.3333333333333333,1.777777777777778,1.5555555555555554,0.6666666666666666,0.6666666666666666,3.6666666666666665,53,0.018867924528301886,-0.11320754716981142,0.44078319986028225,0.06741573033707865,0.0,0.02247191011235955,0.07865168539325842,0.25842696629213485,0.6404494382022472,nan
O1_classification,classification,classification,reused_exp03_a4,dev,Personalized Content Creation,45,0.7777777777777778,0.7777777777777778,0.3259259259259259,0.30829267046626424,0.4608098078517271,-0.08888888888888884,-0.05059206283722732,0.3226600985221675,0.7575259989053093,0.610051993067591,0.5773663682335836,0.6568041751505336,1.0,nan,nan,0.6875,0,nan,nan,nan,nan,nan,nan,16,0.0,-0.1666666666666668,0.30829267046626424,0.0,0.0,0.0,0.022222222222222223,0.7111111111111111,0.26666666666666666,nan
O1_classification,classification,classification,reused_exp03_a4,dev,Personalized Learning Support,55,0.7818181818181819,0.7818181818181819,0.3212121212121211,0.2680279304433957,0.45615875315596877,0.09090909090909094,0.08115118298485158,0.4016854351554925,0.7670357087166692,0.7515060240963856,0.6878009643457959,0.7780785876086339,1.0,nan,nan,0.96,0,nan,nan,nan,nan,nan,nan,25,0.0,0.053333333333333253,0.2680279304433957,0.0,0.0,0.0,0.07272727272727272,0.41818181818181815,0.509090909090909,nan
O1_classification,classification,classification,reused_exp03_a4,dev,Question Answering,38,0.7368421052631579,0.7368421052631579,0.4999999999999999,0.5130601445681238,0.8429272304235245,0.2894736842105262,0.16458246122869902,0.37333333333333335,0.6912280701754385,0.6987668819729889,0.3529191892640204,0.38866464744516266,0.8947368421052632,1.0,0.0,0.9285714285714286,4,0.5,1.0,1.0,0.25,0.25,2.5,28,0.03571428571428571,0.07142857142857127,0.5130601445681238,0.10526315789473684,0.05263157894736842,0.0,0.07894736842105263,0.02631578947368421,0.8421052631578947,nan
O1_classification,classification,classification,reused_exp03_a4,dev,Question Generation,74,0.7567567567567568,0.7567567567567568,0.37387387387387383,0.35556749592759684,0.5914810646587512,0.049549549549549536,0.034805494996235906,0.5312230031128655,0.7570197327393823,0.6277665995975855,0.5745978281395561,0.649323852809974,0.9459459459459459,nan,0.5,0.8571428571428571,2,0.5,0.8333333333333333,0.8333333333333333,0.5,0.5,3.0,42,0.047619047619047616,-0.04761904761904775,0.35556749592759684,0.05405405405405406,0.0,0.013513513513513514,0.0945945945945946,0.3108108108108108,0.581081081081081,nan
O1_classification,classification,classification,reused_exp03_a4,dev,Teaching Material Generation,83,0.6626506024096386,0.6626506024096386,0.4176706827309237,0.3502363944858488,0.5402166256950781,0.06425702811244978,0.03570555846686416,0.2749173358526217,0.6376379395712278,0.4039842483205931,0.4046209908538232,0.4511783074078206,0.9879518072289156,nan,nan,0.6578947368421053,0,nan,nan,nan,nan,nan,nan,38,0.0,-0.10526315789473706,0.3502363944858488,0.012048192771084338,0.0,0.0,0.0,0.5783132530120482,0.42168674698795183,nan
O1_classification,classification,classification,reused_exp03_a4,test,Emotional Support,174,0.8160919540229885,0.8160919540229885,0.32183908045977005,0.29478378633562513,0.46732301954611766,0.11494252873563214,0.12505828567905833,0.3913797313797313,0.8104549983860329,0.7132945971728384,0.6603677639521667,0.7310561712617355,0.9885057471264368,nan,0.0,0.9134615384615384,1,0.0,1.0,1.0,0.0,0.0,3.0,104,0.0,0.10256410256410241,0.29478378633562513,0.011494252873563218,0.0,0.0,0.05172413793103448,0.3390804597701149,0.6091954022988506,nan
