variant,original_label_5,row_count,active_row_count,sample_weight_sum,weighted_target_mass_1,weighted_target_mass_2,weighted_target_mass_3,weighted_target_mass_4,weighted_target_mass_5,mean_expected_target_score,mean_expected_shift_from_original
v0_original_unweighted,1,58,58,58.0,58.0,0.0,0.0,0.0,0.0,1.0,0.0
v0_original_unweighted,2,53,53,53.0,0.0,53.0,0.0,0.0,0.0,2.0,0.0
v0_original_unweighted,3,297,297,297.0,0.0,0.0,297.0,0.0,0.0,3.0,0.0
v0_original_unweighted,4,1163,1163,1163.0,0.0,0.0,0.0,1163.0,0.0,4.0,0.0
v0_original_unweighted,5,1755,1755,1755.0,0.0,0.0,0.0,0.0,1755.0,5.0,0.0
v1_original_label_matched_weight,1,58,55,53.008103727714754,53.008103727714754,0.0,0.0,0.0,0.0,1.0,0.0
v1_original_label_matched_weight,2,53,51,39.43598055105349,0.0,39.43598055105349,0.0,0.0,0.0,2.0,0.0
v1_original_label_matched_weight,3,297,297,269.3938411669368,0.0,0.0,269.3938411669368,0.0,0.0,3.0,0.0
v1_original_label_matched_weight,4,1163,1160,1170.0194489465155,0.0,0.0,0.0,1170.0194489465155,0.0,4.0,0.0
v1_original_label_matched_weight,5,1755,1755,1786.1426256077796,0.0,0.0,0.0,0.0,1786.1426256077796,5.0,0.0
v2_selective_hard_relabel,1,58,55,53.008103727714754,48.14262560777958,3.5850891410048624,0.5121555915721232,0.0,0.7682333873581848,1.1449275362318838,0.1449275362318838
v2_selective_hard_relabel,2,53,51,39.43598055105349,0.0,27.656401944894654,1.5364667747163696,4.353322528363047,5.889789303079417,2.7077922077922074,0.7077922077922074
v2_selective_hard_relabel,3,297,297,269.3938411669368,0.7682333873581848,3.072933549432739,241.99351701782822,15.108589951377635,8.450567260940034,3.1017110266159698,0.10171102661596976
v2_selective_hard_relabel,4,1163,1160,1170.0194489465155,0.7682333873581848,0.7682333873581848,2.560777957860616,1155.42301458671,10.499189627228526,4.003501860363318,0.003501860363318343
v2_selective_hard_relabel,5,1755,1755,1786.1426256077796,0.0,1.5364667747163696,2.048622366288493,3.8411669367909242,1778.716369529984,4.992974910394265,-0.007025089605734891
v3_selective_soft_audit,1,58,55,53.008103727714754,48.14262560777958,3.5850891410048624,0.5121555915721232,0.0,0.7682333873581848,1.1449275362318838,0.1449275362318838
v3_selective_soft_audit,2,53,51,39.43598055105349,2.6888168557536467,25.73581847649919,0.5121555915721232,4.353322528363047,6.145867098865478,2.633116883116883,0.633116883116883
v3_selective_soft_audit,3,297,297,269.3938411669368,1.280388978930308,8.06645056726094,240.84116693679093,9.314618408504789,9.89121627544983,3.068560670705302,0.06856067070530214
v3_selective_soft_audit,4,1163,1160,1170.0194489465155,0.7682333873581848,1.152350081037277,1.8349423188491727,1159.5414581934604,6.72246496581052,4.000237707435601,0.00023770743560103114
v3_selective_soft_audit,5,1755,1755,1786.1426256077796,0.1280388978930308,1.6645056726094003,2.0698212404618634,4.81205810807534,1777.46820168874,4.991905812564392,-0.008094187435608191
