split,low_group,pred_label,count,rate,low_to_high_count,low_to_high_rate,low_to_mid_count,low_to_mid_rate,exact_count,exact_rate
dev,low_all,1,13,0.22807017543859648,32,0.5614035087719298,12,0.21052631578947367,13,0.22807017543859648
dev,low_all,2,0,0.0,32,0.5614035087719298,12,0.21052631578947367,13,0.22807017543859648
dev,low_all,3,12,0.21052631578947367,32,0.5614035087719298,12,0.21052631578947367,13,0.22807017543859648
dev,low_all,4,5,0.08771929824561403,32,0.5614035087719298,12,0.21052631578947367,13,0.22807017543859648
dev,low_all,5,27,0.47368421052631576,32,0.5614035087719298,12,0.21052631578947367,13,0.22807017543859648
dev,label_1,1,13,0.6842105263157895,2,0.10526315789473684,4,0.21052631578947367,13,0.6842105263157895
dev,label_1,2,0,0.0,2,0.10526315789473684,4,0.21052631578947367,13,0.6842105263157895
dev,label_1,3,4,0.21052631578947367,2,0.10526315789473684,4,0.21052631578947367,13,0.6842105263157895
dev,label_1,4,1,0.05263157894736842,2,0.10526315789473684,4,0.21052631578947367,13,0.6842105263157895
dev,label_1,5,1,0.05263157894736842,2,0.10526315789473684,4,0.21052631578947367,13,0.6842105263157895
dev,label_2,1,0,0.0,30,0.7894736842105263,8,0.21052631578947367,0,0.0
dev,label_2,2,0,0.0,30,0.7894736842105263,8,0.21052631578947367,0,0.0
dev,label_2,3,8,0.21052631578947367,30,0.7894736842105263,8,0.21052631578947367,0,0.0
dev,label_2,4,4,0.10526315789473684,30,0.7894736842105263,8,0.21052631578947367,0,0.0
dev,label_2,5,26,0.6842105263157895,30,0.7894736842105263,8,0.21052631578947367,0,0.0
test,low_all,1,8,0.25806451612903225,16,0.5161290322580645,7,0.22580645161290322,8,0.25806451612903225
test,low_all,2,0,0.0,16,0.5161290322580645,7,0.22580645161290322,8,0.25806451612903225
test,low_all,3,7,0.22580645161290322,16,0.5161290322580645,7,0.22580645161290322,8,0.25806451612903225
test,low_all,4,9,0.2903225806451613,16,0.5161290322580645,7,0.22580645161290322,8,0.25806451612903225
test,low_all,5,7,0.22580645161290322,16,0.5161290322580645,7,0.22580645161290322,8,0.25806451612903225
test,label_1,1,8,0.8888888888888888,1,0.1111111111111111,0,0.0,8,0.8888888888888888
test,label_1,2,0,0.0,1,0.1111111111111111,0,0.0,8,0.8888888888888888
test,label_1,3,0,0.0,1,0.1111111111111111,0,0.0,8,0.8888888888888888
test,label_1,4,1,0.1111111111111111,1,0.1111111111111111,0,0.0,8,0.8888888888888888
test,label_1,5,0,0.0,1,0.1111111111111111,0,0.0,8,0.8888888888888888
test,label_2,1,0,0.0,15,0.6818181818181818,7,0.3181818181818182,0,0.0
test,label_2,2,0,0.0,15,0.6818181818181818,7,0.3181818181818182,0,0.0
test,label_2,3,7,0.3181818181818182,15,0.6818181818181818,7,0.3181818181818182,0,0.0
test,label_2,4,8,0.36363636363636365,15,0.6818181818181818,7,0.3181818181818182,0,0.0
test,label_2,5,7,0.3181818181818182,15,0.6818181818181818,7,0.3181818181818182,0,0.0
