sample_id,label,label_region,qwen_failure_visibility,deepseek_failure_visibility,failure_visibility_exact,qwen_overestimation_risk,deepseek_overestimation_risk,overestimation_risk_exact,qwen_evidence_type,deepseek_evidence_type,evidence_type_exact,major_failures_jaccard
0578273c54e1a724084529ebbc385f1bdd1076ea,1,low,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
06861366641747d8214ceee8efb257daab5915fd,2,low,missing_required_content,no_major_failure,False,high,low,False,missing_required_content,not_applicable,False,0.0
0f9bdd1ac2b116a1f087a68008be1d0a38cb8ab1,1,low,missing_required_content,missing_required_content,True,low,high,False,missing_required_content,missing_required_content,True,1.0
107a460ba82cd473b9a08a5d43257a7f1d336874,2,low,explicit_failure,explicit_failure,True,medium,high,False,verbatim_answer_span,verbatim_answer_span,True,1.0
18ae31b0930f4812f14b417a1b631e06c74e7410,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
1947f424625d896777f4dbddef16ab9afb7730aa,1,low,missing_required_content,missing_required_content,True,medium,high,False,missing_required_content,missing_required_content,True,1.0
1d5f77fabc222d72e4fb87f25eb3e5c41e786cf4,1,low,hidden_failure,missing_required_content,False,medium,high,False,verbatim_answer_span,missing_required_content,False,0.3333333333333333
1f9fc6e36113728a15b2ce3acfbe2073b64d734d,3,mid,hidden_failure,missing_required_content,False,medium,high,False,missing_required_content,missing_required_content,True,1.0
3085147813a8f48d70b8dbed81b3b72957cbc1ae,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
3624849d5e3d9a97bf8f9965e3f2aca0b53f7d66,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
3a5e33210fd977f5c8bc6df5dc98a0402f4663ac,4,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
3ba4af0cd6da089654cdea6d00de3244b80fc906,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
41f6f52edd1473f3cc3cde8e6923d1e09fa429d5,4,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
4468842156d5b938a609185df023c4a860497e75,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
46133cfb383c1c10e94bab324dabdce1277ab939,4,high,hidden_failure,no_major_failure,False,high,low,False,verbatim_answer_span,not_applicable,False,0.0
481a18d6d4711b12ee76a9f0a8d37f55d25df1c4,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
4a94159b2cfae1127c979628b87af3087401a413,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
4b41e17c2598dfa1e57d4a8a31387f8358ae9ab6,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
4d603e5ed030c00413f35f1852ebb1859d5dc6be,1,low,missing_required_content,missing_required_content,True,high,high,True,missing_required_content,missing_required_content,True,1.0
5e15d31d11a545d5b8842f8a9f51ae58c59e7634,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
6195cd84a8bf06d5a3608b3bb6561111e242ace6,3,mid,hidden_failure,explicit_failure,False,medium,high,False,verbatim_answer_span,verbatim_answer_span,True,0.0
62b2cc4828c16383397c0f6eba7db729544d5d77,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
630a88341b60ad40afcd43bf6bf3967c515b8803,2,low,missing_required_content,explicit_failure,False,medium,high,False,missing_required_content,rubric_mismatch,False,0.5
63ab64773fb76fbe6cba302eed79041a8316bb7c,2,low,missing_required_content,explicit_failure,False,medium,high,False,missing_required_content,verbatim_answer_span,False,0.0
65890fb994cef054dc75e0e6dd4c1b3e2d91805d,2,low,no_major_failure,explicit_failure,False,low,high,False,not_applicable,verbatim_answer_span,False,0.0
6c2ca811835d3ab2cc459573f13c0ae3caf83824,3,mid,hidden_failure,no_major_failure,False,medium,low,False,missing_required_content,not_applicable,False,0.0
6c703c046a9b97419785484bb1dd5d5b81ccd77a,1,low,missing_required_content,missing_required_content,True,low,high,False,missing_required_content,missing_required_content,True,1.0
76909e50052e68bb729ed62933a86559f6a7c036,1,low,missing_required_content,missing_required_content,True,low,high,False,missing_required_content,missing_required_content,True,1.0
7a3d744f872bfd9b86744f132f9dfc6a3c5d8e9f,3,mid,explicit_failure,explicit_failure,True,medium,medium,True,verbatim_answer_span,verbatim_answer_span,True,0.5
8341e93909c0704df94f772a62c2864d3bbd1a62,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
89f8c6ed8c1b947a44510dcc18b38a1d97571453,2,low,explicit_failure,explicit_failure,True,medium,high,False,verbatim_answer_span,verbatim_answer_span,True,1.0
8ff264a74369c7106935fc453add4b92d95a8b87,1,low,missing_required_content,missing_required_content,True,low,high,False,missing_required_content,missing_required_content,True,1.0
9aadad1caf2256ca13d782acb0461e0845e58a6d,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
9ec7e3a19fad6e6c3caee049ed4fe69a3e9f1649,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
a2963f0bafecf877ce9d9f85ccd07d324522a500,1,low,missing_required_content,missing_required_content,True,high,high,True,missing_required_content,missing_required_content,True,1.0
a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,2,low,hidden_failure,missing_required_content,False,medium,high,False,verbatim_answer_span,missing_required_content,False,1.0
a6a61e243a1f0c09ac86c3557bd39377eff935bc,3,mid,hidden_failure,missing_required_content,False,medium,medium,True,verbatim_answer_span,missing_required_content,False,1.0
aecd1f611f3240d1b34cc110420629542708fd0a,3,mid,explicit_failure,missing_required_content,False,medium,high,False,verbatim_answer_span,missing_required_content,False,0.0
b01129b756e85be3f61bf81d006ca0e61ef3e530,4,high,missing_required_content,no_major_failure,False,medium,low,False,missing_required_content,not_applicable,False,0.0
b51fe8038ded98685f2c18b27990ce26056dfc17,2,low,missing_required_content,missing_required_content,True,high,high,True,missing_required_content,missing_required_content,True,0.5
b5f54f2d11493dd41a74e9e2274d26451a958dcc,1,low,explicit_failure,no_major_failure,False,low,low,True,verbatim_answer_span,not_applicable,False,0.0
b93239ad93a7561a06f1b07c82c82f44bf81667e,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
b9f1c6853708c1217088b33dabe3b2ce1f70233e,4,high,hidden_failure,no_major_failure,False,medium,medium,True,verbatim_answer_span,not_applicable,False,0.0
bdfb1901aed7bfddbd4bcd0898854e7ecfd4513c,2,low,explicit_failure,missing_required_content,False,medium,medium,True,verbatim_answer_span,missing_required_content,False,0.5
c0d4f41ccf2066449887e86887cb7b8903269b2a,2,low,explicit_failure,no_major_failure,False,low,low,True,verbatim_answer_span,not_applicable,False,0.0
