view,weighting,subgroup_type,subgroup_value,source,rows,mae,qwk,exact,within_one,signed_bias,severe_error,low_to_high,high_to_low,label1_recall,label2_recall,label5_recall,status
representative_train,design_weighted,evidence_validity,valid,human_1,120,0.5155847418093085,0.489942730555177,0.5673673759883254,0.9193086207102786,-0.20876305307352783,0.08069137928972142,0.011881436824918363,0.005861173909402997,0.8888888888888888,0.31216982038228797,0.5951662995864848,COMPLETE
representative_train,design_weighted,evidence_validity,valid,human_2,120,0.4758211026183897,0.5240569729236183,0.5964754010119496,0.9295455795983302,-0.109443666941783,0.07045442040166984,0.019447375031399143,0.012909654190739344,1.0,0.28095283834405915,0.6628934691393739,COMPLETE
representative_train,design_weighted,evidence_validity,valid,human_3,120,0.44273776629466155,0.5792796228118396,0.615401490412794,0.9452099855264889,-0.041207162593748875,0.05479001447351108,0.0,0.012909654190739344,1.0,0.21851887426760158,0.7548160050333526,COMPLETE
representative_train,design_weighted,evidence_validity,valid,rounded_human,120,0.4516185213095537,0.5695764379025431,0.6027377662946615,0.9489929546297293,-0.10196767981244242,0.05100704537027069,0.011881436824918363,0.009126685087498953,1.0,0.31216982038228797,0.7016656238916053,COMPLETE
representative_train,design_weighted,evidence_validity,valid,qwen,120,0.2687924785588689,0.807702391103361,0.7484025310702025,0.9861542326048731,-0.08653437159842586,0.013845767395126852,0.0036841664573390273,0.009408021435150297,0.6666666666666666,0.9063490538853135,0.9261162397648091,COMPLETE
representative_train,design_weighted,evidence_validity,valid,deepseek,89,0.5522912121902777,0.6442138024235813,0.5255833034871227,0.9505512323771692,-0.04681231617447553,0.049448767622830715,0.003950552968883968,0.03726587004417239,0.8888888888888888,0.6365382768225915,0.7261270918417067,COMPLETE
representative_train,design_weighted,evidence_validity,valid,teacher_mean,120,0.2802608820468655,0.8008120160136363,0.7621260511237904,0.9768684585112618,-0.05467267137952895,0.022043037762706188,0.0010885037260319852,0.020535878757431132,0.6666666666666666,0.9375660359235425,0.8601788537676364,COMPLETE
representative_train,design_weighted,evidence_validity,valid,teacher_median,120,0.2802608820468655,0.8008120160136363,0.7621260511237904,0.9768684585112618,-0.05467267137952895,0.022043037762706188,0.0010885037260319852,0.020535878757431132,0.6666666666666666,0.9375660359235425,0.8601788537676364,COMPLETE
representative_train,design_weighted,evidence_validity,invalid_rejected,human_1,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,human_2,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,human_3,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,rounded_human,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,qwen,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,deepseek,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,teacher_mean,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,teacher_median,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,explicit_substring,human_1,108,0.49469057462281174,0.43068500011789457,0.5785980965801302,0.9290426209545914,-0.25070863880661526,0.07095737904540865,0.0,0.006044090778789732,0.8,0.6682332207372595,0.5951662995864848,COMPLETE
representative_train,design_weighted,evidence_mode,explicit_substring,human_2,108,0.4497849537170665,0.4848388236950977,0.6047135026961579,0.9474011149743953,-0.15219069920509104,0.052598885025604745,0.0,0.013312541661054297,1.0,0.5727713320605081,0.6628934691393739,COMPLETE
representative_train,design_weighted,evidence_mode,explicit_substring,human_3,108,0.4334784901910575,0.483105428227249,0.6264751898707946,0.9435000860974564,-0.06401530906519873,0.0564999139025436,0.0,0.013312541661054297,1.0,0.5727713320605081,0.7548160050333526,COMPLETE
representative_train,design_weighted,evidence_mode,explicit_substring,rounded_human,108,0.43262911041345037,0.5125364083873816,0.6111713053213161,0.9596533504245419,-0.13667934198847134,0.04034664957545813,0.0,0.00941151278411544,1.0,0.6682332207372595,0.7016656238916053,COMPLETE
representative_train,design_weighted,evidence_mode,explicit_substring,qwen,108,0.27718101632496583,0.7505925341461179,0.7405506191369235,0.9857221306974191,-0.0892349562580516,0.014277869302580999,0.00379914277523926,0.009701629141497347,0.4,0.7136143339697459,0.9261162397648091,COMPLETE
