view,weighting,subgroup_type,subgroup_value,source,rows,mae,qwk,exact,within_one,signed_bias,severe_error,low_to_high,high_to_low,label1_recall,label2_recall,label5_recall,status
representative_train,design_weighted,evidence_validity,valid,human_1,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,valid,human_2,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,valid,human_3,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,valid,rounded_human,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,valid,qwen,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,valid,deepseek,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,valid,teacher_mean,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,valid,teacher_median,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,human_1,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,human_2,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,human_3,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,rounded_human,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,qwen,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,deepseek,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,teacher_mean,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_validity,invalid_rejected,teacher_median,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,explicit_substring,human_1,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,explicit_substring,human_2,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,explicit_substring,human_3,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,explicit_substring,rounded_human,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,explicit_substring,qwen,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,explicit_substring,deepseek,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,explicit_substring,teacher_mean,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,explicit_substring,teacher_median,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,missing_content,human_1,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,missing_content,human_2,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,missing_content,human_3,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,missing_content,rounded_human,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,missing_content,qwen,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,missing_content,deepseek,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,missing_content,teacher_mean,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,evidence_mode,missing_content,teacher_median,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,sufficient,human_1,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,sufficient,human_2,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,sufficient,human_3,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,sufficient,rounded_human,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,sufficient,qwen,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,sufficient,deepseek,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,sufficient,teacher_mean,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,sufficient,teacher_median,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,insufficient_or_unclear,human_1,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,insufficient_or_unclear,human_2,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,insufficient_or_unclear,human_3,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,insufficient_or_unclear,rounded_human,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,insufficient_or_unclear,qwen,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,insufficient_or_unclear,deepseek,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,insufficient_or_unclear,teacher_mean,0,,,,,,,,,,,,NOT_AVAILABLE
representative_train,design_weighted,student_input_sufficiency,insufficient_or_unclear,teacher_median,0,,,,,,,,,,,,NOT_AVAILABLE
