sample_id,review_set,action
02890e57b4a5f86c993ca6597fa655df630aa99b,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
0324a98cd6c00ebf2855741ebecf0ef4df31541f,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
01ffcbf103c1dce7417ed4518a50fc19a77d1ee9,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
12fdae1104918f9500de221ae3261d5371995582,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
10d037cf1804c2a586e837504c80263df2030380,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
00cc2234e9bc1e2ee6ccbfcbedb59354ed0d0403,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
20d6655b82d1a89059e6985cf6608a1044b9222b,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
079d3cbeeacbfeccd949183b375b3198418e4959,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
2675a883ab4340dc6002f5f547bef8717c83e070,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
00f03652813873e800443b4e84091ed05063eb49,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
127ac6d8a189355aa2451eaddcd32e8d32cee0c1,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
164ea71a6c52d2a4da56285bbb99e75cd64b02e6,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
0362a81a2b2675a908b5f959600c1d353d74b7ba,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
0204872bcf4cd4b4d4937c12c2cd77f0171376ab,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
2c1a160c4cba4ce1c123abf34e1297c3cc7402a0,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
03a0da37856d7f5174ddbd5db28290e222c32335,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
24b68778c68222dd38199329a102b2c36aaca014,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
03755d25914c85c6eaabd46795cf656ef79566af,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
0ddca08b25c0f75ee1c69c82da9bed7a4a35f0e3,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
04e5e4712250364e0d1d3a8444bc9f7c1d8425b8,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
008fe1285cf79ff68dd5a1b0910318393ff2ee46,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
0fb5d1f2993ec7e5eeb9711205c1dd42c95bdead,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
1542a126573fe9fb529144e2c05d95d0df8d99e5,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
1306af08bd266c0cc70dcc32663b886f43ad6d58,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
082a84f5a6012e52963340540eb9f4018a31455f,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
10d73af366579e009fb338b976fd99cc33376736,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
1eba1e0eb435a2a09e72e4250a1ffc7fe5401873,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
048058816bba705040007e7b0c822282f1c5defa,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
0186f94dd94ddf1f64c0d75f1f3bedff409073e4,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
0d0381648fe4a4fe0190a9078762a6c964c16c3f,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
0747575357db0dee2bc1b170eca12dbb572f2be3,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
07e24d6cf40cb5e9cf150836a9bfca040a99ca9f,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
2c6508ccfea0433dbd440f372f5f6a907b47f2c4,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
115d7f35f4db5cc48ce4059bff821c2324bf0b10,external_high_control_qkey_lockbox,teacher_coverage_missing_do_not_infer
