seed,outer_fold,total_rows,unique_question_keys,representative_rows,risk_enriched_rows,representative_severe_positive,representative_severe_negative,constraints_pass
42,0,37,16,24,13,6,18,True
42,1,36,17,24,12,5,19,True
42,2,36,18,24,12,5,19,True
42,3,36,18,25,11,6,19,True
42,4,35,15,23,12,5,18,True
43,0,36,16,24,12,5,19,True
43,1,36,17,24,12,6,18,True
43,2,37,18,25,12,6,19,True
43,3,36,17,23,13,5,18,True
43,4,35,16,24,11,5,19,True
44,0,36,17,24,12,6,18,True
44,1,36,17,24,12,6,18,True
44,2,36,18,24,12,6,18,True
44,3,36,17,23,13,4,19,True
44,4,36,15,25,11,5,20,True
