scope,model,prediction_type,n,weighted_MAE,half_up_rounded_MAE,weighted_QWK,weighted_exact_accuracy,weighted_severe_error_rate,weighted_low_to_high,weighted_high_to_low,weighted_signed_bias
representative,original_human,ordinal,120,0.7381739827620766,0.7381739827620766,0.3787353310418936,0.4518841451192624,0.1800461014231309,0.629204761083319,0.011553473848555816,0.30225496091401083
representative,qwen,ordinal,120,0.5356885147324113,0.5356885147324113,0.5928642464160633,0.595780717578673,0.08128883543796352,0.1514576505088839,0.04085349986989331,0.04500901984365604
representative,deepseek,ordinal,120,0.6172379234315494,0.6172379234315494,0.5798199994000455,0.5629384646221688,0.1164862697935458,0.1258409522166638,0.09041113713244861,-0.04622168771296854
representative,continuous_dual_teacher_mean,continuous,120,0.57014932852275,0.5551513329324514,0.6252959246919005,0.5535177390258569,0.07831228703146922,0.025616698292220116,0.039409315638823834,-0.0006063339346562466
representative,half_up_dual_teacher_mean,ordinal,120,0.5551513329324514,0.5551513329324514,0.6252959246919005,0.5535177390258569,0.07831228703146922,0.025616698292220116,0.039409315638823834,0.17994588093806374
representative,human_qwen_deepseek_median,ordinal,120,0.5397775105231509,0.5397775105231509,0.5758093885848574,0.6025856885147324,0.10866907195830829,0.2516819044333276,0.04229768410096279,0.10039085989176187
representative,exp27i_v1,ordinal,120,0.5397775105231509,0.5397775105231509,0.5758093885848574,0.6025856885147324,0.10866907195830829,0.2516819044333276,0.04229768410096279,0.10039085989176187
representative,global_ordinal_soft_fusion_nll,continuous,120,0.6338252979870773,0.5175987171777912,0.637338354747834,0.5629384646221688,0.05018039687312087,0.0,0.04085349986989331,-0.14709858231314862
representative,global_ordinal_soft_fusion_rps,continuous,120,0.6353602544083468,0.5175987171777912,0.637338354747834,0.5629384646221688,0.05018039687312087,0.0,0.04085349986989331,-0.13764252442829594
risk_enriched,original_human,ordinal,60,1.4166666666666667,1.4166666666666667,0.06030150753768848,0.23333333333333334,0.4666666666666667,0.4,0.3448275862068966,-0.2833333333333333
risk_enriched,qwen,ordinal,60,0.8,0.8,0.5421863536316948,0.5,0.16666666666666666,0.1,0.20689655172413793,-0.2
risk_enriched,deepseek,ordinal,60,0.9666666666666667,0.9666666666666667,0.5455100794135614,0.4166666666666667,0.23333333333333334,0.1,0.27586206896551724,-0.36666666666666664
risk_enriched,continuous_dual_teacher_mean,continuous,60,0.8166666666666667,0.75,0.6622264509990485,0.4166666666666667,0.13333333333333333,0.1,0.10344827586206896,-0.2833333333333333
risk_enriched,half_up_dual_teacher_mean,ordinal,60,0.75,0.75,0.6622264509990485,0.4166666666666667,0.13333333333333333,0.1,0.10344827586206896,-0.08333333333333333
risk_enriched,human_qwen_deepseek_median,ordinal,60,0.75,0.75,0.590080971659919,0.4666666666666667,0.15,0.15,0.13793103448275862,-0.18333333333333332
risk_enriched,exp27i_v1,ordinal,60,0.75,0.75,0.590080971659919,0.4666666666666667,0.15,0.15,0.13793103448275862,-0.18333333333333332
risk_enriched,global_ordinal_soft_fusion_nll,continuous,60,0.7792596299018001,0.6833333333333333,0.6327683615819208,0.4666666666666667,0.11666666666666667,0.05,0.10344827586206896,-0.28428452050598846
risk_enriched,global_ordinal_soft_fusion_rps,continuous,60,0.7840024605249039,0.6833333333333333,0.6145251396648045,0.48333333333333334,0.11666666666666667,0.05,0.13793103448275862,-0.2724114265912995
