synthetic_id,synthetic_plan_id,passed_filter,filter_reasons,filter_stage,filter_status,failure_reasons,notes
syn_efc745746cf78916,mb001,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_08e8dbfaf612af45,mb002,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_0aabe3cfa1833c65,mb003,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_860112421d7312fa,mb004,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_b5f4f1670656b107,mb005,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_6055feaa76269f32,mb006,False,missing_metric_or_rubric,required_generated_row_filters,fail,missing_metric_or_rubric,required Exp6-3 generated-row filter
syn_f475e89131fb4b08,mb007,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_f61d1078be26ab49,mb008,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_cc88fa95b3de4684,mb009,False,missing_metric_or_rubric,required_generated_row_filters,fail,missing_metric_or_rubric,required Exp6-3 generated-row filter
syn_50ab63444c300c75,mb010,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_3775aca1f7d9a547,mb011,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_00afdb3eac2efabb,mb012,False,missing_metric_or_rubric,required_generated_row_filters,fail,missing_metric_or_rubric,required Exp6-3 generated-row filter
syn_962aca81f23dbb16,mb013,False,missing_metric_or_rubric,required_generated_row_filters,fail,missing_metric_or_rubric,required Exp6-3 generated-row filter
syn_6e0f35e21908633b,mb014,False,missing_metric_or_rubric,required_generated_row_filters,fail,missing_metric_or_rubric,required Exp6-3 generated-row filter
syn_4512eb3a8d83bf33,mb015,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_398ac44b1a669df8,mb016,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_cc924a44a68361e4,mb017,False,missing_metric_or_rubric,required_generated_row_filters,fail,missing_metric_or_rubric,required Exp6-3 generated-row filter
syn_024a23f65469eddf,mb018,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_0570b9a1c2d46e8d,mb019,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_f2c22790469048e2,mb020,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_e06340971827f3e1,mb021,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_5413ffc81c2585af,mb022,False,missing_metric_or_rubric,required_generated_row_filters,fail,missing_metric_or_rubric,required Exp6-3 generated-row filter
syn_6741b3c2be49c4e0,mb023,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
syn_d5fd77dec8eb795e,mb024,True,,required_generated_row_filters,pass,,required Exp6-3 generated-row filter
