comparison,metric,baseline_value,qds3_value,delta,direction
QD-S3_minus_QD-B0,MAE_label,0.4019341190692051,0.45693563009972804,0.05500151103052292,lower_better
QD-S3_minus_QD-B0,Accuracy,0.6935630099728014,0.6246600181323663,-0.06890299184043513,higher_better
QD-S3_minus_QD-B0,Quadratic Weighted Kappa,0.5976217823018422,0.5315848261086693,-0.06603695619317285,higher_better
QD-S3_minus_QD-B0,low_to_high_rate,0.5161290322580645,0.6129032258064516,0.09677419354838712,lower_better
QD-S3_minus_QD-B0,Acc@5,0.7873376623376623,0.6607142857142857,-0.12662337662337664,higher_better
QD-S3_minus_QD-B0,high_to_mid_or_low_rate,0.003246753246753247,0.012987012987012988,0.00974025974025974,lower_better
QD-S3_minus_QD-B1,MAE_label,0.42792384406165007,0.45693563009972804,0.02901178603807797,lower_better
QD-S3_minus_QD-B1,Accuracy,0.670897552130553,0.6246600181323663,-0.04623753399818675,higher_better
QD-S3_minus_QD-B1,Quadratic Weighted Kappa,0.6012356007375432,0.5315848261086693,-0.06965077462887392,higher_better
QD-S3_minus_QD-B1,low_to_high_rate,0.45161290322580644,0.6129032258064516,0.16129032258064518,lower_better
QD-S3_minus_QD-B1,Acc@5,0.7418831168831169,0.6607142857142857,-0.08116883116883122,higher_better
QD-S3_minus_QD-B1,high_to_mid_or_low_rate,0.01461038961038961,0.012987012987012988,-0.0016233766233766222,lower_better
QD-S3_minus_QD-S1,MAE_label,0.44182532487156234,0.45693563009972804,0.015110305228165699,lower_better
QD-S3_minus_QD-S1,Accuracy,0.6654578422484134,0.6246600181323663,-0.040797824116047154,higher_better
QD-S3_minus_QD-S1,Quadratic Weighted Kappa,0.5544041934106622,0.5315848261086693,-0.022819367301992854,higher_better
QD-S3_minus_QD-S1,low_to_high_rate,0.5483870967741935,0.6129032258064516,0.06451612903225812,lower_better
QD-S3_minus_QD-S1,Acc@5,0.7012987012987013,0.6607142857142857,-0.04058441558441561,higher_better
QD-S3_minus_QD-S1,high_to_mid_or_low_rate,0.01948051948051948,0.012987012987012988,-0.006493506493506492,lower_better
QD-S3_minus_QD-S2,MAE_label,0.4566334239951646,0.45693563009972804,0.00030220610456344055,lower_better
QD-S3_minus_QD-S2,Accuracy,0.6554850407978241,0.6246600181323663,-0.030825022665457835,higher_better
QD-S3_minus_QD-S2,Quadratic Weighted Kappa,0.5466132115577904,0.5315848261086693,-0.015028385449121107,higher_better
QD-S3_minus_QD-S2,low_to_high_rate,0.4838709677419355,0.6129032258064516,0.12903225806451613,lower_better
QD-S3_minus_QD-S2,Acc@5,0.702922077922078,0.6607142857142857,-0.04220779220779225,higher_better
QD-S3_minus_QD-S2,high_to_mid_or_low_rate,0.030844155844155844,0.012987012987012988,-0.017857142857142856,lower_better
