synthetic_id,synthetic_plan_id,source_record_id,source_question_key_in_dev,source_question_key_in_test,source_triple_key_in_dev,source_triple_key_in_test,synthetic_question_key_in_dev,synthetic_question_key_in_test,synthetic_qa_key_in_dev,synthetic_qa_key_in_test,duplicate_synthetic_answer,duplicate_with_human_test_answer,source_split_not_train,leakage_status,notes
syn_482d263f0184a548,topup1_001,5572a79822dc1f11167f3d9b6dc19fb1eac3be4a,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-9 topup1 leakage and dedup check
syn_0c2734d057684a54,topup1_002,302305f5444e1ac0dc68d37d52566734942ef44b,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-9 topup1 leakage and dedup check
syn_ad3af640f4fef515,topup1_003,34ae1095cbe70ede9cdefcccbf7c5f3eb8d2bfd5,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-9 topup1 leakage and dedup check
syn_c3f2ec628ebb1cdc,topup1_004,3d2083c6a186c89781966b80499d6d527830bfc7,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-9 topup1 leakage and dedup check
syn_fe2cd35d32432697,topup1_005,000b1f47c21ee93516a424f0cba80a7188cf3e6f,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-9 topup1 leakage and dedup check
syn_31cb288b52fe2ab9,topup1_006,017b36d1dcb5ac4eb79d1b467f6bf1403d6b7fef,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-9 topup1 leakage and dedup check
syn_ddd1f1db87125251,topup1_007,0324a98cd6c00ebf2855741ebecf0ef4df31541f,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-9 topup1 leakage and dedup check
syn_1e9e21c275479f5e,topup1_008,437db53a30a26792bb14154993b13937737325e5,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-9 topup1 leakage and dedup check
syn_22079d437c51e6f8,topup1_009,0362a81a2b2675a908b5f959600c1d353d74b7ba,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-9 topup1 leakage and dedup check
syn_dc335a11f706f79d,topup1_010,32755a88f95099cbe22dbb740f36df80db79d035,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-9 topup1 leakage and dedup check
syn_ee4f2fcaedc8d9b5,topup1_011,be5c761a83d8b78bed82641067f5c9456c069602,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-9 topup1 leakage and dedup check
syn_08bd1b326a3d000f,topup1_012,0347526cae737a75caf2cfaa5723714c406643db,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-9 topup1 leakage and dedup check
syn_c6d487777bf263fc,topup1_013,602ea8d46e1e4f17289f336d602ae07c5c72b34c,False,False,False,False,False,False,False,False,False,False,False,PASS,Exp6-9 topup1 leakage and dedup check
