template_name,ablation_id,status,split,scenario_canonical,n,Accuracy,Exact Match,MAE_label,MAE_expected,RMSE_label,Signed Bias label,Signed Bias expected,Macro-F1,Weighted-F1,Quadratic Weighted Kappa,Kendall tau,Spearman rho,Within-1 Accuracy,Acc@1,Acc@2,Acc@5,low_n,low_exact_match,low_MAE,low_signed_bias,low_to_high_rate,low_severe_overestimation_rate,mean_pred_low,high_n,high_to_mid_or_low_rate,high_signed_bias
A2_question_answer_metric,A2,reused_exp02,dev,Automatic Grading,125,0.648,0.648,0.49066666666666664,0.4772205458071766,0.7554248252914825,0.16533333333333333,-0.007967860336359682,0.39442577030812326,0.6243182072829131,0.5557846707322424,0.6148685071788328,0.709127641069756,0.928,0.25,0.0,0.7843137254901961,10,0.1,1.8,1.8,0.7,0.8,3.5,51,0.0,-0.09150326797385631
A2_question_answer_metric,A2,reused_exp02,dev,Emotional Support,80,0.825,0.825,0.3333333333333332,0.2637698115033837,0.4533823502911814,0.14999999999999997,0.08196036626785597,0.44287081339712914,0.8111323763955343,0.758694109297374,0.6877059147663356,0.7591478411197635,0.9875,nan,nan,0.9523809523809523,0,nan,nan,nan,nan,nan,nan,42,0.0,0.15079365079365062
A2_question_answer_metric,A2,reused_exp02,dev,Error Correction,75,0.76,0.76,0.3111111111111111,0.3200360546174852,0.565685424949238,0.10666666666666663,-0.06626491236145136,0.3658683926645092,0.7478576051779935,0.533161622665808,0.5993284005703727,0.6613726155265837,0.9733333333333334,nan,0.0,0.9,1,0.0,3.0,3.0,1.0,1.0,5.0,50,0.0,0.006666666666666572
A2_question_answer_metric,A2,reused_exp02,dev,Idea Provision,89,0.6629213483146067,0.6629213483146067,0.41947565543071164,0.41087337757853537,0.6778094996772207,0.11235955056179775,0.03932634684448264,0.43853418593212,0.6584385725418239,0.4716432992295061,0.46504480815590654,0.5123965698568197,0.9550561797752809,nan,0.3333333333333333,0.7735849056603774,3,0.3333333333333333,1.777777777777778,1.5555555555555554,0.6666666666666666,0.6666666666666666,3.6666666666666665,53,0.0,-0.11320754716981142
A2_question_answer_metric,A2,reused_exp02,dev,Personalized Content Creation,45,0.7555555555555555,0.7555555555555555,0.33333333333333326,0.29660789188599124,0.4527010841658525,-0.06666666666666661,-0.09579902867003,0.30556900726392255,0.7240247511433953,0.5429362880886426,0.5485883615211196,0.6127633533453719,1.0,nan,nan,0.625,0,nan,nan,nan,nan,nan,nan,16,0.0,-0.2291666666666668
A2_question_answer_metric,A2,reused_exp02,dev,Personalized Learning Support,55,0.7636363636363637,0.7636363636363637,0.303030303030303,0.2588173101318578,0.43577401241812236,0.14545454545454548,0.0716460562051163,0.366903073286052,0.7348377390930584,0.7131969514640994,0.7001479717116941,0.788577367862848,1.0,nan,nan,0.96,0,nan,nan,nan,nan,nan,nan,25,0.0,0.053333333333333253
A2_question_answer_metric,A2,reused_exp02,dev,Question Answering,38,0.6578947368421053,0.6578947368421053,0.5526315789473685,0.5651362552253296,0.9318911162960933,0.34210526315789463,0.09146211281902068,0.35593220338983056,0.6271186440677967,0.5830721003134796,0.12002987909155023,0.13865134999622544,0.8947368421052632,1.0,0.0,0.8214285714285714,4,0.5,1.5,1.5,0.5,0.5,3.0,28,0.0,-1.5860328923216522e-16
A2_question_answer_metric,A2,reused_exp02,dev,Question Generation,74,0.7837837837837838,0.7837837837837838,0.3378378378378377,0.30897004023061697,0.5601908726620005,0.15765765765765766,0.04996480777460033,0.398939393939394,0.7652334152334153,0.5981380915438325,0.6445831931163664,0.7334977771791052,0.9459459459459459,nan,0.0,0.9285714285714286,2,0.0,1.8333333333333333,1.8333333333333333,1.0,1.0,4.0,42,0.023809523809523808,0.04761904761904749
A2_question_answer_metric,A2,reused_exp02,dev,Teaching Material Generation,83,0.6024096385542169,0.6024096385542169,0.4538152610441767,0.3767309908758309,0.572694142619452,-0.04417670682730925,-0.0617632700366184,0.2458333333333333,0.5707831325301205,0.2793053545586107,0.2910426455661444,0.32453118147166565,0.9879518072289156,nan,nan,0.47368421052631576,0,nan,nan,nan,nan,nan,nan,38,0.0,-0.2894736842105266
A2_question_answer_metric,A2,reused_exp02,test,Emotional Support,174,0.8505747126436781,0.8505747126436781,0.2988505747126436,0.2863686990205113,0.4506274892853484,0.05747126436781605,0.03096545906075707,0.41351432806627997,0.8456747220394095,0.7099236641221374,0.6917340633134241,0.7694208225225226,0.9770114942528736,nan,0.0,0.875,1,0.0,1.0,1.0,0.0,0.0,3.0,104,0.019230769230769232,0.044871794871794705
A2_question_answer_metric,A2,reused_exp02,test,Error Correction,341,0.7038123167155426,0.7038123167155426,0.35777126099706746,0.3216490965588958,0.5348707069782821,0.06060606060606059,-0.05547326028050021,0.6377298225124312,0.7051603142065974,0.7586050829755135,0.6421888202752406,0.7110052052827905,0.9794721407624634,0.5,0.5555555555555556,0.8054054054054054,20,0.55,0.4666666666666666,0.3999999999999999,0.05,0.05,2.4,185,0.0,-0.06306306306306318
A2_question_answer_metric,A2,reused_exp02,test,Idea Provision,420,0.7142857142857143,0.7142857142857143,0.419047619047619,0.37447781965473237,0.6690433824641326,0.11587301587301585,0.01875628687805961,0.392649660829495,0.7011665186261433,0.5049261083743842,0.49990810582225953,0.5597720126892062,0.9476190476190476,nan,0.1111111111111111,0.8083333333333333,9,0.1111111111111111,1.8148148148148147,1.8148148148148147,0.6666666666666666,0.6666666666666666,3.888888888888889,240,0.016666666666666666,-0.07777777777777789
