check,status,observed,expected,notes
rubric mode,PASS,proposed,raw/corrected/proposed,
Exp0.1 sanity exists,PASS,"[""thesis_exp/outputs/exp00_data/tables/sanity_check_results.csv"", ""thesis_exp/outputs/exp00_data/sanity_check_exp00_reference.md""]",Exp0 sanity artifact present,
Exp2 reuse outputs exist,PASS,[],all required Exp2 files,
train source row count,PASS,2654,2654,
train source label range,PASS,"[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",
dev source row count,PASS,664,664,
dev source label range,PASS,"[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",
test source row count,PASS,2218,2218,
test source label range,PASS,"[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",
A0_answer_only/train row count,PASS,2654,2654,
A0_answer_only/train label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A0_answer_only/train required sections,PASS,0,0,
A0_answer_only/train forbidden sections,PASS,0,0,
A0_answer_only/train rubric_text for A3/A4,PASS,0,0,
A0_answer_only/train no human/test leakage fields,PASS,0,0,
A0_answer_only/dev row count,PASS,664,664,
A0_answer_only/dev label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A0_answer_only/dev required sections,PASS,0,0,
A0_answer_only/dev forbidden sections,PASS,0,0,
A0_answer_only/dev rubric_text for A3/A4,PASS,0,0,
A0_answer_only/dev no human/test leakage fields,PASS,0,0,
A0_answer_only/test row count,PASS,2218,2218,
A0_answer_only/test label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A0_answer_only/test required sections,PASS,0,0,
A0_answer_only/test forbidden sections,PASS,0,0,
A0_answer_only/test rubric_text for A3/A4,PASS,0,0,
A0_answer_only/test no human/test leakage fields,PASS,0,0,
A1_question_answer/train row count,PASS,2654,2654,
A1_question_answer/train label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A1_question_answer/train required sections,PASS,0,0,
A1_question_answer/train forbidden sections,PASS,0,0,
A1_question_answer/train rubric_text for A3/A4,PASS,0,0,
A1_question_answer/train no human/test leakage fields,PASS,0,0,
A1_question_answer/dev row count,PASS,664,664,
A1_question_answer/dev label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A1_question_answer/dev required sections,PASS,0,0,
A1_question_answer/dev forbidden sections,PASS,0,0,
A1_question_answer/dev rubric_text for A3/A4,PASS,0,0,
A1_question_answer/dev no human/test leakage fields,PASS,0,0,
A1_question_answer/test row count,PASS,2218,2218,
A1_question_answer/test label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A1_question_answer/test required sections,PASS,0,0,
A1_question_answer/test forbidden sections,PASS,0,0,
A1_question_answer/test rubric_text for A3/A4,PASS,0,0,
A1_question_answer/test no human/test leakage fields,PASS,0,0,
A2_question_answer_metric/train row count,PASS,2654,2654,
A2_question_answer_metric/train label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A2_question_answer_metric/train required sections,PASS,0,0,
A2_question_answer_metric/train forbidden sections,PASS,0,0,
A2_question_answer_metric/train rubric_text for A3/A4,PASS,0,0,
A2_question_answer_metric/train no human/test leakage fields,PASS,0,0,
A2_question_answer_metric/dev row count,PASS,664,664,
A2_question_answer_metric/dev label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A2_question_answer_metric/dev required sections,PASS,0,0,
A2_question_answer_metric/dev forbidden sections,PASS,0,0,
A2_question_answer_metric/dev rubric_text for A3/A4,PASS,0,0,
A2_question_answer_metric/dev no human/test leakage fields,PASS,0,0,
A2_question_answer_metric/test row count,PASS,2218,2218,
A2_question_answer_metric/test label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A2_question_answer_metric/test required sections,PASS,0,0,
A2_question_answer_metric/test forbidden sections,PASS,0,0,
A2_question_answer_metric/test rubric_text for A3/A4,PASS,0,0,
A2_question_answer_metric/test no human/test leakage fields,PASS,0,0,
A3_question_answer_metric_rubric/train row count,PASS,2654,2654,
A3_question_answer_metric_rubric/train label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A3_question_answer_metric_rubric/train required sections,PASS,0,0,
A3_question_answer_metric_rubric/train forbidden sections,PASS,0,0,
A3_question_answer_metric_rubric/train rubric_text for A3/A4,PASS,0,0,
A3_question_answer_metric_rubric/train no human/test leakage fields,PASS,0,0,
A3_question_answer_metric_rubric/dev row count,PASS,664,664,
A3_question_answer_metric_rubric/dev label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A3_question_answer_metric_rubric/dev required sections,PASS,0,0,
A3_question_answer_metric_rubric/dev forbidden sections,PASS,0,0,
A3_question_answer_metric_rubric/dev rubric_text for A3/A4,PASS,0,0,
A3_question_answer_metric_rubric/dev no human/test leakage fields,PASS,0,0,
A3_question_answer_metric_rubric/test row count,PASS,2218,2218,
A3_question_answer_metric_rubric/test label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A3_question_answer_metric_rubric/test required sections,PASS,0,0,
A3_question_answer_metric_rubric/test forbidden sections,PASS,0,0,
A3_question_answer_metric_rubric/test rubric_text for A3/A4,PASS,0,0,
A3_question_answer_metric_rubric/test no human/test leakage fields,PASS,0,0,
A4_question_answer_metric_rubric_metadata/train row count,PASS,2654,2654,
A4_question_answer_metric_rubric_metadata/train label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A4_question_answer_metric_rubric_metadata/train required sections,PASS,0,0,
A4_question_answer_metric_rubric_metadata/train forbidden sections,PASS,0,0,
A4_question_answer_metric_rubric_metadata/train rubric_text for A3/A4,PASS,0,0,
A4_question_answer_metric_rubric_metadata/train no human/test leakage fields,PASS,0,0,
A4_question_answer_metric_rubric_metadata/train no generator_model field value,PASS,0,0,
A4_question_answer_metric_rubric_metadata/dev row count,PASS,664,664,
A4_question_answer_metric_rubric_metadata/dev label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A4_question_answer_metric_rubric_metadata/dev required sections,PASS,0,0,
A4_question_answer_metric_rubric_metadata/dev forbidden sections,PASS,0,0,
A4_question_answer_metric_rubric_metadata/dev rubric_text for A3/A4,PASS,0,0,
A4_question_answer_metric_rubric_metadata/dev no human/test leakage fields,PASS,0,0,
A4_question_answer_metric_rubric_metadata/dev no generator_model field value,PASS,0,0,
A4_question_answer_metric_rubric_metadata/test row count,PASS,2218,2218,
A4_question_answer_metric_rubric_metadata/test label range 0..4,PASS,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",
A4_question_answer_metric_rubric_metadata/test required sections,PASS,0,0,
A4_question_answer_metric_rubric_metadata/test forbidden sections,PASS,0,0,
A4_question_answer_metric_rubric_metadata/test rubric_text for A3/A4,PASS,0,0,
A4_question_answer_metric_rubric_metadata/test no human/test leakage fields,PASS,0,0,
A4_question_answer_metric_rubric_metadata/test no generator_model field value,PASS,0,0,
A3_question_answer_metric_rubric zh SEI rubric differs from zh IFTC,PASS,sei_unique=1 iftc_unique=1 identical=False,nonempty and not identical,
A4_question_answer_metric_rubric_metadata zh SEI rubric differs from zh IFTC,PASS,sei_unique=1 iftc_unique=1 identical=False,nonempty and not identical,
A2 text equals Exp2 template,PASS,0,0,
rubric source coverage,PASS,0,0,
A3_question_answer_metric_rubric token length stats,PASS,3,>0,
A3_question_answer_metric_rubric truncation rate <=5%,PASS,[],no split > 0.05,
A4_question_answer_metric_rubric_metadata token length stats,PASS,3,>0,
A4_question_answer_metric_rubric_metadata truncation rate <=5%,PASS,[],no split > 0.05,
no synthetic/sample source data,PASS,fixed paper_like_triple_seed42 split,no sampled/synthetic paths,
.gitignore model artifact coverage,PASS,[],all required patterns present,
bash -n thesis_exp/scripts/run_exp03_train_a3_a4.sh,PASS,ok,ok,
bash -n thesis_exp/scripts/run_exp03_smoke.sh,PASS,ok,ok,
py_compile exp03 modules,PASS,ok,ok,
