template_name,split,n,mean_chars,p50_chars,p95_chars,max_chars,mean_token_length,p50_token_length,p95_token_length,max_token_length,truncation_rate,token_count_method
A0_answer_only,train,2654,1103.0636774679729,833.0,3055.0,4730,276.1499623210249,209.0,764.0,1183,0.0,approx_char_div4
A0_answer_only,dev,664,1128.44578313253,865.5,3225.6000000000004,4666,282.51807228915663,216.5,806.4000000000001,1167,0.0,approx_char_div4
A0_answer_only,test,2218,1143.1695220919748,837.0,3308.0,4782,286.17628494138864,210.0,827.0,1196,0.0,approx_char_div4
A1_question_answer,train,2654,1418.9084400904296,1080.0,3449.0,4983,355.09155990957044,270.0,863.0,1246,0.0,approx_char_div4
A1_question_answer,dev,664,1441.8343373493976,1146.0,3508.55,4867,360.82680722891564,287.0,877.85,1217,0.0,approx_char_div4
A1_question_answer,test,2218,1419.6510369702435,1062.0,3685.0,5343,355.2808836789901,266.0,922.0,1336,0.0,approx_char_div4
A2_question_answer_metric,train,2654,1476.0184626978146,1138.0,3510.0499999999997,5046,369.3756593820648,285.0,878.0,1262,0.0,approx_char_div4
A2_question_answer_metric,dev,664,1498.914156626506,1194.0,3573.55,4937,375.10843373493975,298.5,893.85,1235,0.0,approx_char_div4
A2_question_answer_metric,test,2218,1475.9972948602344,1116.0,3743.2000000000007,5413,369.37060414788095,279.0,936.3000000000002,1354,0.0,approx_char_div4
A3_question_answer_metric_rubric,train,2654,1907.2200452147702,1587.0,4169.0,5780,477.1846269781462,397.0,1043.0,1445,0.0,approx_char_div4
A3_question_answer_metric_rubric,dev,664,1927.4638554216867,1579.0,4204.900000000001,5555,482.2259036144578,395.0,1051.5500000000002,1389,0.0,approx_char_div4
A3_question_answer_metric_rubric,test,2218,1906.8313796212803,1543.0,4406.15,6140,477.08476104598736,386.0,1102.0,1535,0.0,approx_char_div4
A4_question_answer_metric_rubric_metadata,train,2654,2004.8775433308215,1685.5,4274.35,5893,501.5934438583271,422.0,1069.0,1474,0.0,approx_char_div4
A4_question_answer_metric_rubric_metadata,dev,664,2024.8915662650602,1680.0,4305.05,5664,506.5843373493976,420.5,1076.5500000000002,1416,0.0,approx_char_div4
A4_question_answer_metric_rubric_metadata,test,2218,2004.8787195671775,1646.0,4507.900000000001,6238,501.5906221821461,412.0,1127.3000000000002,1560,0.0,approx_char_div4
