split,label_5,n,accuracy,MAE,signed_bias,mean_pred_label,mean_pred_expected,overestimation_rate,underestimation_rate
dev,1,6,0.0,3.277777777777778,3.277777777777778,4.333333333333333,4.224778080979983,1.0,0.0
dev,2,14,0.0,2.0476190476190474,2.0476190476190474,4.142857142857143,4.17153628383364,1.0,0.0
dev,3,62,0.0,0.9408602150537632,0.9408602150537632,4.112903225806452,4.1210404835160706,1.0,0.0
dev,4,237,0.9282700421940928,0.2770745428973275,-0.04922644163150474,4.071729957805907,4.146647583646111,0.07172995780590717,0.0
dev,5,345,0.39710144927536234,0.548792270531401,-0.45603864734299526,4.397101449275362,4.324740659845048,0.0,0.6028985507246377
test,1,56,0.0,3.9642857142857144,3.9642857142857144,4.964285714285714,4.522811841751848,1.0,0.0
test,2,47,0.0,2.120567375886525,2.120567375886525,4.23404255319149,4.2223663116072085,1.0,0.0
test,3,194,0.0,1.0137457044673537,1.0137457044673537,4.139175257731959,4.160161480730035,1.0,0.0
test,4,720,0.8972222222222223,0.2958333333333333,0.0004629629629631439,4.102777777777778,4.1556960737643145,0.10277777777777777,0.0
test,5,1201,0.43880099916736054,0.5215098529003609,-0.41049125728559543,4.438800999167361,4.3522349426477875,0.0,0.5611990008326395
