metric,b0_original,b2_selective,b4_random,b2_minus_b0,b2_minus_b4
MAE_label,0.39508032128514053,0.46452476572958495,0.4579986613119143,0.06944444444444442,0.006526104417670653
Signed Bias label,0.08383534136546184,0.17369477911646589,0.18825301204819278,0.08985943775100405,-0.014558232931726894
Exact Match,0.7243975903614458,0.6395582329317269,0.6541164658634538,-0.08483935742971893,-0.014558232931726978
Quadratic Weighted Kappa,0.6184781781940443,0.503612960576408,0.49147394827963237,-0.11486521761763624,0.012139012296775664
Kendall tau,0.5851822343295136,0.4655931324164516,0.46734233246987866,-0.11958910191306193,-0.0017492000534270469
Bin Agreement,0.8765060240963856,0.8734939759036144,0.8775100401606426,-0.003012048192771122,-0.004016064257028162
low_to_high_rate,0.5166666666666667,0.6166666666666667,0.6166666666666667,0.09999999999999998,0.0
high_to_mid_or_low_rate,0.012560386473429951,0.00966183574879227,0.005797101449275362,-0.002898550724637681,0.0038647342995169077
Acc@1,0.5555555555555556,0.4444444444444444,0.5,-0.11111111111111116,-0.05555555555555558
Acc@2,0.11904761904761904,0.14285714285714285,0.16666666666666666,0.023809523809523808,-0.023809523809523808
Acc@3,0.3010752688172043,0.1774193548387097,0.2043010752688172,-0.12365591397849462,-0.026881720430107503
Acc@4,0.7187060478199718,0.5288326300984529,0.5372714486638538,-0.1898734177215189,-0.008438818565400852
Acc@5,0.8318840579710145,0.8222222222222222,0.8376811594202899,-0.009661835748792313,-0.01545893719806768
