low_sample_id,high_sample_id,match_score,same_metric,same_language,same_subject,same_rubric_hash,same_boundary_key,same_question_group,low_candidate_type,low_failure_mode_auto,pair_weight,recommended_pair_use
7b2343c0fac6f79059007d116f746842fe6a6637,0786532c4978fd30afcfa51102d5f96fd2d16425,14.9560,1,1,1,1,0,0,weak_evidence_positive,insufficient_evidence,0.6356,evidence_pair
7b2343c0fac6f79059007d116f746842fe6a6637,19b2d7723c5818bc93c0cf146b09485d4943f72a,14.7993,1,1,1,1,0,0,weak_evidence_positive,insufficient_evidence,0.6290,evidence_pair
7b2343c0fac6f79059007d116f746842fe6a6637,41f3cae79f5df41d44971543e9bb4a9c8231a2cf,12.9965,1,1,0,1,0,0,weak_evidence_positive,insufficient_evidence,0.6498,evidence_pair
7b2343c0fac6f79059007d116f746842fe6a6637,bd3a9465eb5bc64d41fca6a99e39db5c4265b031,12.9461,1,1,0,1,0,0,weak_evidence_positive,insufficient_evidence,0.5502,evidence_pair
7b2343c0fac6f79059007d116f746842fe6a6637,d45f4efc1ebaf0a0edf8323eec607e0c3ff119a0,12.9267,1,1,0,1,0,0,weak_evidence_positive,insufficient_evidence,0.6463,evidence_pair
ba114a1a8452ac012af5a1940b242d85f38538d3,b98565af716b7812b910bc9f66f10ffbf09b5e41,12.9240,1,1,0,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.5493,evidence_pair
ba114a1a8452ac012af5a1940b242d85f38538d3,b98512826084e19226d9cd1e01fb27008fd3f85c,12.5914,1,1,0,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.5351,evidence_pair
ba114a1a8452ac012af5a1940b242d85f38538d3,072293e008cc3b28f56a7cfb51a7979ad942a832,12.5622,1,1,0,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.5339,evidence_pair
ba114a1a8452ac012af5a1940b242d85f38538d3,10bdcd9ee67d05159ca6f8da6c77a2f8ae0b9fd3,12.5450,1,1,0,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.5332,evidence_pair
ba114a1a8452ac012af5a1940b242d85f38538d3,f9a8f9c517bb56b72b3aff5719b59755c7e3ff7d,12.5144,1,1,0,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.5319,evidence_pair
bd384e01426757c4dd86e755a75d5ef86fe6e59f,0786532c4978fd30afcfa51102d5f96fd2d16425,14.9120,1,1,1,1,0,0,weak_evidence_positive,insufficient_evidence,0.6338,evidence_pair
bd384e01426757c4dd86e755a75d5ef86fe6e59f,19b2d7723c5818bc93c0cf146b09485d4943f72a,14.8407,1,1,1,1,0,0,weak_evidence_positive,insufficient_evidence,0.6307,evidence_pair
bd384e01426757c4dd86e755a75d5ef86fe6e59f,82370daba587e5ad81f78dee3e697034b8439866,12.9681,1,1,0,1,0,0,weak_evidence_positive,insufficient_evidence,0.6484,evidence_pair
bd384e01426757c4dd86e755a75d5ef86fe6e59f,41f3cae79f5df41d44971543e9bb4a9c8231a2cf,12.9516,1,1,0,1,0,0,weak_evidence_positive,insufficient_evidence,0.6476,evidence_pair
bd384e01426757c4dd86e755a75d5ef86fe6e59f,871a2a45ccb7f8a8b08e1e4fe1d49b563d8a9562,12.9363,1,1,0,1,0,0,weak_evidence_positive,insufficient_evidence,0.5498,evidence_pair
7dfd63e7375e5474e2df047ebe282cf4ba8661b8,0786532c4978fd30afcfa51102d5f96fd2d16425,14.3665,1,1,1,1,0,0,weak_evidence_positive,insufficient_evidence,0.6106,evidence_pair
7dfd63e7375e5474e2df047ebe282cf4ba8661b8,19b2d7723c5818bc93c0cf146b09485d4943f72a,14.2023,1,1,1,1,0,0,weak_evidence_positive,insufficient_evidence,0.6036,evidence_pair
7dfd63e7375e5474e2df047ebe282cf4ba8661b8,602ea8d46e1e4f17289f336d602ae07c5c72b34c,12.9885,1,1,0,1,0,0,weak_evidence_positive,insufficient_evidence,0.5520,evidence_pair
7dfd63e7375e5474e2df047ebe282cf4ba8661b8,53256a9d6a13a7f5e48ab903027d30ebe2ef2710,12.9630,1,1,0,1,0,0,weak_evidence_positive,insufficient_evidence,0.6482,evidence_pair
7dfd63e7375e5474e2df047ebe282cf4ba8661b8,20654d6ebf88bebae611707b25e3a0ae618afd7c,12.9491,1,1,0,1,0,0,weak_evidence_positive,insufficient_evidence,0.5503,evidence_pair
fa439d530a93932f4cf8a09f743d80c44e18e0b8,b4f8f9e40ee230936674da3b5bb0a9bb0c4a182f,13.3481,1,1,1,1,0,0,weak_evidence_positive,task_constraint_violation,0.5673,evidence_pair
fa439d530a93932f4cf8a09f743d80c44e18e0b8,2f63e42e78c24cbeb9f7ccaf5883dd389c88e30b,13.3072,1,1,1,1,0,0,weak_evidence_positive,task_constraint_violation,0.6654,evidence_pair
fa439d530a93932f4cf8a09f743d80c44e18e0b8,c014bc6dec0c0f94a6adf077929ccf6a65907f35,13.2806,1,1,1,1,0,0,weak_evidence_positive,task_constraint_violation,0.6640,evidence_pair
fa439d530a93932f4cf8a09f743d80c44e18e0b8,7eccc1348682c5ddb57e10adf9b5e0743ccb3a6f,13.2541,1,1,1,1,0,0,weak_evidence_positive,task_constraint_violation,0.6627,evidence_pair
fa439d530a93932f4cf8a09f743d80c44e18e0b8,fbade2766182488b9c7d48182ee5f3a27932a814,13.2321,1,1,1,1,0,0,weak_evidence_positive,task_constraint_violation,0.6616,evidence_pair
0578273c54e1a724084529ebbc385f1bdd1076ea,f6163cd44a233eeeb38701feb359f1edf2f04f39,13.3481,1,1,1,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.6674,evidence_pair
0578273c54e1a724084529ebbc385f1bdd1076ea,19a41dc67b3bc1e15bb976943b4b99200b903b9b,13.3072,1,1,1,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.6654,evidence_pair
0578273c54e1a724084529ebbc385f1bdd1076ea,370b56c3821f43a7c6699f2dd9c3c037761f32e0,13.2806,1,1,1,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.6640,evidence_pair
0578273c54e1a724084529ebbc385f1bdd1076ea,032b81ee241e554214081c6651e4d4d6e93ea0b5,13.2541,1,1,1,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.6627,evidence_pair
0578273c54e1a724084529ebbc385f1bdd1076ea,5072897db721e1dcafec66decf6ae1cb3e20fcf7,13.2321,1,1,1,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.6616,evidence_pair
0a86fc4b2478f8c922c1ab7ce85590f94b9d2136,8b7b3f8540aeac3d8e7a242ec75d38407549e34d,13.3481,1,1,1,1,0,0,weak_evidence_positive,missing_key_point,0.5673,evidence_pair
0a86fc4b2478f8c922c1ab7ce85590f94b9d2136,ea7c73d44bee68b6c63a68f0126a03764720d317,13.3072,1,1,1,1,0,0,weak_evidence_positive,missing_key_point,0.5656,evidence_pair
0a86fc4b2478f8c922c1ab7ce85590f94b9d2136,508061fd724a06215b82fd7e675f30c04c7f1edc,13.2806,1,1,1,1,0,0,weak_evidence_positive,missing_key_point,0.6640,evidence_pair
0a86fc4b2478f8c922c1ab7ce85590f94b9d2136,a14b3ff3291a8f92149d9f0805376ad8ac0b27f8,13.2541,1,1,1,1,0,0,weak_evidence_positive,missing_key_point,0.5633,evidence_pair
0a86fc4b2478f8c922c1ab7ce85590f94b9d2136,a459c0f93b3c0ff23fc2bd8b124628148f512704,13.2321,1,1,1,1,0,0,weak_evidence_positive,missing_key_point,0.6616,evidence_pair
6a65ddfebb3698d3eb20f814a761580fa2f8be48,b4f8f9e40ee230936674da3b5bb0a9bb0c4a182f,13.4370,1,1,1,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.5711,evidence_pair
6a65ddfebb3698d3eb20f814a761580fa2f8be48,2f63e42e78c24cbeb9f7ccaf5883dd389c88e30b,13.3856,1,1,1,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.6693,evidence_pair
6a65ddfebb3698d3eb20f814a761580fa2f8be48,c014bc6dec0c0f94a6adf077929ccf6a65907f35,13.3522,1,1,1,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.6676,evidence_pair
6a65ddfebb3698d3eb20f814a761580fa2f8be48,7eccc1348682c5ddb57e10adf9b5e0743ccb3a6f,13.3189,1,1,1,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.6659,evidence_pair
6a65ddfebb3698d3eb20f814a761580fa2f8be48,fbade2766182488b9c7d48182ee5f3a27932a814,13.2914,1,1,1,1,0,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.6646,evidence_pair
5238e123a16a826d9dd25c0454890d96db10099a,f6163cd44a233eeeb38701feb359f1edf2f04f39,13.4370,1,1,1,1,0,0,answer_key_dependent,answer_key_or_reference_mismatch,0.5928,pairwise_low
5238e123a16a826d9dd25c0454890d96db10099a,19a41dc67b3bc1e15bb976943b4b99200b903b9b,13.3856,1,1,1,1,0,0,answer_key_dependent,answer_key_or_reference_mismatch,0.5905,pairwise_low
5238e123a16a826d9dd25c0454890d96db10099a,370b56c3821f43a7c6699f2dd9c3c037761f32e0,13.3522,1,1,1,1,0,0,answer_key_dependent,answer_key_or_reference_mismatch,0.5891,pairwise_low
