variant,epoch,curriculum_rho,mean_teacher_lambda_seen,train_score_loss,train_failure_loss,failure_mask_exposures
v0_original_hard,1,0.0,0.0,1.193441985152572,0.0,0
v0_original_hard,2,0.0,0.0,0.8130389660686613,0.0,0
v0_original_hard,3,0.0,0.0,0.6680352002948926,0.0,0
v0_original_hard,4,0.0,0.0,0.5191417149498117,0.0,0
v0_original_hard,5,0.0,0.0,0.366237950976938,0.0,0
v0_original_hard,6,0.0,0.0,0.22058910768635498,0.0,0
v0_original_hard,7,0.0,0.0,0.13028561427708188,0.0,0
v0_original_hard,8,0.0,0.0,0.08580882090963457,0.0,0
v0_original_hard,9,0.0,0.0,0.07257205722350361,0.0,0
v0_original_hard,10,0.0,0.0,0.07070422146076803,0.0,0
v0h_human_soft,1,0.0,0.0,1.1997972037418778,0.0,0
v0h_human_soft,2,0.0,0.0,0.9080039537006832,0.0,0
v0h_human_soft,3,0.0,0.0,0.803065017426768,0.0,0
v0h_human_soft,4,0.0,0.0,0.7039063117208789,0.0,0
v0h_human_soft,5,0.0,0.0,0.6118834257120244,0.0,0
v0h_human_soft,6,0.0,0.0,0.5424937696605696,0.0,0
v0h_human_soft,7,0.0,0.0,0.49320259211158535,0.0,0
v0h_human_soft,8,0.0,0.0,0.4690768095126084,0.0,0
v0h_human_soft,9,0.0,0.0,0.4613814971000181,0.0,0
v0h_human_soft,10,0.0,0.0,0.46058430167543424,0.0,0
v1_qwen_hard,1,0.0,0.0,1.316658763484244,0.0,0
v1_qwen_hard,2,0.0,0.0,0.8331515682715339,0.0,0
v1_qwen_hard,3,0.0,0.0,0.6473537527798978,0.0,0
v1_qwen_hard,4,0.0,0.0,0.49789517428529595,0.0,0
v1_qwen_hard,5,0.0,0.0,0.30075144367311807,0.0,0
v1_qwen_hard,6,0.0,0.0,0.15306858480269797,0.0,0
v1_qwen_hard,7,0.0,0.0,0.07914052865615588,0.0,0
v1_qwen_hard,8,0.0,0.0,0.04751745834730983,0.0,0
v1_qwen_hard,9,0.0,0.0,0.03890444369590771,0.0,0
v1_qwen_hard,10,0.0,0.0,0.0383747682846814,0.0,0
v2_qwen_range_soft,1,0.0,0.0,1.3171734561223583,0.0,0
v2_qwen_range_soft,2,0.0,0.0,0.8339506142929825,0.0,0
v2_qwen_range_soft,3,0.0,0.0,0.6531585562884449,0.0,0
v2_qwen_range_soft,4,0.0,0.0,0.49702447376786224,0.0,0
v2_qwen_range_soft,5,0.0,0.0,0.30861990040985876,0.0,0
v2_qwen_range_soft,6,0.0,0.0,0.1620769188755796,0.0,0
v2_qwen_range_soft,7,0.0,0.0,0.08122965489576062,0.0,0
v2_qwen_range_soft,8,0.0,0.0,0.05133399465518438,0.0,0
v2_qwen_range_soft,9,0.0,0.0,0.041853769950374764,0.0,0
v2_qwen_range_soft,10,0.0,0.0,0.04161937321562191,0.0,0
v3_naive_human_qwen,1,0.0,0.0,1.2634590719658207,0.0,0
v3_naive_human_qwen,2,0.0,0.0,0.9626478235046547,0.0,0
v3_naive_human_qwen,3,0.0,0.0,0.8657705041030085,0.0,0
v3_naive_human_qwen,4,0.0,0.0,0.8008665141301701,0.0,0
v3_naive_human_qwen,5,0.0,0.0,0.7390493585851537,0.0,0
v3_naive_human_qwen,6,0.0,0.0,0.6884011274136334,0.0,0
v3_naive_human_qwen,7,0.0,0.0,0.6512503146182701,0.0,0
v3_naive_human_qwen,8,0.0,0.0,0.6340176791053669,0.0,0
v3_naive_human_qwen,9,0.0,0.0,0.6280894390453237,0.0,0
v3_naive_human_qwen,10,0.0,0.0,0.6267378532625062,0.0,0
v4_human_soft_logit_adjustment,1,0.0,0.0,1.0972466316657612,0.0,0
v4_human_soft_logit_adjustment,2,0.0,0.0,0.8764913469912058,0.0,0
v4_human_soft_logit_adjustment,3,0.0,0.0,0.7576071760022497,0.0,0
v4_human_soft_logit_adjustment,4,0.0,0.0,0.6485914005785731,0.0,0
v4_human_soft_logit_adjustment,5,0.0,0.0,0.5520590730460293,0.0,0
v4_human_soft_logit_adjustment,6,0.0,0.0,0.48684539972434204,0.0,0
v4_human_soft_logit_adjustment,7,0.0,0.0,0.4469563518791089,0.0,0
v4_human_soft_logit_adjustment,8,0.0,0.0,0.4278966474602089,0.0,0
v4_human_soft_logit_adjustment,9,0.0,0.0,0.4207375760278552,0.0,0
