variant,seed,label,n,recall
v0_original_hard,42,1,6,0.5
v0_original_hard,42,2,14,0.21428571428571427
v0_original_hard,42,3,62,0.1935483870967742
v0_original_hard,42,4,237,0.6962025316455697
v0_original_hard,42,5,345,0.8260869565217391
v0h_human_soft,42,1,6,0.5
v0h_human_soft,42,2,14,0.21428571428571427
v0h_human_soft,42,3,62,0.27419354838709675
v0h_human_soft,42,4,237,0.7510548523206751
v0h_human_soft,42,5,345,0.8115942028985508
v1_qwen_hard,42,1,6,0.0
v1_qwen_hard,42,2,14,0.0
v1_qwen_hard,42,3,62,0.0
v1_qwen_hard,42,4,237,0.19831223628691982
v1_qwen_hard,42,5,345,0.9072463768115943
v2_qwen_range_soft,42,1,6,0.0
v2_qwen_range_soft,42,2,14,0.0
v2_qwen_range_soft,42,3,62,0.0
v2_qwen_range_soft,42,4,237,0.19831223628691982
v2_qwen_range_soft,42,5,345,0.9014492753623189
v3_naive_human_qwen,42,1,6,0.5
v3_naive_human_qwen,42,2,14,0.35714285714285715
v3_naive_human_qwen,42,3,62,0.12903225806451613
v3_naive_human_qwen,42,4,237,0.7721518987341772
v3_naive_human_qwen,42,5,345,0.7768115942028986
v4_human_soft_logit_adjustment,42,1,6,0.8333333333333334
v4_human_soft_logit_adjustment,42,2,14,0.5
v4_human_soft_logit_adjustment,42,3,62,0.4032258064516129
v4_human_soft_logit_adjustment,42,4,237,0.6371308016877637
v4_human_soft_logit_adjustment,42,5,345,0.7507246376811594
v5_safer_score,42,1,6,0.8333333333333334
v5_safer_score,42,2,14,0.21428571428571427
v5_safer_score,42,3,62,0.27419354838709675
v5_safer_score,42,4,237,0.7637130801687764
v5_safer_score,42,5,345,0.7797101449275362
v7_shuffled_teacher_control,42,1,6,0.6666666666666666
v7_shuffled_teacher_control,42,2,14,0.21428571428571427
v7_shuffled_teacher_control,42,3,62,0.3225806451612903
v7_shuffled_teacher_control,42,4,237,0.7468354430379747
v7_shuffled_teacher_control,42,5,345,0.7884057971014493
