evaluator,language,n,n_valid,MAE,Signed Bias,Exact Match,Kendall tau
EduBenchEvaluator,en,1110,1110,0.5558558558558558,0.45735735735735733,0.6720720720720721,0.32895039093054174
EduBenchEvaluator,zh,1108,1108,0.315583634175692,0.047833935018050625,0.776173285198556,0.6764101069273593
GPT-4o,en,1110,1099,0.5750682438580528,0.4416135881104034,0.629663330300273,0.340494327168502
GPT-4o,zh,1108,1093,0.6306800853918879,0.5190606892345229,0.5205855443732845,0.2129302431800073
DeepSeek-R1,en,1110,1110,0.5897897897897898,0.3519519519519519,0.6153153153153154,0.31110719733882825
DeepSeek-R1,zh,1108,1108,0.6007821901323707,0.32400722021660655,0.5541516245487365,0.3072462029623584
DeepSeek-V3,en,1110,1110,0.551051051051051,0.38348348348348343,0.6567567567567567,0.3799522290114717
DeepSeek-V3,zh,1108,1108,0.6104091456077017,0.5370036101083032,0.5496389891696751,0.2755409359508417
QwQ-plus,en,1110,1105,0.5903469079939667,0.44736048265460027,0.6416289592760182,0.3126470135960644
QwQ-plus,zh,1108,1091,0.6058661778185152,0.3669416437519096,0.5673693858845096,0.27450206740490074
