evaluator,metric_name,pdf_reference,current_value,delta,status
EduBenchEvaluator,MAE,0.43,0.43582807333934476,0.005828073339344764,matched_trend
EduBenchEvaluator,Signed Bias,0.246,0.25278028253682,0.006780282536820004,matched_trend
EduBenchEvaluator,Exact Match,0.725,0.7240757439134355,-0.0009242560865644345,matched_trend
EduBenchEvaluator,Kendall tau,0.508,0.5051636452404249,-0.0028363547595751104,matched_trend
EduBenchEvaluator,Bin Agreement,0.897,,,not_comparable
DeepSeek-V3,MAE,0.576,0.5807033363390441,0.004703336339044184,matched_trend
DeepSeek-V3,Signed Bias,0.458,0.46017433122933576,0.0021743312293357464,matched_trend
DeepSeek-V3,Exact Match,0.602,0.6032461677186655,0.0012461677186654807,matched_trend
DeepSeek-V3,Kendall tau,0.326,0.3243146328338703,-0.0016853671661297143,matched_trend
DeepSeek-V3,Bin Agreement,0.867,,,not_comparable
DeepSeek-R1,MAE,0.589,0.5952810339645327,0.006281033964532723,matched_trend
DeepSeek-R1,Signed Bias,0.335,0.3379921851517884,0.0029921851517883957,matched_trend
DeepSeek-R1,Exact Match,0.585,0.584761045987376,-0.00023895401262397087,matched_trend
DeepSeek-R1,Kendall tau,0.319,0.3154341848109602,-0.0035658151890398115,matched_trend
DeepSeek-R1,Bin Agreement,0.854,,,not_comparable
QwQ-plus,MAE,0.593,0.5980570734669096,0.005057073466909645,matched_trend
QwQ-plus,Signed Bias,0.402,0.4074074074074075,0.005407407407407472,matched_trend
QwQ-plus,Exact Match,0.604,0.604735883424408,0.0007358834244080015,matched_trend
QwQ-plus,Kendall tau,0.301,0.2992004212761405,-0.0017995787238594962,matched_trend
QwQ-plus,Bin Agreement,0.86,,,not_comparable
GPT-4o,MAE,0.598,0.6027980535279807,0.0047980535279806835,matched_trend
GPT-4o,Signed Bias,0.475,0.48023114355231145,0.005231143552311468,matched_trend
GPT-4o,Exact Match,0.575,0.5752737226277372,0.00027372262773728284,matched_trend
GPT-4o,Kendall tau,0.278,0.2767656507351872,-0.0012343492648128063,matched_trend
GPT-4o,Bin Agreement,0.868,,,not_comparable
EduBenchEvaluator,Acc@1,48.1,44.642857142857146,-3.4571428571428555,matched_trend
EduBenchEvaluator,Acc@2,23.4,23.404255319148938,0.004255319148938952,matched_trend
EduBenchEvaluator,Acc@3,21.1,21.1340206185567,0.034020618556699134,matched_trend
EduBenchEvaluator,Acc@4,66.1,65.97222222222221,-0.12777777777778,matched_trend
EduBenchEvaluator,Acc@5,87.7,87.76019983347211,0.06019983347211166,matched_trend
QwQ-plus,Acc@1,0.0,0.0,0.0,matched_trend
QwQ-plus,Acc@2,15.2,15.217391304347828,0.01739130434782865,matched_trend
QwQ-plus,Acc@3,16.3,16.315789473684212,0.015789473684211686,matched_trend
QwQ-plus,Acc@4,28.2,28.28854314002829,0.088543140028289,matched_trend
QwQ-plus,Acc@5,91.0,90.98497495826378,-0.015025041736222988,matched_trend
DeepSeek-V3,Acc@1,7.7,8.928571428571429,1.2285714285714286,matched_trend
DeepSeek-V3,Acc@2,0.0,0.0,0.0,matched_trend
DeepSeek-V3,Acc@3,4.1,4.123711340206185,0.023711340206185483,matched_trend
DeepSeek-V3,Acc@4,31.4,31.52777777777778,0.12777777777778,matched_trend
DeepSeek-V3,Acc@5,91.4,91.42381348875936,0.023813488759358847,matched_trend
DeepSeek-R1,Acc@1,7.7,8.928571428571429,1.2285714285714286,matched_trend
DeepSeek-R1,Acc@2,10.6,10.638297872340425,0.0382978723404257,matched_trend
DeepSeek-R1,Acc@3,18.0,18.04123711340206,0.04123711340206171,matched_trend
DeepSeek-R1,Acc@4,30.6,30.416666666666664,-0.18333333333333712,matched_trend
DeepSeek-R1,Acc@5,86.0,86.01165695253955,0.011656952539553345,matched_trend
GPT-4o,Acc@1,0.0,0.0,0.0,matched_trend
GPT-4o,Acc@2,0.0,0.0,0.0,matched_trend
GPT-4o,Acc@3,5.9,5.851063829787234,-0.04893617021276597,matched_trend
GPT-4o,Acc@4,25.1,25.17580872011252,0.07580872011251927,matched_trend
GPT-4o,Acc@5,90.0,90.0,0.0,matched_trend
