file_path,exists,file_type,num_records,top_level_keys,score_like_fields,judge_name_candidates,question_like_fields,answer_like_fields,metric_like_fields,record_id_like_fields,triple_key_like_fields,language_fields,likely_evaluator,likely_role,usable_for_exp01,notes
5-grades/5_50_metric_v3_questions_en.json,True,json,12,"[""__key__"", ""__value__""]",[],[],[],[],[],[],[],[],unknown,unknown,false,no judge score fields detected
5-grades/5_50_metric_v3_questions_zh.json,True,json,12,"[""__key__"", ""__value__""]",[],[],[],[],[],[],[],[],unknown,unknown,false,no judge score fields detected
5-grades/5_50_metric_v3_questions_zh_test.json,True,json,2,"[""__key__"", ""__value__""]",[],[],[],[],[],[],[],[],unknown,unknown,false,no judge score fields detected
5-grades/5_groupby_metric_v3_eval_en.jsonl,True,jsonl,2785,"[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","[""score""]","[""DeepSeek-V3""]","[""question""]","[""response""]","[""principle""]",[],[],[],DeepSeek-V3,llm_judge_output,true,known evaluator and usable alignment fields
5-grades/5_groupby_metric_v3_eval_zh.jsonl,True,jsonl,2805,"[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","[""score""]","[""DeepSeek-V3""]","[""question""]","[""response""]","[""principle""]",[],[],[],DeepSeek-V3,llm_judge_output,true,known evaluator and usable alignment fields
5-grades/5_merge_human_metric_en.jsonl,True,jsonl,4031,"[""eval"", ""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","[""score""]",[],"[""question""]","[""response""]","[""principle""]",[],[],[],unknown,human_annotation,false,human labels only; not an automatic judge source
5-grades/5_merge_human_metric_zh.jsonl,True,jsonl,4007,"[""eval"", ""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]","[""score""]",[],"[""question""]","[""response""]","[""principle""]",[],[],[],unknown,human_annotation,false,human labels only; not an automatic judge source
5-grades/5_metrics_en.json,True,json,12,"[""__key__"", ""description"", ""rules""]",[],[],[],[],[],[],[],[],unknown,unknown,false,no judge score fields detected
5-grades/5_metrics_zh.json,True,json,12,"[""__key__"", ""description"", ""rules""]",[],[],[],[],[],[],[],[],unknown,unknown,false,no judge score fields detected
5-grades/judge_v3_questions_zh.jsonl,True,jsonl,0,[],[],[],[],[],[],[],[],[],unknown,unknown,false,read_error: JSONDecodeError: Expecting property name enclosed in double quotes: line 2 column 1 (char 2); no judge score fields detected
